cell_type,batch,n_cells,proportion_within_batch,proportion_within_type,label_level
B,PBMC10k,510,0.074398249452954,0.6390977443609023,l1
B,PBMC5k,288,0.072108162243365,0.3609022556390977,l1
CD4 T,PBMC10k,2217,0.3234135667396061,0.6136174923885968,l1
CD4 T,PBMC5k,1396,0.3495242864296444,0.3863825076114032,l1
CD8 T,PBMC10k,760,0.1108679795769511,0.7251908396946565,l1
CD8 T,PBMC5k,288,0.072108162243365,0.2748091603053435,l1
DC,PBMC10k,172,0.0250911743253099,0.5180722891566265,l1
DC,PBMC5k,160,0.0400600901352028,0.4819277108433735,l1
Mono,PBMC10k,1453,0.211962071480671,0.5640527950310559,l1
Mono,PBMC5k,1123,0.2811717576364547,0.4359472049689441,l1
NK,PBMC10k,861,0.1256017505470459,0.734641638225256,l1
NK,PBMC5k,311,0.0778668002003004,0.265358361774744,l1
other,PBMC10k,317,0.0462436177972283,0.5292153589315526,l1
other,PBMC5k,282,0.0706059088632949,0.4707846410684474,l1
other T,PBMC10k,565,0.0824215900802334,0.7946554149085795,l1
other T,PBMC5k,146,0.0365548322483725,0.2053445850914205,l1
ASDC,PBMC10k,3,0.0004376367614879,0.5,l2
ASDC,PBMC5k,3,0.000751126690035,0.5,l2
B intermediate,PBMC10k,78,0.011378555798687,0.52,l2
B intermediate,PBMC5k,72,0.0180270405608412,0.48,l2
B memory,PBMC10k,105,0.0153172866520787,0.5614973262032086,l2
B memory,PBMC5k,82,0.0205307961942914,0.4385026737967914,l2
B naive,PBMC10k,316,0.0460977388767323,0.7037861915367484,l2
B naive,PBMC5k,133,0.0332999499248873,0.2962138084632517,l2
CD14 Mono,PBMC10k,1342,0.1957695113056163,0.5757185757185758,l2
CD14 Mono,PBMC5k,989,0.2476214321482223,0.4242814242814243,l2
CD16 Mono,PBMC10k,111,0.0161925601750547,0.4530612244897959,l2
CD16 Mono,PBMC5k,134,0.0335503254882323,0.5469387755102041,l2
CD4 CTL,PBMC10k,26,0.0037928519328956,0.3768115942028985,l2
CD4 CTL,PBMC5k,43,0.0107661492238357,0.6231884057971014,l2
CD4 Naive,PBMC10k,904,0.1318745441283734,0.6545981173062998,l2
CD4 Naive,PBMC5k,477,0.1194291437155733,0.3454018826937002,l2
CD4 Proliferating,PBMC10k,8,0.0011670313639679,0.7272727272727273,l2
CD4 Proliferating,PBMC5k,3,0.000751126690035,0.2727272727272727,l2
CD4 TCM,PBMC10k,659,0.0961342086068563,0.5770577933450087,l2
CD4 TCM,PBMC5k,483,0.1209313970956434,0.4229422066549912,l2
CD4 TEM,PBMC10k,330,0.0481400437636761,0.5172413793103449,l2
CD4 TEM,PBMC5k,308,0.0771156735102654,0.4827586206896552,l2
CD8 Naive,PBMC10k,337,0.049161196207148,0.8488664987405542,l2
CD8 Naive,PBMC5k,60,0.015022533800701,0.1511335012594458,l2
CD8 Proliferating,PBMC10k,30,0.0043763676148796,0.7142857142857143,l2
CD8 Proliferating,PBMC5k,12,0.0030045067601402,0.2857142857142857,l2
CD8 TCM,PBMC10k,98,0.0142961342086068,0.6758620689655173,l2
CD8 TCM,PBMC5k,47,0.0117676514772158,0.3241379310344827,l2
CD8 TEM,PBMC10k,295,0.0430342815463165,0.6357758620689655,l2
CD8 TEM,PBMC5k,169,0.0423134702053079,0.3642241379310345,l2
Eryth,PBMC10k,212,0.0309263311451495,0.6385542168674698,l2
Eryth,PBMC5k,120,0.0300450676014021,0.3614457831325301,l2
HSPC,PBMC10k,5,0.0007293946024799,0.7142857142857143,l2
HSPC,PBMC5k,2,0.00050075112669,0.2857142857142857,l2
ILC,PBMC10k,95,0.0138584974471188,0.375494071146245,l2
ILC,PBMC5k,158,0.0395593390085127,0.6245059288537549,l2
MAIT,PBMC10k,368,0.0536834427425237,0.9269521410579346,l2
MAIT,PBMC5k,29,0.0072608913370055,0.0730478589420654,l2
NK,PBMC10k,790,0.1152443471918307,0.7488151658767772,l2
NK,PBMC5k,265,0.0663495242864296,0.2511848341232227,l2
NK Proliferating,PBMC10k,33,0.0048140043763676,0.717391304347826,l2
NK Proliferating,PBMC5k,13,0.0032548823234852,0.2826086956521739,l2
NK_CD56bright,PBMC10k,38,0.0055433989788475,0.5352112676056338,l2
NK_CD56bright,PBMC5k,33,0.0082623935903855,0.4647887323943662,l2
Plasmablast,PBMC10k,11,0.0016046681254558,0.9166666666666666,l2
Plasmablast,PBMC5k,1,0.000250375563345,0.0833333333333333,l2
Platelet,PBMC10k,5,0.0007293946024799,0.7142857142857143,l2
Platelet,PBMC5k,2,0.00050075112669,0.2857142857142857,l2
Treg,PBMC10k,290,0.0423048869438366,0.7795698924731183,l2
Treg,PBMC5k,82,0.0205307961942914,0.2204301075268817,l2
cDC1,PBMC10k,3,0.0004376367614879,0.75,l2
cDC1,PBMC5k,1,0.000250375563345,0.25,l2
cDC2,PBMC10k,140,0.0204230488694383,0.5147058823529411,l2
cDC2,PBMC5k,132,0.0330495743615423,0.4852941176470588,l2
dnT,PBMC10k,129,0.0188183807439824,0.7678571428571429,l2
dnT,PBMC5k,39,0.0097646469704556,0.2321428571428571,l2
gdT,PBMC10k,68,0.0099197665937272,0.4657534246575342,l2
gdT,PBMC5k,78,0.0195292939409113,0.5342465753424658,l2
pDC,PBMC10k,26,0.0037928519328956,0.52,l2
pDC,PBMC5k,24,0.0060090135202804,0.48,l2
