cell_type,batch,n_cells,proportion_within_batch,proportion_within_type,label_level
ASDC,PBMC10k,3,0.000437636761487965,0.5,l2
ASDC,PBMC5k,3,0.0007511266900350526,0.5,l2
B intermediate,PBMC10k,78,0.011378555798687089,0.52,l2
B intermediate,PBMC5k,72,0.018027040560841263,0.48,l2
B memory,PBMC10k,105,0.015317286652078774,0.5614973262032086,l2
B memory,PBMC5k,82,0.020530796194291438,0.4385026737967914,l2
B naive,PBMC10k,316,0.04609773887673231,0.7037861915367484,l2
B naive,PBMC5k,133,0.03329994992488733,0.2962138084632517,l2
CD14 Mono,PBMC10k,1342,0.19576951130561634,0.5757185757185758,l2
CD14 Mono,PBMC5k,989,0.24762143214822233,0.4242814242814243,l2
CD16 Mono,PBMC10k,111,0.016192560175054705,0.4530612244897959,l2
CD16 Mono,PBMC5k,134,0.03355032548823235,0.5469387755102041,l2
CD4 CTL,PBMC10k,26,0.0037928519328956968,0.37681159420289856,l2
CD4 CTL,PBMC5k,43,0.010766149223835753,0.6231884057971014,l2
CD4 Naive,PBMC10k,904,0.13187454412837346,0.6545981173062998,l2
CD4 Naive,PBMC5k,477,0.11942914371557337,0.3454018826937002,l2
CD4 Proliferating,PBMC10k,8,0.0011670313639679066,0.7272727272727273,l2
CD4 Proliferating,PBMC5k,3,0.0007511266900350526,0.2727272727272727,l2
CD4 TCM,PBMC10k,659,0.09613420860685631,0.5770577933450087,l2
CD4 TCM,PBMC5k,483,0.12093139709564346,0.42294220665499127,l2
CD4 TEM,PBMC10k,330,0.04814004376367615,0.5172413793103449,l2
CD4 TEM,PBMC5k,308,0.0771156735102654,0.4827586206896552,l2
CD8 Naive,PBMC10k,337,0.04916119620714807,0.8488664987405542,l2
CD8 Naive,PBMC5k,60,0.015022533800701052,0.15113350125944586,l2
CD8 Proliferating,PBMC10k,30,0.00437636761487965,0.7142857142857143,l2
CD8 Proliferating,PBMC5k,12,0.0030045067601402104,0.2857142857142857,l2
CD8 TCM,PBMC10k,98,0.014296134208606856,0.6758620689655173,l2
CD8 TCM,PBMC5k,47,0.011767651477215823,0.32413793103448274,l2
CD8 TEM,PBMC10k,295,0.043034281546316555,0.6357758620689655,l2
CD8 TEM,PBMC5k,169,0.042313470205307964,0.3642241379310345,l2
Eryth,PBMC10k,212,0.030926331145149526,0.6385542168674698,l2
Eryth,PBMC5k,120,0.030045067601402103,0.3614457831325301,l2
HSPC,PBMC10k,5,0.0007293946024799417,0.7142857142857143,l2
HSPC,PBMC5k,2,0.000500751126690035,0.2857142857142857,l2
ILC,PBMC10k,95,0.013858497447118891,0.37549407114624506,l2
ILC,PBMC5k,158,0.039559339008512766,0.6245059288537549,l2
MAIT,PBMC10k,368,0.05368344274252371,0.9269521410579346,l2
MAIT,PBMC5k,29,0.007260891337005508,0.07304785894206549,l2
NK,PBMC10k,790,0.11524434719183078,0.7488151658767772,l2
NK,PBMC5k,265,0.06634952428642965,0.25118483412322273,l2
NK Proliferating,PBMC10k,33,0.004814004376367615,0.717391304347826,l2
NK Proliferating,PBMC5k,13,0.003254882323485228,0.2826086956521739,l2
NK_CD56bright,PBMC10k,38,0.0055433989788475566,0.5352112676056338,l2
NK_CD56bright,PBMC5k,33,0.008262393590385579,0.4647887323943662,l2
Plasmablast,PBMC10k,11,0.0016046681254558717,0.9166666666666666,l2
Plasmablast,PBMC5k,1,0.0002503755633450175,0.08333333333333333,l2
Platelet,PBMC10k,5,0.0007293946024799417,0.7142857142857143,l2
Platelet,PBMC5k,2,0.000500751126690035,0.2857142857142857,l2
Treg,PBMC10k,290,0.04230488694383661,0.7795698924731183,l2
Treg,PBMC5k,82,0.020530796194291438,0.22043010752688172,l2
cDC1,PBMC10k,3,0.000437636761487965,0.75,l2
cDC1,PBMC5k,1,0.0002503755633450175,0.25,l2
cDC2,PBMC10k,140,0.020423048869438368,0.5147058823529411,l2
cDC2,PBMC5k,132,0.033049574361542315,0.4852941176470588,l2
dnT,PBMC10k,129,0.018818380743982493,0.7678571428571429,l2
dnT,PBMC5k,39,0.009764646970455683,0.23214285714285715,l2
gdT,PBMC10k,68,0.009919766593727206,0.4657534246575342,l2
gdT,PBMC5k,78,0.019529293940911366,0.5342465753424658,l2
pDC,PBMC10k,26,0.0037928519328956968,0.52,l2
pDC,PBMC5k,24,0.006009013520280421,0.48,l2
