cell_type,n_cells,proportion,rare
CD14 Mono,41152,0.27056951622023223,False
CD4 Naive,17223,0.11323918103278235,False
CD4 TCM,14606,0.0960327166094652,False
NK,14217,0.09347508777466566,False
CD8 TEM,10959,0.07205412442305416,False
CD8 Naive,10533,0.06925322497928912,False
B naive,7399,0.04864754691177824,False
CD16 Mono,6065,0.03987665522637317,False
CD4 TEM,4178,0.02746985416913225,False
B memory,3168,0.020829224032506213,False
gdT,2933,0.019284126921509066,False
CD8 TCM,2820,0.01854116533196576,False
MAIT,2584,0.01698949333964522,False
Treg,2468,0.016226807106131735,False
cDC2,2431,0.015983536497166224,False
B intermediate,2294,0.015082777755861507,False
Platelet,1852,0.012176680210922193,False
CD4 CTL,1667,0.010960327166094653,False
pDC,836,0.005496600786355806,False
NK_CD56bright,659,0.004332846792115402,False
NK Proliferating,508,0.0033400397122831933,False
Plasmablast,331,0.0021762857180427893,False
HSPC,320,0.002103962023485476,False
dnT,311,0.002044788091574947,False
cDC1,147,0.0009665075545386406,False
CD4 Proliferating,103,0.0006772127763093876,False
ILC,95,0.0006246137257222507,True
CD8 Proliferating,87,0.0005720146751351139,True
ASDC,74,0.00048654121793101633,True
Eryth,74,0.00048654121793101633,True
