cell_type,source_support,target_support,precision,recall,f1,direction,model,seed,label_level,subset
B intermediate,68,66,0.4772727272727273,0.6363636363636364,0.5454545454545454,pbmc10k_to_pbmc5k,scvi_matched,0,l2,high_confidence_shared
B memory,99,79,0.7021276595744681,0.8354430379746836,0.7630057803468208,pbmc10k_to_pbmc5k,scvi_matched,0,l2,high_confidence_shared
B naive,315,128,0.989010989010989,0.703125,0.821917808219178,pbmc10k_to_pbmc5k,scvi_matched,0,l2,high_confidence_shared
CD14 Mono,1237,937,0.9246031746031746,0.9946638207043756,0.9583547557840616,pbmc10k_to_pbmc5k,scvi_matched,0,l2,high_confidence_shared
CD16 Mono,103,131,0.9906542056074766,0.8091603053435115,0.8907563025210085,pbmc10k_to_pbmc5k,scvi_matched,0,l2,high_confidence_shared
CD4 CTL,24,41,0.7777777777777778,0.1707317073170731,0.28,pbmc10k_to_pbmc5k,scvi_matched,0,l2,high_confidence_shared
CD4 Naive,795,378,0.8192771084337349,0.7195767195767195,0.7661971830985915,pbmc10k_to_pbmc5k,scvi_matched,0,l2,high_confidence_shared
CD4 TCM,580,327,0.5421940928270043,0.7859327217125383,0.6416978776529338,pbmc10k_to_pbmc5k,scvi_matched,0,l2,high_confidence_shared
CD4 TEM,281,272,0.6676923076923077,0.7977941176470589,0.7269681742043551,pbmc10k_to_pbmc5k,scvi_matched,0,l2,high_confidence_shared
CD8 Naive,320,48,0.8636363636363636,0.7916666666666666,0.8260869565217391,pbmc10k_to_pbmc5k,scvi_matched,0,l2,high_confidence_shared
CD8 TCM,77,34,0.4242424242424242,0.4117647058823529,0.417910447761194,pbmc10k_to_pbmc5k,scvi_matched,0,l2,high_confidence_shared
CD8 TEM,246,147,0.8878504672897196,0.6462585034013606,0.7480314960629921,pbmc10k_to_pbmc5k,scvi_matched,0,l2,high_confidence_shared
Eryth,144,86,0.6610169491525424,0.4534883720930232,0.5379310344827586,pbmc10k_to_pbmc5k,scvi_matched,0,l2,high_confidence_shared
