model,direction,label_level,within_dataset_macro_f1,cross_dataset_macro_f1,generalization_gap,within_dataset_reference,model_seed
scvi_matched,pbmc10k_to_pbmc5k,l2,0.7218643946226526,0.6510217830627849,-0.0708426115598677,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,0
totalvi,pbmc10k_to_pbmc5k,l2,0.7792121076915633,0.6357672182574826,-0.1434448894340807,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,0
scvi_matched,pbmc10k_to_pbmc5k,l1,0.8959883913628512,0.8187354356380466,-0.0772529557248046,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,0
totalvi,pbmc10k_to_pbmc5k,l1,0.8967101331990678,0.8340232483945942,-0.0626868848044736,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,0
scvi_matched,pbmc5k_to_pbmc10k,l2,0.7218643946226526,0.6402484093156036,-0.081615985307049,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,0
totalvi,pbmc5k_to_pbmc10k,l2,0.7792121076915633,0.6157476799755611,-0.1634644277160022,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,0
scvi_matched,pbmc5k_to_pbmc10k,l1,0.8959883913628512,0.8027547691537762,-0.093233622209075,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,0
totalvi,pbmc5k_to_pbmc10k,l1,0.8967101331990678,0.8770161907588205,-0.0196939424402472,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,0
scvi_matched,pbmc10k_to_pbmc5k,l2,0.7218643946226526,0.6441927129587905,-0.07767168166386207,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,1
totalvi,pbmc10k_to_pbmc5k,l2,0.7792121076915633,0.6522350877379401,-0.1269770199536232,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,1
scvi_matched,pbmc10k_to_pbmc5k,l1,0.8959883913628512,0.8220476111414841,-0.07394078022136719,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,1
totalvi,pbmc10k_to_pbmc5k,l1,0.8967101331990678,0.8423517887286607,-0.054358344470407105,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,1
scvi_matched,pbmc5k_to_pbmc10k,l2,0.7218643946226526,0.5707669476871889,-0.15109744693546368,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,1
totalvi,pbmc5k_to_pbmc10k,l2,0.7792121076915633,0.6100334390892731,-0.16917866860229025,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,1
scvi_matched,pbmc5k_to_pbmc10k,l1,0.8959883913628512,0.70563566585784,-0.19035272550501126,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,1
totalvi,pbmc5k_to_pbmc10k,l1,0.8967101331990678,0.7856234944700181,-0.11108663872904967,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,1
scvi_matched,pbmc10k_to_pbmc5k,l2,0.7218643946226526,0.6850659240505798,-0.03679847057207286,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,2
totalvi,pbmc10k_to_pbmc5k,l2,0.7792121076915633,0.6608133691968153,-0.11839873849474802,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,2
scvi_matched,pbmc10k_to_pbmc5k,l1,0.8959883913628512,0.8191589257953262,-0.07682946556752501,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,2
totalvi,pbmc10k_to_pbmc5k,l1,0.8967101331990678,0.7974421388484549,-0.09926799435061284,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,2
scvi_matched,pbmc5k_to_pbmc10k,l2,0.7218643946226526,0.6114909059169635,-0.11037348870568908,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,2
totalvi,pbmc5k_to_pbmc10k,l2,0.7792121076915633,0.6842905968841125,-0.09492151080745082,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,2
scvi_matched,pbmc5k_to_pbmc10k,l1,0.8959883913628512,0.755450518696078,-0.1405378726667732,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,2
totalvi,pbmc5k_to_pbmc10k,l1,0.8967101331990678,0.8613648711661417,-0.035345262032926095,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,2
scvi_matched,pbmc10k_to_pbmc5k,l2,0.7218643946226526,0.6651163604208098,-0.05674803420184282,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,3
totalvi,pbmc10k_to_pbmc5k,l2,0.7792121076915633,0.639289486471532,-0.1399226212200313,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,3
scvi_matched,pbmc10k_to_pbmc5k,l1,0.8959883913628512,0.8220880758999183,-0.07390031546293296,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,3
totalvi,pbmc10k_to_pbmc5k,l1,0.8967101331990678,0.8275386193769387,-0.06917151382212905,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,3
scvi_matched,pbmc5k_to_pbmc10k,l2,0.7218643946226526,0.5844995089746119,-0.13736488564804072,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,3
totalvi,pbmc5k_to_pbmc10k,l2,0.7792121076915633,0.6716265564955474,-0.10758555119601598,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,3
scvi_matched,pbmc5k_to_pbmc10k,l1,0.8959883913628512,0.7420794941224658,-0.15390889724038548,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,3
totalvi,pbmc5k_to_pbmc10k,l1,0.8967101331990678,0.8926183087197694,-0.004091824479298345,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,3
scvi_matched,pbmc10k_to_pbmc5k,l2,0.7218643946226526,0.6577255382600048,-0.06413885636264782,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,4
totalvi,pbmc10k_to_pbmc5k,l2,0.7792121076915633,0.6640884929430743,-0.11512361474848909,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,4
scvi_matched,pbmc10k_to_pbmc5k,l1,0.8959883913628512,0.8207096081313318,-0.07527878323151949,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,4
totalvi,pbmc10k_to_pbmc5k,l1,0.8967101331990678,0.8204794528893693,-0.07623068030969848,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,4
scvi_matched,pbmc5k_to_pbmc10k,l2,0.7218643946226526,0.6208253115953314,-0.10103908302732123,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,4
totalvi,pbmc5k_to_pbmc10k,l2,0.7792121076915633,0.6598601263928439,-0.11935198129871949,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,4
scvi_matched,pbmc5k_to_pbmc10k,l1,0.8959883913628512,0.803340194759937,-0.09264819660291423,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,4
totalvi,pbmc5k_to_pbmc10k,l1,0.8967101331990678,0.8810176723880474,-0.01569246081102038,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,4
