direction,model,seed,label_level,k,mean_agreement,median_agreement
pbmc10k_to_pbmc5k,scvi_matched,0,l2,15,0.685683189868408,0.8
pbmc10k_to_pbmc5k,scvi_matched,0,l2,30,0.6656277827248441,0.7333333333333333
pbmc10k_to_pbmc5k,scvi_matched,0,l2,50,0.6459305431878896,0.7
pbmc10k_to_pbmc5k,totalvi,0,l2,15,0.704343524290096,0.8666666666666667
pbmc10k_to_pbmc5k,totalvi,0,l2,30,0.6833184921341644,0.8
pbmc10k_to_pbmc5k,totalvi,0,l2,50,0.6616325319085782,0.76
pbmc10k_to_pbmc5k,scvi_matched,0,l1,15,0.838187893081761,0.9333333333333332
pbmc10k_to_pbmc5k,scvi_matched,0,l1,30,0.8254716981132075,0.9333333333333332
pbmc10k_to_pbmc5k,scvi_matched,0,l1,50,0.8126650943396228,0.94
pbmc10k_to_pbmc5k,totalvi,0,l1,15,0.8384630503144654,0.9333333333333332
pbmc10k_to_pbmc5k,totalvi,0,l1,30,0.8256977201257862,0.9333333333333332
pbmc10k_to_pbmc5k,totalvi,0,l1,50,0.8107959905660378,0.94
pbmc5k_to_pbmc10k,scvi_matched,0,l2,15,0.6422982338475297,0.8
pbmc5k_to_pbmc10k,scvi_matched,0,l2,30,0.6290409121395037,0.7666666666666667
pbmc5k_to_pbmc10k,scvi_matched,0,l2,50,0.6170657276995306,0.76
pbmc5k_to_pbmc10k,totalvi,0,l2,15,0.6551419628884417,0.7333333333333333
pbmc5k_to_pbmc10k,totalvi,0,l2,30,0.6451710261569417,0.7333333333333333
pbmc5k_to_pbmc10k,totalvi,0,l2,50,0.6328940308517773,0.72
pbmc5k_to_pbmc10k,scvi_matched,0,l1,15,0.7690483994318803,0.9333333333333332
pbmc5k_to_pbmc10k,scvi_matched,0,l1,30,0.7613350813940785,0.9
pbmc5k_to_pbmc10k,scvi_matched,0,l1,50,0.7542903965912816,0.9
pbmc5k_to_pbmc10k,totalvi,0,l1,15,0.8006992242980444,0.9333333333333332
pbmc5k_to_pbmc10k,totalvi,0,l1,30,0.7886102917076369,0.9333333333333332
pbmc5k_to_pbmc10k,totalvi,0,l1,50,0.7766535562110782,0.92
pbmc10k_to_pbmc5k,scvi_matched,1,l2,15,0.6881369347976649,0.8
pbmc10k_to_pbmc5k,scvi_matched,1,l2,30,0.6706342139111507,0.7666666666666667
pbmc10k_to_pbmc5k,scvi_matched,1,l2,50,0.6531255565449688,0.72
pbmc10k_to_pbmc5k,totalvi,1,l2,15,0.7090333432274661,0.8666666666666667
pbmc10k_to_pbmc5k,totalvi,1,l2,30,0.6912535866231325,0.8666666666666667
pbmc10k_to_pbmc5k,totalvi,1,l2,50,0.6727396853665776,0.82
pbmc10k_to_pbmc5k,scvi_matched,1,l1,15,0.834748427672956,1.0
pbmc10k_to_pbmc5k,scvi_matched,1,l1,30,0.8231623427672957,0.9333333333333333
pbmc10k_to_pbmc5k,scvi_matched,1,l1,50,0.8119044811320756,0.94
pbmc10k_to_pbmc5k,totalvi,1,l1,15,0.8516509433962265,1.0
pbmc10k_to_pbmc5k,totalvi,1,l1,30,0.8385711477987422,0.9666666666666667
pbmc10k_to_pbmc5k,totalvi,1,l1,50,0.8272169811320755,0.96
pbmc5k_to_pbmc10k,scvi_matched,1,l2,15,0.6373463000223564,0.8
pbmc5k_to_pbmc10k,scvi_matched,1,l2,30,0.6212776659959759,0.7666666666666667
pbmc5k_to_pbmc10k,scvi_matched,1,l2,50,0.6062575452716298,0.72
pbmc5k_to_pbmc10k,totalvi,1,l2,15,0.687793427230047,0.8
pbmc5k_to_pbmc10k,totalvi,1,l2,30,0.667527386541471,0.7666666666666667
pbmc5k_to_pbmc10k,totalvi,1,l2,50,0.6484104627766599,0.76
pbmc5k_to_pbmc10k,scvi_matched,1,l1,15,0.7608215885502022,0.9333333333333333
pbmc5k_to_pbmc10k,scvi_matched,1,l1,30,0.7540041516442698,0.9
pbmc5k_to_pbmc10k,scvi_matched,1,l1,50,0.748384136348738,0.9
pbmc5k_to_pbmc10k,totalvi,1,l1,15,0.815175352343494,0.9333333333333333
pbmc5k_to_pbmc10k,totalvi,1,l1,30,0.8019938817873921,0.9333333333333333
pbmc5k_to_pbmc10k,totalvi,1,l1,50,0.7885185185185185,0.92
pbmc10k_to_pbmc5k,scvi_matched,2,l2,15,0.7000098941327791,0.8
pbmc10k_to_pbmc5k,scvi_matched,2,l2,30,0.6842386464826358,0.8
pbmc10k_to_pbmc5k,scvi_matched,2,l2,50,0.665966162065895,0.74
pbmc10k_to_pbmc5k,totalvi,2,l2,15,0.7065004452359751,0.8666666666666667
pbmc10k_to_pbmc5k,totalvi,2,l2,30,0.6876719105570396,0.8
pbmc10k_to_pbmc5k,totalvi,2,l2,50,0.6677352330068269,0.78
pbmc10k_to_pbmc5k,scvi_matched,2,l1,15,0.8472877358490566,1.0
pbmc10k_to_pbmc5k,scvi_matched,2,l1,30,0.8368317610062894,0.9666666666666667
pbmc10k_to_pbmc5k,scvi_matched,2,l1,50,0.8245518867924528,0.96
pbmc10k_to_pbmc5k,totalvi,2,l1,15,0.8478183962264152,1.0
pbmc10k_to_pbmc5k,totalvi,2,l1,30,0.8355149371069183,0.9666666666666667
pbmc10k_to_pbmc5k,totalvi,2,l1,50,0.8223938679245283,0.96
pbmc5k_to_pbmc10k,scvi_matched,2,l2,15,0.6433489827856025,0.8
pbmc5k_to_pbmc10k,scvi_matched,2,l2,30,0.6302705119606529,0.7666666666666667
pbmc5k_to_pbmc10k,scvi_matched,2,l2,50,0.616348088531187,0.74
pbmc5k_to_pbmc10k,totalvi,2,l2,15,0.6673038229376258,0.7333333333333333
pbmc5k_to_pbmc10k,totalvi,2,l2,30,0.6505365526492287,0.7333333333333333
pbmc5k_to_pbmc10k,totalvi,2,l2,50,0.6336887994634472,0.7
pbmc5k_to_pbmc10k,scvi_matched,2,l1,15,0.7617502458210424,0.9333333333333333
pbmc5k_to_pbmc10k,scvi_matched,2,l1,30,0.7519774937179068,0.9
pbmc5k_to_pbmc10k,scvi_matched,2,l1,50,0.7425040970173714,0.9
pbmc5k_to_pbmc10k,totalvi,2,l1,15,0.7995848355730363,0.9333333333333333
pbmc5k_to_pbmc10k,totalvi,2,l1,30,0.7880804107942752,0.9333333333333333
pbmc5k_to_pbmc10k,totalvi,2,l1,50,0.7771845296624058,0.92
pbmc10k_to_pbmc5k,scvi_matched,3,l2,15,0.6939348966063124,0.8
pbmc10k_to_pbmc5k,scvi_matched,3,l2,30,0.6788859206490552,0.7666666666666667
pbmc10k_to_pbmc5k,scvi_matched,3,l2,50,0.6610388839418225,0.72
pbmc10k_to_pbmc5k,totalvi,3,l2,15,0.7147323637083209,0.8666666666666667
pbmc10k_to_pbmc5k,totalvi,3,l2,30,0.6973681606807164,0.8333333333333334
pbmc10k_to_pbmc5k,totalvi,3,l2,50,0.6794538438705847,0.82
pbmc10k_to_pbmc5k,scvi_matched,3,l1,15,0.8407822327044026,1.0
pbmc10k_to_pbmc5k,scvi_matched,3,l1,30,0.8302181603773586,0.9333333333333333
pbmc10k_to_pbmc5k,scvi_matched,3,l1,50,0.8194339622641509,0.94
pbmc10k_to_pbmc5k,totalvi,3,l1,15,0.854186320754717,1.0
pbmc10k_to_pbmc5k,totalvi,3,l1,30,0.8446737421383648,0.9666666666666667
pbmc10k_to_pbmc5k,totalvi,3,l1,50,0.8334728773584906,0.96
pbmc5k_to_pbmc10k,scvi_matched,3,l2,15,0.6420076011625307,0.8
pbmc5k_to_pbmc10k,scvi_matched,3,l2,30,0.6260395707578806,0.7666666666666667
pbmc5k_to_pbmc10k,scvi_matched,3,l2,50,0.60799128101945,0.74
pbmc5k_to_pbmc10k,totalvi,3,l2,15,0.7021797451374918,0.8
pbmc5k_to_pbmc10k,totalvi,3,l2,30,0.679135926671138,0.8
pbmc5k_to_pbmc10k,totalvi,3,l2,50,0.6591348088531187,0.78
pbmc5k_to_pbmc10k,scvi_matched,3,l1,15,0.7724571178848466,0.9333333333333333
pbmc5k_to_pbmc10k,scvi_matched,3,l1,30,0.7602589314978696,0.9333333333333333
pbmc5k_to_pbmc10k,scvi_matched,3,l1,50,0.7485611274991807,0.92
pbmc5k_to_pbmc10k,totalvi,3,l1,15,0.8263301649732328,0.9333333333333333
pbmc5k_to_pbmc10k,totalvi,3,l1,30,0.8114388725008194,0.9333333333333333
pbmc5k_to_pbmc10k,totalvi,3,l1,50,0.7973680760406424,0.94
pbmc10k_to_pbmc5k,scvi_matched,4,l2,15,0.6957949935688137,0.8666666666666667
pbmc10k_to_pbmc5k,scvi_matched,4,l2,30,0.6790936974374197,0.8
pbmc10k_to_pbmc5k,scvi_matched,4,l2,50,0.662184624517661,0.76
pbmc10k_to_pbmc5k,totalvi,4,l2,15,0.7115068764222816,0.8
pbmc10k_to_pbmc5k,totalvi,4,l2,30,0.6912535866231324,0.8
pbmc10k_to_pbmc5k,totalvi,4,l2,50,0.671006233303651,0.76
pbmc10k_to_pbmc5k,scvi_matched,4,l1,15,0.8365762578616351,1.0
pbmc10k_to_pbmc5k,scvi_matched,4,l1,30,0.8252260220125787,0.9666666666666667
pbmc10k_to_pbmc5k,scvi_matched,4,l1,50,0.814616745283019,0.96
pbmc10k_to_pbmc5k,totalvi,4,l1,15,0.8553262578616353,1.0
pbmc10k_to_pbmc5k,totalvi,4,l1,30,0.8422857704402515,0.9666666666666667
pbmc10k_to_pbmc5k,totalvi,4,l1,50,0.8298349056603774,0.96
pbmc5k_to_pbmc10k,scvi_matched,4,l2,15,0.6334674714956405,0.8
pbmc5k_to_pbmc10k,scvi_matched,4,l2,30,0.62001453163425,0.7666666666666667
pbmc5k_to_pbmc10k,scvi_matched,4,l2,50,0.607206572769953,0.74
pbmc5k_to_pbmc10k,totalvi,4,l2,15,0.682304940755645,0.8666666666666667
pbmc5k_to_pbmc10k,totalvi,4,l2,30,0.6622680527610105,0.8
pbmc5k_to_pbmc10k,totalvi,4,l2,50,0.644413145539906,0.78
pbmc5k_to_pbmc10k,scvi_matched,4,l1,15,0.7695181907571289,0.9333333333333333
pbmc5k_to_pbmc10k,scvi_matched,4,l1,30,0.7624877089478861,0.9333333333333333
pbmc5k_to_pbmc10k,scvi_matched,4,l1,50,0.75406751884628,0.92
pbmc5k_to_pbmc10k,totalvi,4,l1,15,0.8120069922429805,0.9333333333333333
pbmc5k_to_pbmc10k,totalvi,4,l1,30,0.800021850759314,0.9333333333333333
pbmc5k_to_pbmc10k,totalvi,4,l1,50,0.7883611930514586,0.94
