direction,model,model_seed,source_n,target_n,label_level,n_shared_classes,target_coverage,classifier,accuracy,balanced_accuracy,macro_f1,weighted_f1,query_adaptation_epochs,source_training_epochs,source_training_runtime,query_runtime,gpu_peak_allocated_mb,gpu_peak_reserved_mb,query_gpu_peak_allocated_mb,process_peak_rss_mb,n_eval_source,n_eval_target,target_asw,target_knn_purity_15,target_leiden_ari,target_leiden_nmi,dataset_asw,latent_spaces_aligned_by
pbmc10k_to_pbmc5k,scvi_matched,0,6855,3994,l2,22,0.9932193396226416,logreg,0.7907390917186109,0.6344938503113732,0.6510217830627849,0.7813507255044935,200,200,108.9398554140007,52.59921422000025,406.35498046875,412.0,309.50439453125,2835.85546875,6040,3369,0.0946478024125099,0.7106132075471698,0.5333870530799996,0.6811030505886162,0.0267119333148002,scArches: source encoded by the source model; query encoded by the adapted model
pbmc10k_to_pbmc5k,scvi_matched,0,6855,3994,l2,22,0.9932193396226416,knn15,0.759275749480558,0.5760261879570824,0.5724333281229892,0.7360620512837811,200,200,108.9398554140007,52.59921422000025,406.35498046875,412.0,309.50439453125,2835.85546875,6040,3369,,,,,,
pbmc10k_to_pbmc5k,scvi_matched,0,6855,3994,l2,22,0.9932193396226416,knn30,0.7580884535470466,0.5629073786931631,0.5651235735107072,0.7312225153227992,200,200,108.9398554140007,52.59921422000025,406.35498046875,412.0,309.50439453125,2835.85546875,6040,3369,,,,,,
pbmc10k_to_pbmc5k,totalvi,0,6855,3994,l2,22,0.9932193396226416,logreg,0.8165627782724845,0.6370303924874051,0.6357672182574826,0.794159951606735,200,200,175.26296500100034,102.64871682600004,428.06494140625,446.0,379.4755859375,2853.40234375,6040,3369,0.0860102102160453,0.7298152515723271,0.5170352498131853,0.7144765274289587,-0.0027347987052053,scArches: source encoded by the source model; query encoded by the adapted model
pbmc10k_to_pbmc5k,totalvi,0,6855,3994,l2,22,0.9932193396226416,knn15,0.7720391807658059,0.5923078391742294,0.5758218621270917,0.7414668593337023,200,200,175.26296500100034,102.64871682600004,428.06494140625,446.0,379.4755859375,2853.40234375,6040,3369,,,,,,
pbmc10k_to_pbmc5k,totalvi,0,6855,3994,l2,22,0.9932193396226416,knn30,0.7625408132977145,0.5742307839864987,0.5607968498028861,0.7303128486682398,200,200,175.26296500100034,102.64871682600004,428.06494140625,446.0,379.4755859375,2853.40234375,6040,3369,,,,,,
pbmc10k_to_pbmc5k,scvi_matched,0,6855,3994,l1,8,1.0,logreg,0.9080188679245284,0.8034579835704304,0.8187354356380466,0.8977314630585697,200,200,108.9398554140007,52.59921422000025,406.35498046875,412.0,309.50439453125,2835.85546875,6102,3392,0.1743217706680297,0.854127358490566,0.5319110376902471,0.6791565676220078,0.0267119333148002,scArches: source encoded by the source model; query encoded by the adapted model
pbmc10k_to_pbmc5k,scvi_matched,0,6855,3994,l1,8,1.0,knn15,0.8894457547169812,0.7621611442879752,0.7846907351730235,0.8750832549476922,200,200,108.9398554140007,52.59921422000025,406.35498046875,412.0,309.50439453125,2835.85546875,6102,3392,,,,,,
pbmc10k_to_pbmc5k,scvi_matched,0,6855,3994,l1,8,1.0,knn30,0.8788325471698113,0.7331084374504377,0.7585897663118891,0.8612653389871266,200,200,108.9398554140007,52.59921422000025,406.35498046875,412.0,309.50439453125,2835.85546875,6102,3392,,,,,,
pbmc10k_to_pbmc5k,totalvi,0,6855,3994,l1,8,1.0,logreg,0.9174528301886792,0.8167468482052083,0.8340232483945942,0.9103060337249788,200,200,175.26296500100034,102.64871682600004,428.06494140625,446.0,379.4755859375,2853.40234375,6102,3392,0.1953538209199905,0.8668042452830188,0.4871923454949627,0.6786432314474565,-0.0027347987052053,scArches: source encoded by the source model; query encoded by the adapted model
pbmc10k_to_pbmc5k,totalvi,0,6855,3994,l1,8,1.0,knn15,0.8891509433962265,0.7720087516422827,0.7827774483707177,0.8771601506663228,200,200,175.26296500100034,102.64871682600004,428.06494140625,446.0,379.4755859375,2853.40234375,6102,3392,,,,,,
pbmc10k_to_pbmc5k,totalvi,0,6855,3994,l1,8,1.0,knn30,0.8859080188679245,0.7606888430809445,0.7713555715072677,0.8717600474820343,200,200,175.26296500100034,102.64871682600004,428.06494140625,446.0,379.4755859375,2853.40234375,6102,3392,,,,,,
pbmc5k_to_pbmc10k,scvi_matched,0,3994,6855,l2,21,0.9773844641101278,logreg,0.7811871227364185,0.6441514414553172,0.6402484093156036,0.763553363529872,200,200,68.56738715499978,90.26140214399948,406.35498046875,420.0,309.50439453125,2835.6484375,3355,5964,0.1273172944784164,0.7468698787282857,0.66880687074594,0.7627921176376743,0.0852575749158859,scArches: source encoded by the source model; query encoded by the adapted model
pbmc5k_to_pbmc10k,scvi_matched,0,3994,6855,l2,21,0.9773844641101278,knn15,0.7075788061703555,0.5260345106785359,0.5120022878854283,0.6549316280664637,200,200,68.56738715499978,90.26140214399948,406.35498046875,420.0,309.50439453125,2835.6484375,3355,5964,,,,,,
pbmc5k_to_pbmc10k,scvi_matched,0,3994,6855,l2,21,0.9773844641101278,knn30,0.7050637156270959,0.5097744689332249,0.4943504796844972,0.6462590483564409,200,200,68.56738715499978,90.26140214399948,406.35498046875,420.0,309.50439453125,2835.6484375,3355,5964,,,,,,
pbmc5k_to_pbmc10k,totalvi,0,3994,6855,l2,21,0.9773844641101278,logreg,0.7845405767940979,0.6269622332487363,0.6157476799755611,0.7621321542809399,200,200,104.9881070649999,169.15217426799973,428.06494140625,450.0,379.4755859375,2838.0078125,3355,5964,0.150224819779396,0.7951382060526604,0.6797613850760447,0.7780312528717157,0.0658850520849227,scArches: source encoded by the source model; query encoded by the adapted model
pbmc5k_to_pbmc10k,totalvi,0,3994,6855,l2,21,0.9773844641101278,knn15,0.7468142186452046,0.5742482000711916,0.5667915184402866,0.7063980968579361,200,200,104.9881070649999,169.15217426799973,428.06494140625,450.0,379.4755859375,2838.0078125,3355,5964,,,,,,
pbmc5k_to_pbmc10k,totalvi,0,3994,6855,l2,21,0.9773844641101278,knn30,0.7426224010731053,0.541651106670969,0.5253066962034237,0.6903689701425466,200,200,104.9881070649999,169.15217426799973,428.06494140625,450.0,379.4755859375,2838.0078125,3355,5964,,,,,,
pbmc5k_to_pbmc10k,scvi_matched,0,3994,6855,l1,8,1.0,logreg,0.8656178302196001,0.7643320569898133,0.8027547691537762,0.8505855957075484,200,200,68.56738715499978,90.26140214399948,406.35498046875,420.0,309.50439453125,2835.6484375,3392,6102,0.2417406737804412,0.8483011034633453,0.5970145499704465,0.716203263617301,0.0852575749158859,scArches: source encoded by the source model; query encoded by the adapted model
pbmc5k_to_pbmc10k,scvi_matched,0,3994,6855,l1,8,1.0,knn15,0.8182563094067519,0.7015761819914121,0.7226225913641101,0.7900436970694549,200,200,68.56738715499978,90.26140214399948,406.35498046875,420.0,309.50439453125,2835.6484375,3392,6102,,,,,,
pbmc5k_to_pbmc10k,scvi_matched,0,3994,6855,l1,8,1.0,knn30,0.8159619796787938,0.692765857172841,0.7127439649954894,0.784063141162875,200,200,68.56738715499978,90.26140214399948,406.35498046875,420.0,309.50439453125,2835.6484375,3392,6102,,,,,,
pbmc5k_to_pbmc10k,totalvi,0,3994,6855,l1,8,1.0,logreg,0.9196984595214684,0.8439783605222605,0.8770161907588205,0.9159628813807617,200,200,104.9881070649999,169.15217426799973,428.06494140625,450.0,379.4755859375,2838.0078125,3392,6102,0.2241931855678558,0.9016388069485416,0.6065468449659337,0.7393543276672934,0.0658850520849227,scArches: source encoded by the source model; query encoded by the adapted model
pbmc5k_to_pbmc10k,totalvi,0,3994,6855,l1,8,1.0,knn15,0.8603736479842674,0.7710626481287562,0.8079757379373923,0.8477612431615537,200,200,104.9881070649999,169.15217426799973,428.06494140625,450.0,379.4755859375,2838.0078125,3392,6102,,,,,,
pbmc5k_to_pbmc10k,totalvi,0,3994,6855,l1,8,1.0,knn30,0.8582431989511635,0.7520793909756421,0.7974247163380039,0.8421645622480893,200,200,104.9881070649999,169.15217426799973,428.06494140625,450.0,379.4755859375,2838.0078125,3392,6102,,,,,,
pbmc10k_to_pbmc5k,scvi_matched,1,6855,3994,l2,22,0.9932193396226415,logreg,0.777975660433363,0.6593410721337531,0.6441927129587905,0.7714354511037198,200,200,108.4027546440002,52.99140712299959,406.35498046875,412.0,309.50439453125,2836.1484375,6040,3369,0.09118961542844772,0.7211674528301888,0.5038698834396738,0.6985549819310402,0.03200722113251686,scArches: source encoded by the source model; query encoded by the adapted model
pbmc10k_to_pbmc5k,scvi_matched,1,6855,3994,l2,22,0.9932193396226415,knn15,0.7652122291481152,0.5932739630118445,0.5705495927596993,0.7435321700445433,200,200,108.4027546440002,52.99140712299959,406.35498046875,412.0,309.50439453125,2836.1484375,6040,3369,,,,,,
pbmc10k_to_pbmc5k,scvi_matched,1,6855,3994,l2,22,0.9932193396226415,knn30,0.7560106856634016,0.5738963695772193,0.5496440736820687,0.7318779957036838,200,200,108.4027546440002,52.99140712299959,406.35498046875,412.0,309.50439453125,2836.1484375,6040,3369,,,,,,
pbmc10k_to_pbmc5k,totalvi,1,6855,3994,l2,22,0.9932193396226415,logreg,0.8156723063223509,0.6515711023039633,0.6522350877379401,0.7943009000955482,200,200,169.04641909400016,100.7752076859997,428.06494140625,446.0,379.4755859375,2856.3515625,6040,3369,0.08704311400651932,0.7269850628930817,0.5246474080831122,0.7154981330464665,-0.004526708275079727,scArches: source encoded by the source model; query encoded by the adapted model
pbmc10k_to_pbmc5k,totalvi,1,6855,3994,l2,22,0.9932193396226415,knn15,0.763431285247848,0.5775275901286826,0.5715089655351903,0.7316743703740922,200,200,169.04641909400016,100.7752076859997,428.06494140625,446.0,379.4755859375,2856.3515625,6040,3369,,,,,,
pbmc10k_to_pbmc5k,totalvi,1,6855,3994,l2,22,0.9932193396226415,knn30,0.7536360937963787,0.558901170157093,0.5455504567062992,0.7181030492877013,200,200,169.04641909400016,100.7752076859997,428.06494140625,446.0,379.4755859375,2856.3515625,6040,3369,,,,,,
pbmc10k_to_pbmc5k,scvi_matched,1,6855,3994,l1,8,1.0,logreg,0.9041863207547169,0.820786060150365,0.8220476111414841,0.8987916178425484,200,200,108.4027546440002,52.99140712299959,406.35498046875,412.0,309.50439453125,2836.1484375,6102,3392,0.18548408150672913,0.8618317610062893,0.4839774811161048,0.6644693466090997,0.03200722113251686,scArches: source encoded by the source model; query encoded by the adapted model
pbmc10k_to_pbmc5k,scvi_matched,1,6855,3994,l1,8,1.0,knn15,0.8882665094339622,0.776533984747346,0.7823300598683918,0.8775433582676813,200,200,108.4027546440002,52.99140712299959,406.35498046875,412.0,309.50439453125,2836.1484375,6102,3392,,,,,,
pbmc10k_to_pbmc5k,scvi_matched,1,6855,3994,l1,8,1.0,knn30,0.8835495283018868,0.7660844018035953,0.771247328975236,0.8722667237866946,200,200,108.4027546440002,52.99140712299959,406.35498046875,412.0,309.50439453125,2836.1484375,6102,3392,,,,,,
pbmc10k_to_pbmc5k,totalvi,1,6855,3994,l1,8,1.0,logreg,0.917747641509434,0.8208372769263031,0.8423517887286607,0.9113319887870119,200,200,169.04641909400016,100.7752076859997,428.06494140625,446.0,379.4755859375,2856.3515625,6102,3392,0.19806882739067078,0.8644457547169813,0.47125324586359885,0.6680515722197352,-0.004526708275079727,scArches: source encoded by the source model; query encoded by the adapted model
pbmc10k_to_pbmc5k,totalvi,1,6855,3994,l1,8,1.0,knn15,0.8929834905660378,0.7584461159550914,0.7835927604954578,0.8760449726601316,200,200,169.04641909400016,100.7752076859997,428.06494140625,446.0,379.4755859375,2856.3515625,6102,3392,,,,,,
pbmc10k_to_pbmc5k,totalvi,1,6855,3994,l1,8,1.0,knn30,0.8891509433962265,0.7551123922513759,0.7749614335449722,0.8715530501262774,200,200,169.04641909400016,100.7752076859997,428.06494140625,446.0,379.4755859375,2856.3515625,6102,3392,,,,,,
