direction,model_seed,label_level,scvi_matched_macro_f1,totalvi_macro_f1,delta_totalvi_minus_scvi,bootstrap_ci_low,bootstrap_ci_high,bootstrap_delta_mean,target_n,shared_class_n,target_coverage,classifier
pbmc10k_to_pbmc5k,0,l2,0.6510217830627849,0.6357672182574826,-0.0152545648053022,-0.0410450905024928,0.0090144813466223,-0.015470812666529,3369,22,0.9932193396226416,logreg
pbmc10k_to_pbmc5k,0,l1,0.8187354356380466,0.8340232483945942,0.0152878127565475,-0.0012727309461321,0.0302801269361532,0.0149925082789957,3392,8,1.0,logreg
pbmc5k_to_pbmc10k,0,l2,0.6402484093156036,0.6157476799755611,-0.0245007293400424,-0.0400371844081922,-0.0095749500268029,-0.0244465800068009,5964,21,0.9773844641101278,logreg
pbmc5k_to_pbmc10k,0,l1,0.8027547691537762,0.8770161907588205,0.0742614216050443,0.0633869762481105,0.0847477995502236,0.0746277703803364,6102,8,1.0,logreg
pbmc10k_to_pbmc5k,1,l2,0.6441927129587905,0.6522350877379401,0.008042374779149597,-0.014584561628272779,0.030191228003261624,0.008555708596379429,3369,22,0.9932193396226415,logreg
pbmc10k_to_pbmc5k,1,l1,0.8220476111414841,0.8423517887286607,0.02030417758717662,0.006537576827995622,0.03406679250195506,0.020145737048515116,3392,8,1.0,logreg
pbmc5k_to_pbmc10k,1,l2,0.5707669476871889,0.6100334390892731,0.03926649140208416,0.02053816950083413,0.056559520785683555,0.03930864708637555,5964,21,0.9773844641101278,logreg
pbmc5k_to_pbmc10k,1,l1,0.70563566585784,0.7856234944700181,0.07998782861217812,0.06598756514565385,0.09382960252892986,0.07980654475444789,6102,8,1.0,logreg
pbmc10k_to_pbmc5k,2,l2,0.6850659240505798,0.6608133691968153,-0.02425255485376443,-0.051203173387637024,-0.0013112980105948132,-0.025565298005415273,3369,22,0.9932193396226415,logreg
pbmc10k_to_pbmc5k,2,l1,0.8191589257953262,0.7974421388484549,-0.02171678694687129,-0.03739510355429649,-0.003554116972760206,-0.021373706315115017,3392,8,1.0,logreg
pbmc5k_to_pbmc10k,2,l2,0.6114909059169635,0.6842905968841125,0.072799690967149,0.05016042065099591,0.09408179265911726,0.07252572977611266,5964,21,0.9773844641101278,logreg
pbmc5k_to_pbmc10k,2,l1,0.755450518696078,0.8613648711661417,0.10591435247006364,0.09302381949742547,0.12143303297380702,0.10650727724554478,6102,8,1.0,logreg
pbmc10k_to_pbmc5k,3,l2,0.6651163604208098,0.639289486471532,-0.02582687394927774,-0.04912367027289968,-0.004282508891057759,-0.025920120487254058,3369,22,0.9932193396226415,logreg
pbmc10k_to_pbmc5k,3,l1,0.8220880758999183,0.8275386193769387,0.005450543477020453,-0.010423414416717763,0.02135812485602299,0.005286601568447842,3392,8,1.0,logreg
pbmc5k_to_pbmc10k,3,l2,0.5844995089746119,0.6716265564955474,0.08712704752093547,0.06987592747216,0.10510677825730497,0.08717895562674478,5964,21,0.9773844641101278,logreg
pbmc5k_to_pbmc10k,3,l1,0.7420794941224658,0.8926183087197694,0.15053881459730367,0.13829813828717236,0.16293372247651827,0.1502685456111454,6102,8,1.0,logreg
pbmc10k_to_pbmc5k,4,l2,0.6577255382600048,0.6640884929430743,0.006362954683069466,-0.01673703821356556,0.0281696204533382,0.005758493536668917,3369,22,0.9932193396226415,logreg
pbmc10k_to_pbmc5k,4,l1,0.8207096081313318,0.8204794528893693,-0.00023015524196245973,-0.016418658245053962,0.015173081460406026,-0.000149493489261348,3392,8,1.0,logreg
pbmc5k_to_pbmc10k,4,l2,0.6208253115953314,0.6598601263928439,0.039034814797512474,0.021927489448698437,0.05698096553892179,0.03930153144576687,5964,21,0.9773844641101278,logreg
pbmc5k_to_pbmc10k,4,l1,0.803340194759937,0.8810176723880474,0.07767747762811039,0.06673262046005607,0.08898844631878174,0.07814171339816477,6102,8,1.0,logreg
