direction,model,model_seed,label_level,original_macro_f1,corrected_macro_f1,delta
pbmc10k_to_pbmc5k,totalvi,1,l2,0.6522350877379401,0.6553804895452042,0.003145401807264081
pbmc10k_to_pbmc5k,totalvi,1,l1,0.8423517887286607,0.8415262513683122,-0.0008255373603485161
pbmc10k_to_pbmc5k,totalvi,2,l2,0.6608133691968153,0.6646659421957736,0.003852572998958248
pbmc10k_to_pbmc5k,totalvi,2,l1,0.7974421388484549,0.7983152603704073,0.0008731215219524024
pbmc10k_to_pbmc5k,totalvi,3,l2,0.639289486471532,0.6402745954658015,0.0009851089942694014
pbmc10k_to_pbmc5k,totalvi,3,l1,0.8275386193769387,0.8311399033645547,0.003601283987615944
pbmc10k_to_pbmc5k,totalvi,4,l2,0.6640884929430743,0.6678916332453284,0.003803140302254149
pbmc10k_to_pbmc5k,totalvi,4,l1,0.8204794528893693,0.819053780887072,-0.0014256720022972624
pbmc5k_to_pbmc10k,totalvi,1,l2,0.6100334390892731,0.6101999641645781,0.00016652507530501293
pbmc5k_to_pbmc10k,totalvi,1,l1,0.7856234944700181,0.7850442382306153,-0.0005792562394028034
pbmc5k_to_pbmc10k,totalvi,2,l2,0.6842905968841125,0.6869075207835412,0.0026169238994286914
pbmc5k_to_pbmc10k,totalvi,2,l1,0.8613648711661417,0.8613939328537898,2.906168764815753e-05
pbmc5k_to_pbmc10k,totalvi,3,l2,0.6716265564955474,0.6714806524889094,-0.00014590400663794245
pbmc5k_to_pbmc10k,totalvi,3,l1,0.8926183087197694,0.8923497465826367,-0.0002685621371327773
pbmc5k_to_pbmc10k,totalvi,4,l2,0.6598601263928439,0.6596235270807813,-0.00023659931206254647
pbmc5k_to_pbmc10k,totalvi,4,l1,0.8810176723880474,0.8802600041089708,-0.0007576682790766398
