true,predicted,normalized,direction,model,seed,label_level
B intermediate,B intermediate,0.6363636363636364,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B memory,B intermediate,0.16455696202531644,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B naive,B intermediate,0.2578125,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD14 Mono,B intermediate,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD16 Mono,B intermediate,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 CTL,B intermediate,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 Naive,B intermediate,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 TCM,B intermediate,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 TEM,B intermediate,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 Naive,B intermediate,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 TCM,B intermediate,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 TEM,B intermediate,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
Eryth,B intermediate,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
ILC,B intermediate,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
MAIT,B intermediate,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
NK,B intermediate,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
NK_CD56bright,B intermediate,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
Treg,B intermediate,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
cDC2,B intermediate,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
dnT,B intermediate,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
gdT,B intermediate,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
pDC,B intermediate,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B intermediate,B memory,0.3484848484848485,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B memory,B memory,0.8354430379746836,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B naive,B memory,0.0390625,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD14 Mono,B memory,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD16 Mono,B memory,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 CTL,B memory,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 Naive,B memory,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 TCM,B memory,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 TEM,B memory,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 Naive,B memory,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 TCM,B memory,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 TEM,B memory,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
Eryth,B memory,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
ILC,B memory,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
MAIT,B memory,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
NK,B memory,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
NK_CD56bright,B memory,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
Treg,B memory,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
cDC2,B memory,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
dnT,B memory,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
gdT,B memory,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
pDC,B memory,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B intermediate,B naive,0.015151515151515152,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B memory,B naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B naive,B naive,0.703125,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD14 Mono,B naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD16 Mono,B naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 CTL,B naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 Naive,B naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 TCM,B naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 TEM,B naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
