model,direction,label_level,within_dataset_macro_f1,cross_dataset_macro_f1,generalization_gap,within_dataset_reference,model_seed
scvi_matched,pbmc10k_to_pbmc5k,l2,0.7218643946226526,0.6510217830627849,-0.07084261155986771,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,0
totalvi,pbmc10k_to_pbmc5k,l2,0.7792121076915633,0.6357672182574826,-0.14344488943408074,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,0
scvi_matched,pbmc10k_to_pbmc5k,l1,0.8959883913628512,0.8187354356380466,-0.07725295572480462,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,0
totalvi,pbmc10k_to_pbmc5k,l1,0.8967101331990678,0.8340232483945942,-0.0626868848044736,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,0
scvi_matched,pbmc10k_to_pbmc5k,l2,0.7218643946226526,0.6441927129587905,-0.07767168166386207,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,1
totalvi,pbmc10k_to_pbmc5k,l2,0.7792121076915633,0.6553804895452042,-0.12383161814635912,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,1
scvi_matched,pbmc10k_to_pbmc5k,l1,0.8959883913628512,0.8220476111414841,-0.07394078022136719,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,1
totalvi,pbmc10k_to_pbmc5k,l1,0.8967101331990678,0.8415262513683122,-0.05518388183075562,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,1
scvi_matched,pbmc10k_to_pbmc5k,l2,0.7218643946226526,0.6850659240505798,-0.03679847057207286,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,2
totalvi,pbmc10k_to_pbmc5k,l2,0.7792121076915633,0.6646659421957736,-0.11454616549578978,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,2
scvi_matched,pbmc10k_to_pbmc5k,l1,0.8959883913628512,0.8191589257953262,-0.07682946556752501,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,2
totalvi,pbmc10k_to_pbmc5k,l1,0.8967101331990678,0.7983152603704073,-0.09839487282866044,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,2
scvi_matched,pbmc10k_to_pbmc5k,l2,0.7218643946226526,0.6651163604208098,-0.05674803420184282,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,3
totalvi,pbmc10k_to_pbmc5k,l2,0.7792121076915633,0.6402745954658015,-0.1389375122257619,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,3
scvi_matched,pbmc10k_to_pbmc5k,l1,0.8959883913628512,0.8220880758999183,-0.07390031546293296,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,3
totalvi,pbmc10k_to_pbmc5k,l1,0.8967101331990678,0.8311399033645547,-0.0655702298345131,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,3
