direction,model,seed,label_level,k,mean_agreement,median_agreement
pbmc10k_to_pbmc5k,scvi_matched,0,l2,15,0.685683189868408,0.8
pbmc10k_to_pbmc5k,scvi_matched,0,l2,30,0.6656277827248441,0.7333333333333333
pbmc10k_to_pbmc5k,scvi_matched,0,l2,50,0.6459305431878896,0.7
pbmc10k_to_pbmc5k,totalvi,0,l2,15,0.704343524290096,0.8666666666666667
pbmc10k_to_pbmc5k,totalvi,0,l2,30,0.6833184921341644,0.8
pbmc10k_to_pbmc5k,totalvi,0,l2,50,0.6616325319085782,0.76
pbmc10k_to_pbmc5k,scvi_matched,0,l1,15,0.838187893081761,0.9333333333333333
pbmc10k_to_pbmc5k,scvi_matched,0,l1,30,0.8254716981132075,0.9333333333333333
pbmc10k_to_pbmc5k,scvi_matched,0,l1,50,0.8126650943396228,0.94
pbmc10k_to_pbmc5k,totalvi,0,l1,15,0.8384630503144654,0.9333333333333333
pbmc10k_to_pbmc5k,totalvi,0,l1,30,0.8256977201257862,0.9333333333333333
pbmc10k_to_pbmc5k,totalvi,0,l1,50,0.8107959905660378,0.94
pbmc10k_to_pbmc5k,scvi_matched,1,l2,15,0.6881369347976649,0.8
pbmc10k_to_pbmc5k,scvi_matched,1,l2,30,0.6706342139111507,0.7666666666666667
pbmc10k_to_pbmc5k,scvi_matched,1,l2,50,0.6531255565449688,0.72
pbmc10k_to_pbmc5k,totalvi,1,l2,15,0.7087760957752054,0.8666666666666667
pbmc10k_to_pbmc5k,totalvi,1,l2,30,0.6916394578015237,0.8666666666666667
pbmc10k_to_pbmc5k,totalvi,1,l2,50,0.6728643514395963,0.82
pbmc10k_to_pbmc5k,scvi_matched,1,l1,15,0.834748427672956,1.0
pbmc10k_to_pbmc5k,scvi_matched,1,l1,30,0.8231623427672957,0.9333333333333333
pbmc10k_to_pbmc5k,scvi_matched,1,l1,50,0.8119044811320756,0.94
pbmc10k_to_pbmc5k,totalvi,1,l1,15,0.8516116352201258,1.0
pbmc10k_to_pbmc5k,totalvi,1,l1,30,0.8389052672955974,0.9666666666666667
pbmc10k_to_pbmc5k,totalvi,1,l1,50,0.8272995283018867,0.96
pbmc10k_to_pbmc5k,scvi_matched,2,l2,15,0.7000098941327791,0.8
pbmc10k_to_pbmc5k,scvi_matched,2,l2,30,0.6842386464826358,0.8
pbmc10k_to_pbmc5k,scvi_matched,2,l2,50,0.665966162065895,0.74
pbmc10k_to_pbmc5k,totalvi,2,l2,15,0.7060255268625705,0.8666666666666667
pbmc10k_to_pbmc5k,totalvi,2,l2,30,0.6876521222914811,0.8
pbmc10k_to_pbmc5k,totalvi,2,l2,50,0.6677174235678243,0.78
pbmc10k_to_pbmc5k,scvi_matched,2,l1,15,0.8472877358490566,1.0
pbmc10k_to_pbmc5k,scvi_matched,2,l1,30,0.8368317610062894,0.9666666666666667
pbmc10k_to_pbmc5k,scvi_matched,2,l1,50,0.8245518867924528,0.96
pbmc10k_to_pbmc5k,totalvi,2,l1,15,0.8477594339622643,1.0
pbmc10k_to_pbmc5k,totalvi,2,l1,30,0.8353970125786164,0.9666666666666667
pbmc10k_to_pbmc5k,totalvi,2,l1,50,0.8224587264150944,0.96
pbmc10k_to_pbmc5k,scvi_matched,3,l2,15,0.6939348966063124,0.8
pbmc10k_to_pbmc5k,scvi_matched,3,l2,30,0.6788859206490552,0.7666666666666667
pbmc10k_to_pbmc5k,scvi_matched,3,l2,50,0.6610388839418225,0.72
pbmc10k_to_pbmc5k,totalvi,3,l2,15,0.7145344810527356,0.8666666666666667
pbmc10k_to_pbmc5k,totalvi,3,l2,30,0.6975858316018602,0.8333333333333334
pbmc10k_to_pbmc5k,totalvi,3,l2,50,0.6794182249925794,0.82
pbmc10k_to_pbmc5k,scvi_matched,3,l1,15,0.8407822327044026,1.0
pbmc10k_to_pbmc5k,scvi_matched,3,l1,30,0.8302181603773586,0.9333333333333333
pbmc10k_to_pbmc5k,scvi_matched,3,l1,50,0.8194339622641509,0.94
pbmc10k_to_pbmc5k,totalvi,3,l1,15,0.8540094339622643,1.0
pbmc10k_to_pbmc5k,totalvi,3,l1,30,0.8446933962264151,0.9666666666666667
pbmc10k_to_pbmc5k,totalvi,3,l1,50,0.8333372641509434,0.96
pbmc10k_to_pbmc5k,scvi_matched,4,l2,15,0.6957949935688137,0.8666666666666667
pbmc10k_to_pbmc5k,scvi_matched,4,l2,30,0.6790936974374197,0.8
pbmc10k_to_pbmc5k,scvi_matched,4,l2,50,0.662184624517661,0.76
pbmc10k_to_pbmc5k,totalvi,4,l2,15,0.7119620065301276,0.8
pbmc10k_to_pbmc5k,totalvi,4,l2,30,0.6913426338181458,0.8
pbmc10k_to_pbmc5k,totalvi,4,l2,50,0.6711071534579994,0.76
pbmc10k_to_pbmc5k,scvi_matched,4,l1,15,0.8365762578616351,1.0
pbmc10k_to_pbmc5k,scvi_matched,4,l1,30,0.8252260220125787,0.9666666666666667
pbmc10k_to_pbmc5k,scvi_matched,4,l1,50,0.814616745283019,0.96
pbmc10k_to_pbmc5k,totalvi,4,l1,15,0.8554834905660378,1.0
pbmc10k_to_pbmc5k,totalvi,4,l1,30,0.8423742138364779,0.9666666666666667
pbmc10k_to_pbmc5k,totalvi,4,l1,50,0.830064858490566,0.96
pbmc5k_to_pbmc10k,scvi_matched,0,l2,15,0.6422982338475297,0.8
pbmc5k_to_pbmc10k,scvi_matched,0,l2,30,0.6290409121395037,0.7666666666666667
pbmc5k_to_pbmc10k,scvi_matched,0,l2,50,0.6170657276995306,0.76
pbmc5k_to_pbmc10k,totalvi,0,l2,15,0.6551419628884417,0.7333333333333333
pbmc5k_to_pbmc10k,totalvi,0,l2,30,0.6451710261569417,0.7333333333333333
pbmc5k_to_pbmc10k,totalvi,0,l2,50,0.6328940308517773,0.72
pbmc5k_to_pbmc10k,scvi_matched,0,l1,15,0.7690483994318803,0.9333333333333333
pbmc5k_to_pbmc10k,scvi_matched,0,l1,30,0.7613350813940785,0.9
pbmc5k_to_pbmc10k,scvi_matched,0,l1,50,0.7542903965912816,0.9
pbmc5k_to_pbmc10k,totalvi,0,l1,15,0.8006992242980444,0.9333333333333333
pbmc5k_to_pbmc10k,totalvi,0,l1,30,0.7886102917076369,0.9333333333333333
pbmc5k_to_pbmc10k,totalvi,0,l1,50,0.7766535562110782,0.92
pbmc5k_to_pbmc10k,scvi_matched,1,l2,15,0.6373463000223564,0.8
pbmc5k_to_pbmc10k,scvi_matched,1,l2,30,0.6212776659959759,0.7666666666666667
pbmc5k_to_pbmc10k,scvi_matched,1,l2,50,0.6062575452716298,0.72
pbmc5k_to_pbmc10k,totalvi,1,l2,15,0.687502794545048,0.8
pbmc5k_to_pbmc10k,totalvi,1,l2,30,0.6671417393248379,0.7666666666666667
pbmc5k_to_pbmc10k,totalvi,1,l2,50,0.6480717639168344,0.74
pbmc5k_to_pbmc10k,scvi_matched,1,l1,15,0.7608215885502022,0.9333333333333333
pbmc5k_to_pbmc10k,scvi_matched,1,l1,30,0.7540041516442698,0.9
pbmc5k_to_pbmc10k,scvi_matched,1,l1,50,0.748384136348738,0.9
pbmc5k_to_pbmc10k,totalvi,1,l1,15,0.8147274117775594,0.9333333333333333
pbmc5k_to_pbmc10k,totalvi,1,l1,30,0.8015732546705999,0.9333333333333333
pbmc5k_to_pbmc10k,totalvi,1,l1,50,0.7881776466732218,0.92
pbmc5k_to_pbmc10k,scvi_matched,2,l2,15,0.6433489827856025,0.8
pbmc5k_to_pbmc10k,scvi_matched,2,l2,30,0.6302705119606529,0.7666666666666667
pbmc5k_to_pbmc10k,scvi_matched,2,l2,50,0.616348088531187,0.74
pbmc5k_to_pbmc10k,totalvi,2,l2,15,0.667315001117818,0.7333333333333333
pbmc5k_to_pbmc10k,totalvi,2,l2,30,0.650380058126537,0.7333333333333333
pbmc5k_to_pbmc10k,totalvi,2,l2,50,0.6336854460093897,0.7
pbmc5k_to_pbmc10k,scvi_matched,2,l1,15,0.7617502458210424,0.9333333333333333
pbmc5k_to_pbmc10k,scvi_matched,2,l1,30,0.7519774937179068,0.9
pbmc5k_to_pbmc10k,scvi_matched,2,l1,50,0.7425040970173714,0.9
pbmc5k_to_pbmc10k,totalvi,2,l1,15,0.7996831639899487,0.9333333333333333
pbmc5k_to_pbmc10k,totalvi,2,l1,30,0.7881459630722168,0.9333333333333333
pbmc5k_to_pbmc10k,totalvi,2,l1,50,0.7772238610291707,0.92
pbmc5k_to_pbmc10k,scvi_matched,3,l2,15,0.6420076011625307,0.8
pbmc5k_to_pbmc10k,scvi_matched,3,l2,30,0.6260395707578806,0.7666666666666667
pbmc5k_to_pbmc10k,scvi_matched,3,l2,50,0.60799128101945,0.74
pbmc5k_to_pbmc10k,totalvi,3,l2,15,0.7021909233176838,0.8
pbmc5k_to_pbmc10k,totalvi,3,l2,30,0.6790185557791192,0.8
pbmc5k_to_pbmc10k,totalvi,3,l2,50,0.6592018779342723,0.78
pbmc5k_to_pbmc10k,scvi_matched,3,l1,15,0.7724571178848466,0.9333333333333333
pbmc5k_to_pbmc10k,scvi_matched,3,l1,30,0.7602589314978696,0.9333333333333333
pbmc5k_to_pbmc10k,scvi_matched,3,l1,50,0.7485611274991807,0.92
pbmc5k_to_pbmc10k,totalvi,3,l1,15,0.8263957172511746,0.9333333333333333
pbmc5k_to_pbmc10k,totalvi,3,l1,30,0.8117830219600131,0.9333333333333333
pbmc5k_to_pbmc10k,totalvi,3,l1,50,0.7974926253687318,0.94
pbmc5k_to_pbmc10k,scvi_matched,4,l2,15,0.6334674714956405,0.8
pbmc5k_to_pbmc10k,scvi_matched,4,l2,30,0.62001453163425,0.7666666666666667
pbmc5k_to_pbmc10k,scvi_matched,4,l2,50,0.607206572769953,0.74
pbmc5k_to_pbmc10k,totalvi,4,l2,15,0.6828079588642969,0.8666666666666667
pbmc5k_to_pbmc10k,totalvi,4,l2,30,0.662502794545048,0.8
pbmc5k_to_pbmc10k,totalvi,4,l2,50,0.6446311200536553,0.78
pbmc5k_to_pbmc10k,scvi_matched,4,l1,15,0.7695181907571289,0.9333333333333333
pbmc5k_to_pbmc10k,scvi_matched,4,l1,30,0.7624877089478861,0.9333333333333333
pbmc5k_to_pbmc10k,scvi_matched,4,l1,50,0.75406751884628,0.92
pbmc5k_to_pbmc10k,totalvi,4,l1,15,0.8123347536326888,0.9333333333333333
pbmc5k_to_pbmc10k,totalvi,4,l1,30,0.8001420299355403,0.9333333333333333
pbmc5k_to_pbmc10k,totalvi,4,l1,50,0.7885119632907244,0.94
