direction,model_seed,label_level,scvi_matched_macro_f1,totalvi_macro_f1,delta_totalvi_minus_scvi,bootstrap_ci_low,bootstrap_ci_high,bootstrap_delta_mean,target_n,shared_class_n,target_coverage,classifier
pbmc10k_to_pbmc5k,0,l2,0.6510217830627849,0.6357672182574826,-0.015254564805302295,-0.041045090502492845,0.009014481346622343,-0.01547081266652908,3369,22,0.9932193396226415,logreg
pbmc10k_to_pbmc5k,0,l1,0.8187354356380466,0.8340232483945942,0.015287812756547559,-0.0012727309461321916,0.030280126936153277,0.014992508278995767,3392,8,1.0,logreg
pbmc10k_to_pbmc5k,1,l2,0.6441927129587905,0.6553804895452042,0.011187776586413678,-0.010740344354185475,0.033094476240587624,0.011508700561197838,3369,22,0.9932193396226415,logreg
pbmc10k_to_pbmc5k,1,l1,0.8220476111414841,0.8415262513683122,0.019478640226828103,0.00525302448139346,0.03335771925566508,0.019499139183005033,3392,8,1.0,logreg
pbmc10k_to_pbmc5k,2,l2,0.6850659240505798,0.6646659421957736,-0.020399981854806182,-0.04791227491355595,0.0011387034754106874,-0.021653504996726858,3369,22,0.9932193396226415,logreg
pbmc10k_to_pbmc5k,2,l1,0.8191589257953262,0.7983152603704073,-0.02084366542491889,-0.03653190563099157,-0.002674523268679611,-0.0205720997021696,3392,8,1.0,logreg
pbmc10k_to_pbmc5k,3,l2,0.6651163604208098,0.6402745954658015,-0.02484176495500834,-0.048436054634815796,-0.0031527822149366898,-0.024936970398346324,3369,22,0.9932193396226415,logreg
pbmc10k_to_pbmc5k,3,l1,0.8220880758999183,0.8311399033645547,0.009051827464636397,-0.007071325653149318,0.02527144750380495,0.008878670640930227,3392,8,1.0,logreg
pbmc10k_to_pbmc5k,4,l2,0.6577255382600048,0.6678916332453284,0.010166094985323615,-0.013890094968002314,0.03283492461686467,0.009649325369310234,3369,22,0.9932193396226415,logreg
pbmc10k_to_pbmc5k,4,l1,0.8207096081313318,0.819053780887072,-0.0016558272442597222,-0.017383022241366855,0.0136238534749606,-0.0016232337987260653,3392,8,1.0,logreg
pbmc5k_to_pbmc10k,0,l2,0.6402484093156036,0.6157476799755611,-0.024500729340042438,-0.04003718440819229,-0.009574950026802954,-0.02444658000680093,5964,21,0.9773844641101278,logreg
pbmc5k_to_pbmc10k,0,l1,0.8027547691537762,0.8770161907588205,0.07426142160504434,0.06338697624811059,0.08474779955022367,0.07462777038033644,6102,8,1.0,logreg
pbmc5k_to_pbmc10k,1,l2,0.5707669476871889,0.6101999641645781,0.03943301647738917,0.02101852924631198,0.05652244686327015,0.03944638422111204,5964,21,0.9773844641101278,logreg
pbmc5k_to_pbmc10k,1,l1,0.70563566585784,0.7850442382306153,0.07940857237277532,0.06537170215337204,0.09317033994401361,0.07921130366335387,6102,8,1.0,logreg
pbmc5k_to_pbmc10k,2,l2,0.6114909059169635,0.6869075207835412,0.07541661486657769,0.05302923861154305,0.09573524006161736,0.07521673335042008,5964,21,0.9773844641101278,logreg
pbmc5k_to_pbmc10k,2,l1,0.755450518696078,0.8613939328537898,0.1059434141577118,0.09310793733582061,0.12126139538715808,0.10652129157246266,6102,8,1.0,logreg
pbmc5k_to_pbmc10k,3,l2,0.5844995089746119,0.6714806524889094,0.08698114351429753,0.06988035167502431,0.10505509240158731,0.08704639983932708,5964,21,0.9773844641101278,logreg
pbmc5k_to_pbmc10k,3,l1,0.7420794941224658,0.8923497465826367,0.1502702524601709,0.13782437988308954,0.16250215421177577,0.14998935444335618,6102,8,1.0,logreg
pbmc5k_to_pbmc10k,4,l2,0.6208253115953314,0.6596235270807813,0.03879821548544993,0.02138264068669584,0.05696898194790148,0.03907463471322554,5964,21,0.9773844641101278,logreg
pbmc5k_to_pbmc10k,4,l1,0.803340194759937,0.8802600041089708,0.07691980934903375,0.06587386254232351,0.08811504755161162,0.07734980954591407,6102,8,1.0,logreg
