cell_type,source_support,target_support,precision,recall,f1,condition,direction,model,model_seed,subsample_seed
B intermediate,68,66,0.4827586206896552,0.6363636363636364,0.5490196078431373,original_A,pbmc10k_to_pbmc5k,scvi_matched,0,
B memory,99,79,0.6947368421052632,0.8354430379746836,0.7586206896551724,original_A,pbmc10k_to_pbmc5k,scvi_matched,0,
B naive,315,128,0.9891304347826086,0.7109375,0.8272727272727273,original_A,pbmc10k_to_pbmc5k,scvi_matched,0,
CD14 Mono,1237,937,0.9246031746031746,0.9946638207043756,0.9583547557840617,original_A,pbmc10k_to_pbmc5k,scvi_matched,0,
CD16 Mono,103,131,0.9906542056074766,0.8091603053435115,0.8907563025210085,original_A,pbmc10k_to_pbmc5k,scvi_matched,0,
CD4 Naive,795,378,0.8284883720930233,0.753968253968254,0.7894736842105263,original_A,pbmc10k_to_pbmc5k,scvi_matched,0,
CD4 TCM,580,327,0.5631929046563193,0.7767584097859327,0.6529562982005142,original_A,pbmc10k_to_pbmc5k,scvi_matched,0,
CD4 TEM,281,272,0.7194719471947195,0.8014705882352942,0.7582608695652174,original_A,pbmc10k_to_pbmc5k,scvi_matched,0,
CD8 Naive,320,48,0.8297872340425532,0.8125,0.8210526315789474,original_A,pbmc10k_to_pbmc5k,scvi_matched,0,
CD8 TCM,77,34,0.375,0.35294117647058826,0.36363636363636365,original_A,pbmc10k_to_pbmc5k,scvi_matched,0,
CD8 TEM,246,147,0.9175257731958762,0.6054421768707483,0.7295081967213115,original_A,pbmc10k_to_pbmc5k,scvi_matched,0,
Eryth,144,86,0.65,0.45348837209302323,0.5342465753424658,original_A,pbmc10k_to_pbmc5k,scvi_matched,0,
ILC,65,98,0.631578947368421,0.24489795918367346,0.35294117647058826,original_A,pbmc10k_to_pbmc5k,scvi_matched,0,
MAIT,356,24,0.36363636363636365,0.6666666666666666,0.47058823529411764,original_A,pbmc10k_to_pbmc5k,scvi_matched,0,
NK,760,251,0.8802816901408451,0.9960159362549801,0.9345794392523364,original_A,pbmc10k_to_pbmc5k,scvi_matched,0,
NK_CD56bright,35,30,0.9565217391304348,0.7333333333333333,0.8301886792452831,original_A,pbmc10k_to_pbmc5k,scvi_matched,0,
Treg,241,59,0.7894736842105263,0.2542372881355932,0.38461538461538464,original_A,pbmc10k_to_pbmc5k,scvi_matched,0,
cDC2,135,125,0.9752066115702479,0.944,0.959349593495935,original_A,pbmc10k_to_pbmc5k,scvi_matched,0,
gdT,59,71,0.46153846153846156,0.2535211267605634,0.32727272727272727,original_A,pbmc10k_to_pbmc5k,scvi_matched,0,
B intermediate,68,66,0.7868852459016393,0.7272727272727273,0.7559055118110236,original_A,pbmc10k_to_pbmc5k,totalvi,0,
B memory,99,79,0.8148148148148148,0.8354430379746836,0.825,original_A,pbmc10k_to_pbmc5k,totalvi,0,
B naive,315,128,0.9694656488549618,0.9921875,0.9806949806949807,original_A,pbmc10k_to_pbmc5k,totalvi,0,
CD14 Mono,1237,937,0.9307923771313942,0.9903948772678762,0.9596690796277145,original_A,pbmc10k_to_pbmc5k,totalvi,0,
CD16 Mono,103,131,0.9745762711864406,0.8778625954198473,0.9236947791164659,original_A,pbmc10k_to_pbmc5k,totalvi,0,
CD4 Naive,795,378,0.7990654205607477,0.9047619047619048,0.8486352357320099,original_A,pbmc10k_to_pbmc5k,totalvi,0,
CD4 TCM,580,327,0.6386554621848739,0.6972477064220184,0.6666666666666666,original_A,pbmc10k_to_pbmc5k,totalvi,0,
CD4 TEM,281,272,0.7165605095541401,0.8272058823529411,0.7679180887372014,original_A,pbmc10k_to_pbmc5k,totalvi,0,
CD8 Naive,320,48,0.7894736842105263,0.9375,0.8571428571428571,original_A,pbmc10k_to_pbmc5k,totalvi,0,
CD8 TCM,77,34,0.7272727272727273,0.23529411764705882,0.35555555555555557,original_A,pbmc10k_to_pbmc5k,totalvi,0,
CD8 TEM,246,147,0.80625,0.8775510204081632,0.8403908794788274,original_A,pbmc10k_to_pbmc5k,totalvi,0,
Eryth,144,86,0.6144578313253012,0.5930232558139535,0.6035502958579881,original_A,pbmc10k_to_pbmc5k,totalvi,0,
ILC,65,98,0.75,0.061224489795918366,0.11320754716981132,original_A,pbmc10k_to_pbmc5k,totalvi,0,
MAIT,356,24,0.30158730158730157,0.7916666666666666,0.4367816091954023,original_A,pbmc10k_to_pbmc5k,totalvi,0,
NK,760,251,0.9127272727272727,1.0,0.9543726235741445,original_A,pbmc10k_to_pbmc5k,totalvi,0,
NK_CD56bright,35,30,1.0,0.43333333333333335,0.6046511627906976,original_A,pbmc10k_to_pbmc5k,totalvi,0,
Treg,241,59,0.9230769230769231,0.2033898305084746,0.3333333333333333,original_A,pbmc10k_to_pbmc5k,totalvi,0,
cDC2,135,125,0.9907407407407407,0.856,0.9184549356223176,original_A,pbmc10k_to_pbmc5k,totalvi,0,
gdT,59,71,0.38461538461538464,0.07042253521126761,0.11904761904761904,original_A,pbmc10k_to_pbmc5k,totalvi,0,
B intermediate,68,66,0.6323529411764706,0.6515151515151515,0.6417910447761194,original_A,pbmc10k_to_pbmc5k,scvi_matched,1,
B memory,99,79,0.7157894736842105,0.8607594936708861,0.7816091954022989,original_A,pbmc10k_to_pbmc5k,scvi_matched,1,
