condition,direction,subsample_seed,model_seed,label_level,evaluation_class_set,scvi_macro_f1,totalvi_macro_f1,delta,bootstrap_ci_low,bootstrap_ci_high,target_n_eval,n_classes
original_A,pbmc10k_to_pbmc5k,,0,l2,common,0.6785628388409383,0.6770880400607693,-0.0014747987801689844,-0.022829524786928262,0.02212264819246621,3291,19
original_A,pbmc10k_to_pbmc5k,,1,l2,common,0.6768679456146625,0.68844322031679,0.011575274702127492,-0.010284330670756294,0.03216436947720038,3291,19
original_A,pbmc10k_to_pbmc5k,,2,l2,common,0.7112941926911817,0.6898733587529157,-0.021420833938265993,-0.04518811173276444,0.0029066090741901454,3291,19
original_A,pbmc10k_to_pbmc5k,,3,l2,common,0.7161637643685289,0.676006376128717,-0.040157388239811964,-0.06176976442960842,-0.01711188744279663,3291,19
original_A,pbmc10k_to_pbmc5k,,4,l2,common,0.6965294803515348,0.7012510416590229,0.00472156130748802,-0.020569526546021098,0.026072729295536515,3291,19
original_A,pbmc10k_to_pbmc5k,,0,l1,common,0.8187354356380466,0.8340232483945942,0.015287812756547559,,,3392,8
original_A,pbmc10k_to_pbmc5k,,1,l1,common,0.8220476111414841,0.8415262513683122,0.019478640226828103,,,3392,8
original_A,pbmc10k_to_pbmc5k,,2,l1,common,0.8191589257953262,0.7983152603704073,-0.02084366542491889,,,3392,8
original_A,pbmc10k_to_pbmc5k,,3,l1,common,0.8220880758999183,0.8311399033645547,0.009051827464636397,,,3392,8
original_A,pbmc10k_to_pbmc5k,,4,l1,common,0.8207096081313318,0.819053780887072,-0.0016558272442597222,,,3392,8
original_B,pbmc5k_to_pbmc10k,,0,l2,common,0.662025678113387,0.6254826707757225,-0.03654300733766447,-0.05391562889810367,-0.0180301612420099,5916,19
original_B,pbmc5k_to_pbmc10k,,1,l2,common,0.5838947892992402,0.6253281740195884,0.04143338472034819,0.023159191627460173,0.06017006212721507,5916,19
original_B,pbmc5k_to_pbmc10k,,2,l2,common,0.6201763952852541,0.7008851321720325,0.08070873688677838,0.06058722762083064,0.10159513198640638,5916,19
original_B,pbmc5k_to_pbmc10k,,3,l2,common,0.5851874151882587,0.6908863186422725,0.10569890345401378,0.0855413933257119,0.1255888186474737,5916,19
original_B,pbmc5k_to_pbmc10k,,4,l2,common,0.6043105700464109,0.6759971701322018,0.07168660008579097,0.056488009682455376,0.08799348444107151,5916,19
original_B,pbmc5k_to_pbmc10k,,0,l1,common,0.8027547691537762,0.8770161907588205,0.07426142160504434,,,6102,8
original_B,pbmc5k_to_pbmc10k,,1,l1,common,0.70563566585784,0.7850442382306153,0.07940857237277532,,,6102,8
