cell_type,full_source_count,mean_subsample_source_count,min_subsample_source_count,target_count,scvi_matched_f1_mean,scvi_matched_f1_sd_across_subsets,totalvi_f1_mean,totalvi_f1_sd_across_subsets,delta_f1_mean
NK_CD56bright,35,22.0,20,30,0.7995237044392953,0.03136742440727977,0.7280838756907445,0.08429173258150831,-0.07143982874855082
gdT,59,33.6,29,71,0.20456540956851055,0.09035585587758657,0.09313609750356738,0.05054292223646135,-0.11142931206494316
ILC,65,39.6,38,98,0.22717772240342587,0.04026202465757893,0.12161392113018163,0.04151981683177132,-0.10556380127324425
B intermediate,68,38.8,31,66,0.46251781335282444,0.07820092310820291,0.5362264598617609,0.07952704687061968,0.07370864650893644
CD8 TCM,77,45.2,39,34,0.29146507509952835,0.04562072218118795,0.32738565782044043,0.11124372306530657,0.035920582720912086
B memory,99,61.8,58,79,0.7320476996749645,0.017431342229976235,0.7335152563869719,0.08735711786460286,0.0014675567120073785
CD16 Mono,103,62.6,53,131,0.9373954941946139,0.03334681465614602,0.9433825877608168,0.01192070006580308,0.005987093566202972
cDC2,135,77.4,70,125,0.9575681235585061,0.012442421938763002,0.9562968272931684,0.0053330698969369095,-0.001271296265337618
Eryth,144,77.2,75,86,0.6029681569597536,0.03881153217137046,0.5560049440275544,0.21231144772223398,-0.04696321293219918
Treg,241,139.8,130,59,0.15235417086292485,0.028452440540493836,0.238414105589308,0.15476037329986658,0.08605993472638315
CD8 TEM,246,142.4,128,147,0.6367785520729601,0.0665976797734196,0.7596269804050648,0.09089872012583859,0.12284842833210474
CD4 TEM,281,169.6,168,272,0.7277297553340363,0.03693568085231452,0.7209971904531158,0.0677005768072782,-0.006732564880920444
B naive,315,181.0,176,128,0.8798188085003866,0.03940618892595015,0.9290811087874677,0.04399184063768402,0.04926230028708112
CD8 Naive,320,186.8,178,48,0.7250151139844235,0.09825874751294887,0.8292506884046109,0.06383398136452066,0.10423557442018738
MAIT,356,209.2,197,24,0.40253028843589184,0.07352987215715069,0.3782995679166849,0.05062252136428735,-0.02423072051920694
CD4 TCM,580,342.6,333,327,0.6173232361495788,0.009774357770303294,0.6202051941178934,0.02406262001289441,0.0028819579683145857
NK,760,441.6,427,251,0.9611150458629322,0.008033270101541784,0.9436609620826186,0.02160675049372618,-0.017454083780313545
CD4 Naive,795,459.2,450,378,0.7293662949552339,0.056344663877996845,0.8286546039587057,0.028486341267025563,0.09928830900347185
CD14 Mono,1237,707.2,696,937,0.9631654762276682,0.004659960247332421,0.963479100905618,0.00884112600755996,0.0003136246779497087
