subsample_seed,label_level,cell_type,full_source_count,subsample_count,full_source_fraction,subsample_fraction,absolute_fraction_difference
0,l2,ASDC,3,2,0.000437636761487965,0.000500751126690035,6.311436520207e-05
0,l2,B intermediate,78,37,0.011378555798687089,0.009263895843765649,0.00211465995492144
0,l2,B memory,105,71,0.015317286652078774,0.017776664997496243,0.002459378345417469
0,l2,B naive,316,181,0.04609773887673231,0.045317976965448176,0.0007797619112841353
0,l2,CD14 Mono,1342,751,0.19576951130561634,0.18803204807210816,0.007737463233508185
0,l2,CD16 Mono,111,59,0.016192560175054705,0.014772158237356035,0.0014204019376986704
0,l2,CD4 CTL,26,15,0.0037928519328956968,0.003755633450175263,3.7218482720433824e-05
0,l2,CD4 Naive,904,545,0.13187454412837346,0.13645468202303454,0.004580137894661079
0,l2,CD4 Proliferating,8,7,0.0011670313639679066,0.0017526289434151227,0.0005855975794472161
0,l2,CD4 TCM,659,380,0.09613420860685631,0.09514271407110667,0.0009914945357496485
0,l2,CD4 TEM,330,201,0.04814004376367615,0.050325488232348524,0.0021854444686723734
0,l2,CD8 Naive,337,194,0.04916119620714807,0.0485728592889334,0.0005883369182146658
0,l2,CD8 Proliferating,30,12,0.00437636761487965,0.0030045067601402104,0.0013718608547394393
0,l2,CD8 TCM,98,61,0.014296134208606856,0.015272909364046069,0.0009767751554392128
0,l2,CD8 TEM,295,156,0.043034281546316555,0.03905858788182273,0.0039756936644938234
0,l2,Eryth,212,119,0.030926331145149526,0.029794692038057086,0.0011316391070924393
0,l2,HSPC,5,2,0.0007293946024799417,0.000500751126690035,0.00022864347578990666
0,l2,ILC,95,63,0.013858497447118891,0.015773660490736103,0.0019151630436172115
0,l2,MAIT,368,207,0.05368344274252371,0.051827741612418626,0.0018557011301050808
0,l2,NK,790,474,0.11524434719183078,0.1186780170255383,0.00343366983370752
0,l2,NK Proliferating,33,19,0.004814004376367615,0.004757135703555333,5.68686728122823e-05
0,l2,NK_CD56bright,38,22,0.0055433989788475566,0.005508262393590386,3.51365852571707e-05
0,l2,Plasmablast,11,6,0.0016046681254558717,0.0015022533800701052,0.00010241474538576645
0,l2,Platelet,5,4,0.0007293946024799417,0.00100150225338007,0.00027210765090012834
0,l2,Treg,290,188,0.04230488694383661,0.04707060590886329,0.004765718965026679
0,l2,cDC1,3,1,0.000437636761487965,0.0002503755633450175,0.0001872611981429475
0,l2,cDC2,140,86,0.020423048869438368,0.021532298447671506,0.001109249578233138
0,l2,dnT,129,78,0.018818380743982493,0.019529293940911366,0.000710913196928873
0,l2,gdT,68,42,0.009919766593727206,0.010515773660490736,0.0005960070667635296
0,l2,pDC,26,11,0.0037928519328956968,0.002754131196795193,0.0010387207361005038
0,l1,B,510,295,0.07439824945295405,0.07386079118678017,0.0005374582661738792
0,l1,CD4 T,2217,1336,0.32341356673960614,0.33450175262894344,0.011088185889337299
0,l1,CD8 T,760,423,0.11086797957695113,0.10590886329494241,0.0049591162820087215
0,l1,DC,172,100,0.02509117432530999,0.02503755633450175,5.361799080823987e-05
0,l1,Mono,1453,810,0.21196207148067103,0.2028042063094642,0.009157865171206842
0,l1,NK,861,515,0.12560175054704595,0.12894341512268404,0.003341664575638087
0,l1,other,317,188,0.0462436177972283,0.04707060590886329,0.0008269881116349936
0,l1,other T,565,327,0.0824215900802334,0.08187280921382073,0.0005487808664126764
1,l2,ASDC,3,3,0.000437636761487965,0.0007511266900350526,0.0003134899285470876
1,l2,B intermediate,78,41,0.011378555798687089,0.010265398097145719,0.0011131577015413702
1,l2,B memory,105,65,0.015317286652078774,0.01627441161742614,0.0009571249653473664
1,l2,B naive,316,176,0.04609773887673231,0.04406609914872309,0.002031639728009224
1,l2,CD14 Mono,1342,778,0.19576951130561634,0.19479218828242365,0.0009773230231927
1,l2,CD16 Mono,111,78,0.016192560175054705,0.019529293940911366,0.003336733765856661
1,l2,CD4 CTL,26,13,0.0037928519328956968,0.003254882323485228,0.0005379696094104688
1,l2,CD4 Naive,904,522,0.13187454412837346,0.13069604406609914,0.0011785000622743236
1,l2,CD4 Proliferating,8,4,0.0011670313639679066,0.00100150225338007,0.0001655291105878366
1,l2,CD4 TCM,659,395,0.09613420860685631,0.09889834752128192,0.002764138914425604
1,l2,CD4 TEM,330,196,0.04814004376367615,0.049073610415623435,0.0009335666519472846
1,l2,CD8 Naive,337,199,0.04916119620714807,0.04982473710565849,0.000663540898510423
1,l2,CD8 Proliferating,30,23,0.00437636761487965,0.005758637956935403,0.0013822703420557532
1,l2,CD8 TCM,98,59,0.014296134208606856,0.014772158237356035,0.0004760240287491786
1,l2,CD8 TEM,295,175,0.043034281546316555,0.043815723585378066,0.0007814420390615112
1,l2,Eryth,212,129,0.030926331145149526,0.03229844767150726,0.0013721165263577348
1,l2,HSPC,5,4,0.0007293946024799417,0.00100150225338007,0.00027210765090012834
1,l2,ILC,95,57,0.013858497447118891,0.014271407110665999,0.0004129096635471074
1,l2,MAIT,368,212,0.05368344274252371,0.053079619429143715,0.000603823313379992
1,l2,NK,790,445,0.11524434719183078,0.1114171256885328,0.0038272215032979784
1,l2,NK Proliferating,33,21,0.004814004376367615,0.005257886830245368,0.0004438824538777527
1,l2,NK_CD56bright,38,23,0.0055433989788475566,0.005758637956935403,0.00021523897808784637
1,l2,Plasmablast,11,6,0.0016046681254558717,0.0015022533800701052,0.00010241474538576645
1,l2,Platelet,5,2,0.0007293946024799417,0.000500751126690035,0.00022864347578990666
1,l2,Treg,290,164,0.04230488694383661,0.041061592388582875,0.0012432945552537378
1,l2,cDC1,3,3,0.000437636761487965,0.0007511266900350526,0.0003134899285470876
1,l2,cDC2,140,72,0.020423048869438368,0.018027040560841263,0.0023960083085971043
1,l2,dnT,129,77,0.018818380743982493,0.01927891837756635,0.00046053763358385597
1,l2,gdT,68,35,0.009919766593727206,0.008763144717075613,0.0011566218766515934
1,l2,pDC,26,17,0.0037928519328956968,0.004256384576865298,0.0004635326439696012
1,l1,B,510,288,0.07439824945295405,0.07210816224336505,0.002290087209588995
1,l1,CD4 T,2217,1294,0.32341356673960614,0.32398597896845266,0.0005724122288465194
1,l1,CD8 T,760,456,0.11086797957695113,0.11417125688532799,0.003303277308376859
1,l1,DC,172,95,0.02509117432530999,0.023785678517776666,0.0013054958075333252
1,l1,Mono,1453,856,0.21196207148067103,0.214321482223335,0.0023594107426639643
1,l1,NK,861,489,0.12560175054704595,0.12243365047571357,0.0031681000713323776
1,l1,other,317,192,0.0462436177972283,0.04807210816224337,0.0018284903650150688
1,l1,other T,565,324,0.0824215900802334,0.08112168252378568,0.0012999075564477242
2,l2,ASDC,3,2,0.000437636761487965,0.000500751126690035,6.311436520207e-05
2,l2,B intermediate,78,38,0.011378555798687089,0.009514271407110666,0.001864284391576423
2,l2,B memory,105,59,0.015317286652078774,0.014772158237356035,0.0005451284147227394
2,l2,B naive,316,179,0.04609773887673231,0.044817225838758135,0.0012805130379741764
2,l2,CD14 Mono,1342,766,0.19576951130561634,0.19178768152228343,0.003981829783332919
