direction,model,model_seed,coverage,n_retained,accuracy,risk,macro_f1,balanced_accuracy
pbmc10k_to_pbmc5k,scvi_matched,0,1.0,3369,0.7907390917186109,0.2092609082813891,0.6510217830627849,0.6344938503113732
pbmc10k_to_pbmc5k,scvi_matched,0,0.9,3032,0.8311345646437994,0.16886543535620058,0.6609793028617393,0.6473627852592269
pbmc10k_to_pbmc5k,scvi_matched,0,0.8,2695,0.8634508348794063,0.13654916512059367,0.6678958801258781,0.6597672933611753
pbmc10k_to_pbmc5k,scvi_matched,0,0.7,2358,0.8982188295165394,0.10178117048346058,0.6966200930153618,0.6835792164393827
pbmc10k_to_pbmc5k,scvi_matched,0,0.6,2021,0.9287481444829292,0.0712518555170708,0.7041791982496254,0.6935474655978923
pbmc10k_to_pbmc5k,scvi_matched,0,0.5,1684,0.9560570071258907,0.0439429928741093,0.7045804027097328,0.7012635253674276
pbmc10k_to_pbmc5k,scvi_matched,1,1.0,3369,0.777975660433363,0.22202433956663703,0.6441927129587905,0.6593410721337531
pbmc10k_to_pbmc5k,scvi_matched,1,0.9,3032,0.8222295514511874,0.17777044854881263,0.6749338156514385,0.6808502946806604
pbmc10k_to_pbmc5k,scvi_matched,1,0.8,2695,0.8641929499072356,0.1358070500927644,0.7031847591378427,0.6976611829451714
pbmc10k_to_pbmc5k,scvi_matched,1,0.7,2358,0.8994910941475827,0.10050890585241734,0.6970176682107373,0.6996939300861013
pbmc10k_to_pbmc5k,scvi_matched,1,0.6,2021,0.9376546264225631,0.06234537357743686,0.7098957117144316,0.7179702607830253
pbmc10k_to_pbmc5k,scvi_matched,1,0.5,1684,0.9661520190023754,0.03384798099762465,0.7324001265705032,0.7449040003480821
pbmc10k_to_pbmc5k,scvi_matched,2,1.0,3369,0.8165627782724845,0.18343722172751553,0.6850659240505798,0.6843356843495505
pbmc10k_to_pbmc5k,scvi_matched,2,0.9,3032,0.8598284960422163,0.14017150395778366,0.71011205645617,0.7003741175562385
pbmc10k_to_pbmc5k,scvi_matched,2,0.8,2695,0.8938775510204081,0.10612244897959189,0.7273282174382057,0.7136959816611416
pbmc10k_to_pbmc5k,scvi_matched,2,0.7,2358,0.917726887192536,0.08227311280746397,0.7227465551749191,0.7090986795955151
pbmc10k_to_pbmc5k,scvi_matched,2,0.6,2021,0.9505195447798119,0.04948045522018807,0.7417849596071965,0.722126702981583
pbmc10k_to_pbmc5k,scvi_matched,2,0.5,1684,0.9726840855106889,0.027315914489311144,0.7505778826988572,0.7347641697533946
pbmc10k_to_pbmc5k,scvi_matched,3,1.0,3369,0.8026120510537251,0.19738794894627487,0.6651163604208098,0.6734256286201439
pbmc10k_to_pbmc5k,scvi_matched,3,0.9,3032,0.8469656992084432,0.15303430079155678,0.6882616326043897,0.6866292632073111
pbmc10k_to_pbmc5k,scvi_matched,3,0.8,2695,0.8846011131725418,0.11539888682745825,0.7097417565346095,0.6990705905367193
pbmc10k_to_pbmc5k,scvi_matched,3,0.7,2358,0.9202714164546225,0.07972858354537748,0.7330676303412491,0.7128754083864496
pbmc10k_to_pbmc5k,scvi_matched,3,0.6,2021,0.9539831766452251,0.04601682335477486,0.7662848358447092,0.7383244023065756
pbmc10k_to_pbmc5k,scvi_matched,3,0.5,1684,0.9815914489311164,0.018408551068883616,0.7821209060911981,0.7545628527100063
