direction,model,group,u_pred
pbmc10k_to_pbmc5k,scvi_matched,correct,0.00041621923446655273
pbmc10k_to_pbmc5k,scvi_matched,correct,0.34951066970825195
pbmc10k_to_pbmc5k,scvi_matched,correct,0.13163167238235474
pbmc10k_to_pbmc5k,scvi_matched,correct,0.09658932685852051
pbmc10k_to_pbmc5k,scvi_matched,correct,0.0008510351181030273
pbmc10k_to_pbmc5k,scvi_matched,correct,0.004105210304260254
pbmc10k_to_pbmc5k,scvi_matched,correct,0.0007696151733398438
pbmc10k_to_pbmc5k,scvi_matched,correct,0.0009659528732299805
pbmc10k_to_pbmc5k,scvi_matched,correct,0.3776089549064636
pbmc10k_to_pbmc5k,scvi_matched,correct,0.02184230089187622
pbmc10k_to_pbmc5k,scvi_matched,correct,0.2169446349143982
pbmc10k_to_pbmc5k,scvi_matched,correct,0.20102840662002563
pbmc10k_to_pbmc5k,scvi_matched,correct,0.15968066453933716
pbmc10k_to_pbmc5k,scvi_matched,correct,0.5856496095657349
pbmc10k_to_pbmc5k,scvi_matched,correct,0.011918425559997559
pbmc10k_to_pbmc5k,scvi_matched,correct,0.17451614141464233
pbmc10k_to_pbmc5k,scvi_matched,correct,0.1714344620704651
pbmc10k_to_pbmc5k,scvi_matched,correct,0.05598682165145874
pbmc10k_to_pbmc5k,scvi_matched,correct,0.009344160556793213
pbmc10k_to_pbmc5k,scvi_matched,correct,0.0018811821937561035
pbmc10k_to_pbmc5k,scvi_matched,correct,0.006835043430328369
pbmc10k_to_pbmc5k,scvi_matched,correct,0.15319180488586426
pbmc10k_to_pbmc5k,scvi_matched,correct,0.00021141767501831055
pbmc10k_to_pbmc5k,scvi_matched,correct,0.4336813688278198
pbmc10k_to_pbmc5k,scvi_matched,correct,0.001540541648864746
pbmc10k_to_pbmc5k,scvi_matched,correct,0.5415462851524353
pbmc10k_to_pbmc5k,scvi_matched,correct,0.011224985122680664
pbmc10k_to_pbmc5k,scvi_matched,correct,0.00678938627243042
pbmc10k_to_pbmc5k,scvi_matched,correct,0.21185696125030518
pbmc10k_to_pbmc5k,scvi_matched,correct,0.0036377310752868652
pbmc10k_to_pbmc5k,scvi_matched,correct,0.0788390040397644
pbmc10k_to_pbmc5k,scvi_matched,correct,0.038021862506866455
pbmc10k_to_pbmc5k,scvi_matched,correct,0.09200835227966309
pbmc10k_to_pbmc5k,scvi_matched,correct,0.022386491298675537
pbmc10k_to_pbmc5k,scvi_matched,correct,0.00048029422760009766
pbmc10k_to_pbmc5k,scvi_matched,correct,0.42733287811279297
pbmc10k_to_pbmc5k,scvi_matched,correct,0.4561925530433655
pbmc10k_to_pbmc5k,scvi_matched,correct,0.004389822483062744
pbmc10k_to_pbmc5k,scvi_matched,correct,0.5367475748062134
pbmc10k_to_pbmc5k,scvi_matched,correct,0.14256441593170166
pbmc10k_to_pbmc5k,scvi_matched,correct,0.23912423849105835
pbmc10k_to_pbmc5k,scvi_matched,correct,0.009129703044891357
pbmc10k_to_pbmc5k,scvi_matched,correct,0.10364538431167603
pbmc10k_to_pbmc5k,scvi_matched,correct,0.17401832342147827
pbmc10k_to_pbmc5k,scvi_matched,correct,0.3418670892715454
pbmc10k_to_pbmc5k,scvi_matched,correct,0.4721067547798157
pbmc10k_to_pbmc5k,scvi_matched,correct,0.3845698833465576
pbmc10k_to_pbmc5k,scvi_matched,correct,0.003982365131378174
pbmc10k_to_pbmc5k,scvi_matched,correct,0.015076637268066406
pbmc10k_to_pbmc5k,scvi_matched,correct,3.0159950256347656e-05
pbmc10k_to_pbmc5k,scvi_matched,correct,0.24257534742355347
pbmc10k_to_pbmc5k,scvi_matched,correct,0.4612022638320923
pbmc10k_to_pbmc5k,scvi_matched,correct,0.004102945327758789
pbmc10k_to_pbmc5k,scvi_matched,correct,0.6248143911361694
pbmc10k_to_pbmc5k,scvi_matched,correct,0.424921452999115
pbmc10k_to_pbmc5k,scvi_matched,correct,0.006613433361053467
pbmc10k_to_pbmc5k,scvi_matched,correct,0.15664172172546387
pbmc10k_to_pbmc5k,scvi_matched,correct,0.5518823266029358
pbmc10k_to_pbmc5k,scvi_matched,correct,0.45688557624816895
pbmc10k_to_pbmc5k,scvi_matched,correct,0.11395144462585449
pbmc10k_to_pbmc5k,scvi_matched,correct,0.47692275047302246
pbmc10k_to_pbmc5k,scvi_matched,correct,0.3552393317222595
pbmc10k_to_pbmc5k,scvi_matched,correct,0.08601689338684082
pbmc10k_to_pbmc5k,scvi_matched,correct,0.008946716785430908
pbmc10k_to_pbmc5k,scvi_matched,correct,0.13496649265289307
pbmc10k_to_pbmc5k,scvi_matched,correct,0.22890210151672363
pbmc10k_to_pbmc5k,scvi_matched,correct,0.32029086351394653
pbmc10k_to_pbmc5k,scvi_matched,correct,0.11535203456878662
pbmc10k_to_pbmc5k,scvi_matched,correct,0.1701977252960205
pbmc10k_to_pbmc5k,scvi_matched,correct,0.004428565502166748
pbmc10k_to_pbmc5k,scvi_matched,correct,0.00046455860137939453
pbmc10k_to_pbmc5k,scvi_matched,correct,0.2535545229911804
pbmc10k_to_pbmc5k,scvi_matched,correct,0.0002765059471130371
pbmc10k_to_pbmc5k,scvi_matched,correct,0.08855223655700684
pbmc10k_to_pbmc5k,scvi_matched,correct,0.5827745199203491
pbmc10k_to_pbmc5k,scvi_matched,correct,0.014332413673400879
pbmc10k_to_pbmc5k,scvi_matched,correct,0.15412598848342896
pbmc10k_to_pbmc5k,scvi_matched,correct,0.00011873245239257812
pbmc10k_to_pbmc5k,scvi_matched,correct,0.4090702533721924
pbmc10k_to_pbmc5k,scvi_matched,correct,0.03476351499557495
pbmc10k_to_pbmc5k,scvi_matched,correct,0.014092803001403809
pbmc10k_to_pbmc5k,scvi_matched,correct,0.00019162893295288086
pbmc10k_to_pbmc5k,scvi_matched,correct,0.5840014219284058
pbmc10k_to_pbmc5k,scvi_matched,correct,0.01217508316040039
pbmc10k_to_pbmc5k,scvi_matched,correct,0.0003490447998046875
pbmc10k_to_pbmc5k,scvi_matched,correct,0.36337846517562866
pbmc10k_to_pbmc5k,scvi_matched,correct,0.21780157089233398
pbmc10k_to_pbmc5k,scvi_matched,correct,0.03329521417617798
pbmc10k_to_pbmc5k,scvi_matched,correct,0.0013717412948608398
pbmc10k_to_pbmc5k,scvi_matched,correct,0.0008954405784606934
pbmc10k_to_pbmc5k,scvi_matched,correct,0.054524004459381104
pbmc10k_to_pbmc5k,scvi_matched,correct,0.2785465121269226
pbmc10k_to_pbmc5k,scvi_matched,correct,0.002023041248321533
pbmc10k_to_pbmc5k,scvi_matched,correct,0.3893687129020691
pbmc10k_to_pbmc5k,scvi_matched,correct,0.0017123818397521973
pbmc10k_to_pbmc5k,scvi_matched,correct,0.00022429227828979492
pbmc10k_to_pbmc5k,scvi_matched,correct,0.007931709289550781
pbmc10k_to_pbmc5k,scvi_matched,correct,0.0012777447700500488
pbmc10k_to_pbmc5k,scvi_matched,correct,0.21097731590270996
pbmc10k_to_pbmc5k,scvi_matched,correct,0.015080690383911133
pbmc10k_to_pbmc5k,scvi_matched,correct,0.05975693464279175
pbmc10k_to_pbmc5k,scvi_matched,correct,0.0037413835525512695
pbmc10k_to_pbmc5k,scvi_matched,correct,0.0011368989944458008
pbmc10k_to_pbmc5k,scvi_matched,correct,0.383833110332489
pbmc10k_to_pbmc5k,scvi_matched,correct,0.0005079507827758789
pbmc10k_to_pbmc5k,scvi_matched,correct,0.05207341909408569
pbmc10k_to_pbmc5k,scvi_matched,correct,0.3648608922958374
pbmc10k_to_pbmc5k,scvi_matched,correct,0.00038808584213256836
pbmc10k_to_pbmc5k,scvi_matched,correct,0.05179041624069214
pbmc10k_to_pbmc5k,scvi_matched,correct,0.11795562505722046
pbmc10k_to_pbmc5k,scvi_matched,correct,0.001721501350402832
pbmc10k_to_pbmc5k,scvi_matched,correct,0.2783116102218628
pbmc10k_to_pbmc5k,scvi_matched,correct,0.001279294490814209
