direction,model,model_seed,label_level,n_cells,accuracy,balanced_accuracy,macro_f1,weighted_f1,error_prevalence,error_detection_auroc_pred,error_detection_auprc_pred,error_detection_auroc_latent,error_detection_auprc_latent,nll,brier,ece_equal_frequency,ece_equal_width,aurc,median_predictive_uncertainty,median_latent_uncertainty,latent_uncertainty_status,error_detection_auroc_entropy,error_detection_auroc_neg_margin,temperature,nll_temperature_scaled,brier_temperature_scaled,ece_eq_freq_temperature_scaled,error_detection_auroc_temperature_scaled,error_rate_top_10pct,error_rate_top_20pct,error_rate_bottom_20pct,error_enrichment_top10_over_bottom20
pbmc10k_to_pbmc5k,scvi_matched,0,l2,3369,0.7907390917186109,0.6344938503113732,0.6510217830627849,0.7813507255044935,0.20926090828138913,0.8270057291333888,0.5023948713811304,,,0.5863164383107541,0.2978095018790521,0.03541598457297927,0.03883789996783788,0.06457015455461085,0.09917610883712769,,unsupported_see_posterior_api_validation_md,0.8223036866653888,0.8226449854109428,0.9657258059441415,0.5897488717871603,0.2986441899942645,0.03841220892017056,0.8268603710093071,0.5727002967359051,0.5,0.0,inf
pbmc10k_to_pbmc5k,scvi_matched,1,l2,3369,0.777975660433363,0.6593410721337531,0.6441927129587905,0.7714354511037198,0.22202433956663697,0.8502311645757119,0.5626028963524782,,,0.6078556249264048,0.30590665263669303,0.03365952800876416,0.03450209616677067,0.0634739540392167,0.10537469387054443,,unsupported_see_posterior_api_validation_md,0.8482969720092954,0.844971303356069,0.9449035586932191,0.6134585760609826,0.3075963679787247,0.04333772183207666,0.8497287437745727,0.6201780415430267,0.5667655786350149,0.0,inf
pbmc10k_to_pbmc5k,scvi_matched,2,l2,3369,0.8165627782724845,0.6843356843495505,0.6850659240505798,0.803928178918973,0.1834372217275156,0.8434896871864188,0.5046998635165394,,,0.5172156126144816,0.2631508163148807,0.019729543383307603,0.02544843201362689,0.05059321444389758,0.08952337503433228,,unsupported_see_posterior_api_validation_md,0.8373930515411283,0.8383694543555213,0.8850920266737031,0.5262792107842886,0.26530549274185,0.03236892222296629,0.842655039238453,0.5727002967359051,0.49258160237388726,0.0,inf
pbmc10k_to_pbmc5k,scvi_matched,3,l2,3369,0.8026120510537251,0.6734256286201439,0.6651163604208098,0.7933444580077756,0.19738794894627487,0.8594112870934734,0.5430805251257415,,,0.5419618850153664,0.27075170898440776,0.012023033896551242,0.015424488833835893,0.05146550515055382,0.10407513380050659,,unsupported_see_posterior_api_validation_md,0.85288072251635,0.8560611958891311,0.9245302649422547,0.5437562310935284,0.271679865918933,0.02157576176489662,0.8591465720514304,0.5964391691394659,0.5252225519287834,0.0,inf
pbmc10k_to_pbmc5k,scvi_matched,4,l2,3369,0.7960819234194123,0.6597368137327535,0.6577255382600048,0.7887631938407204,0.20391807658058772,0.8452153393098851,0.5145344340172806,,,0.5466664845549457,0.2842233486675317,0.03461300128997345,0.03478850290714439,0.057318896436700253,0.08386653661727905,,unsupported_see_posterior_api_validation_md,0.8439258108669908,0.840112041351747,0.9449035586932191,0.5521672705158112,0.28619698058257337,0.04313116595171155,0.8447825114760433,0.5608308605341247,0.5059347181008902,0.001483679525222552,378.0
pbmc10k_to_pbmc5k,totalvi,0,l2,3369,0.8165627782724845,0.6370303924874051,0.6357672182574826,0.794159951606735,0.1834372217275156,0.8682297346419484,0.5432153591237139,,,0.5041646691361998,0.2534732076819175,0.025259313871047382,0.024983720817987696,0.0448705631683499,0.09145408868789673,,unsupported_see_posterior_api_validation_md,0.8606684947750686,0.8631665566743014,0.8850920266737031,0.5121083550578337,0.2565519122783456,0.04251449394381764,0.8670959898077664,0.6083086053412463,0.5370919881305638,0.0,inf
pbmc10k_to_pbmc5k,totalvi,1,l2,3369,0.8159691303057287,0.6519941970438736,0.6553804895452042,0.7949214811507231,0.1840308696942713,0.8338592332695761,0.5037417621881393,,,0.5411761448951453,0.26671191248678927,0.025136826175651203,0.02417553344265435,0.05455344184362159,0.09220725297927856,,unsupported_see_posterior_api_validation_md,0.8335611776716458,0.8261578990600689,0.8660083438045246,0.5597333006972068,0.27087034700481716,0.049854810079009576,0.8315721846067192,0.5756676557863502,0.4896142433234421,0.004451038575667656,129.33333333333334
pbmc10k_to_pbmc5k,totalvi,2,l2,3369,0.8177500742059959,0.6583810287595262,0.6646659421957736,0.8007718686264816,0.18224992579400415,0.8372984860218613,0.46015438346972126,,,0.5116877982306869,0.2626760581722953,0.021001794715775488,0.020591631412293816,0.05128157458502644,0.10256743431091309,,unsupported_see_posterior_api_validation_md,0.827527681384749,0.8325123997233339,0.8850920266737031,0.517916644705012,0.26461948301141003,0.037263126410798236,0.8367552037456327,0.5103857566765578,0.4821958456973294,0.0,inf
pbmc10k_to_pbmc5k,totalvi,3,l2,3369,0.8150786583555951,0.6394102204152192,0.6402745954658015,0.7922401397736721,0.18492134164440488,0.8486822800185648,0.5037010220809534,,,0.5155639366763086,0.26222229026196076,0.023793814496492992,0.021185953659910793,0.05029380663086515,0.09042304754257202,,unsupported_see_posterior_api_validation_md,0.8465387857312372,0.8438066634789958,0.8850920266737031,0.5262532028785392,0.2655840983082862,0.043356818512732286,0.8474465704675939,0.5608308605341247,0.4910979228486647,0.002967359050445104,189.0
pbmc10k_to_pbmc5k,totalvi,4,l2,3369,0.8032056990204809,0.6557095596880953,0.6678916332453284,0.7918650687847187,0.19679430097951914,0.8478519328591064,0.5207210392799191,,,0.5118551798808233,0.26896421586727887,0.014688808553896097,0.01705912873701795,0.05458734405556969,0.11638897657394409,,unsupported_see_posterior_api_validation_md,0.8347407414839265,0.8459420381945489,0.8850920266737031,0.5162422056947652,0.2711775710013442,0.034808112883928745,0.8481292340689758,0.5756676557863502,0.5103857566765578,0.002967359050445104,194.0
