direction,model,model_seed,scheme,bin,bin_lower,bin_upper,n_cells,mean_confidence,empirical_accuracy,gap
pbmc10k_to_pbmc5k,scvi_matched,0,equal_frequency,0,0.18250444531440735,0.4699147264162699,225,0.3911808133125305,0.44,0.048819186687469485
pbmc10k_to_pbmc5k,scvi_matched,0,equal_frequency,1,0.4699147264162699,0.5430108388264974,225,0.5060062408447266,0.4711111111111111,-0.03489512973361547
pbmc10k_to_pbmc5k,scvi_matched,0,equal_frequency,2,0.5430108388264974,0.6135606408119202,224,0.5784289240837097,0.5892857142857143,0.010856790202004585
pbmc10k_to_pbmc5k,scvi_matched,0,equal_frequency,3,0.6135606408119202,0.6786596258481343,225,0.6438259482383728,0.6266666666666667,-0.017159281571706098
pbmc10k_to_pbmc5k,scvi_matched,0,equal_frequency,4,0.6786596258481343,0.7474935253461201,224,0.7151466012001038,0.6026785714285714,-0.11246802977153236
pbmc10k_to_pbmc5k,scvi_matched,0,equal_frequency,5,0.7474935253461201,0.8156756162643433,225,0.7828567028045654,0.7733333333333333,-0.009523369471232113
pbmc10k_to_pbmc5k,scvi_matched,0,equal_frequency,6,0.8156756162643433,0.8718170563379923,224,0.8437324166297913,0.7767857142857143,-0.06694670234407696
pbmc10k_to_pbmc5k,scvi_matched,0,equal_frequency,7,0.8718170563379923,0.9246344049771626,225,0.899440348148346,0.84,-0.05944034814834598
pbmc10k_to_pbmc5k,scvi_matched,0,equal_frequency,8,0.9246344049771626,0.9636075735092163,224,0.9460240602493286,0.8482142857142857,-0.09780977453504291
pbmc10k_to_pbmc5k,scvi_matched,0,equal_frequency,9,0.9636075735092163,0.9864417314529419,225,0.9764143824577332,0.9288888888888889,-0.04752549356884428
pbmc10k_to_pbmc5k,scvi_matched,0,equal_frequency,10,0.9864417314529419,0.9948793411254883,224,0.9914121627807617,0.9732142857142857,-0.01819787706647602
pbmc10k_to_pbmc5k,scvi_matched,0,equal_frequency,11,0.9948793411254883,0.9978219747543335,225,0.9965760707855225,0.9911111111111112,-0.005464959674411296
pbmc10k_to_pbmc5k,scvi_matched,0,equal_frequency,12,0.9978219747543335,0.9989040931065877,224,0.998442530632019,1.0,0.001557469367980957
pbmc10k_to_pbmc5k,scvi_matched,0,equal_frequency,13,0.9989040931065877,0.9995330969492594,225,0.9992480278015137,1.0,0.0007519721984863281
pbmc10k_to_pbmc5k,scvi_matched,0,equal_frequency,14,0.9995330969492594,0.999996542930603,225,0.9997528791427612,1.0,0.00024712085723876953
pbmc10k_to_pbmc5k,scvi_matched,0,equal_width,2,0.13333333333333333,0.2,1,0.18250444531440735,0.0,-0.18250444531440735
pbmc10k_to_pbmc5k,scvi_matched,0,equal_width,3,0.2,0.26666666666666666,7,0.23175963759422302,0.2857142857142857,0.053954648120062676
pbmc10k_to_pbmc5k,scvi_matched,0,equal_width,4,0.26666666666666666,0.3333333333333333,32,0.30824750661849976,0.34375,0.035502493381500244
pbmc10k_to_pbmc5k,scvi_matched,0,equal_width,5,0.3333333333333333,0.4,67,0.3673405051231384,0.417910447761194,0.05056994263805559
pbmc10k_to_pbmc5k,scvi_matched,0,equal_width,6,0.4,0.4666666666666667,112,0.43680188059806824,0.49107142857142855,0.05426954797336031
pbmc10k_to_pbmc5k,scvi_matched,0,equal_width,7,0.4666666666666667,0.5333333333333333,209,0.5015612840652466,0.45454545454545453,-0.04701582951979205
pbmc10k_to_pbmc5k,scvi_matched,0,equal_width,8,0.5333333333333333,0.6,198,0.5667983293533325,0.6111111111111112,0.04431278175777864
pbmc10k_to_pbmc5k,scvi_matched,0,equal_width,9,0.6,0.6666666666666666,231,0.6311467289924622,0.5844155844155844,-0.04673114457687777
pbmc10k_to_pbmc5k,scvi_matched,0,equal_width,10,0.6666666666666666,0.7333333333333333,205,0.6988651752471924,0.6390243902439025,-0.05984078500328993
pbmc10k_to_pbmc5k,scvi_matched,0,equal_width,11,0.7333333333333333,0.8,228,0.7648793458938599,0.7456140350877193,-0.01926531080614058
pbmc10k_to_pbmc5k,scvi_matched,0,equal_width,12,0.8,0.8666666666666667,258,0.8335282802581787,0.751937984496124,-0.08159029576205468
pbmc10k_to_pbmc5k,scvi_matched,0,equal_width,13,0.8666666666666667,0.9333333333333333,289,0.9009602069854736,0.8304498269896193,-0.0705103799958543
pbmc10k_to_pbmc5k,scvi_matched,0,equal_width,14,0.9333333333333333,1.0,1532,0.9883808493614197,0.9673629242819843,-0.02101792507943534
pbmc10k_to_pbmc5k,scvi_matched,1,equal_frequency,0,0.2070353925228119,0.433882733186086,225,0.36162668466567993,0.37777777777777777,0.016151093112097836
pbmc10k_to_pbmc5k,scvi_matched,1,equal_frequency,1,0.433882733186086,0.5190838217735291,225,0.47897183895111084,0.41333333333333333,-0.06563850561777751
pbmc10k_to_pbmc5k,scvi_matched,1,equal_frequency,2,0.5190838217735291,0.5961336255073547,224,0.5578446388244629,0.5089285714285714,-0.048916067395891494
pbmc10k_to_pbmc5k,scvi_matched,1,equal_frequency,3,0.5961336255073547,0.6706554214159648,225,0.6326994895935059,0.6088888888888889,-0.023810600704616935
pbmc10k_to_pbmc5k,scvi_matched,1,equal_frequency,4,0.6706554214159648,0.7344406843185425,224,0.7019446492195129,0.6205357142857143,-0.08140893493379864
pbmc10k_to_pbmc5k,scvi_matched,1,equal_frequency,5,0.7344406843185425,0.8079523921012879,225,0.7719281911849976,0.7022222222222222,-0.06970596896277537
pbmc10k_to_pbmc5k,scvi_matched,1,equal_frequency,6,0.8079523921012879,0.8676754355430603,224,0.8381800651550293,0.7857142857142857,-0.0524657794407436
pbmc10k_to_pbmc5k,scvi_matched,1,equal_frequency,7,0.8676754355430603,0.9231404383977254,225,0.8953878283500671,0.8311111111111111,-0.064276717238956
pbmc10k_to_pbmc5k,scvi_matched,1,equal_frequency,8,0.9231404383977254,0.9609853982925415,224,0.9420201182365417,0.90625,-0.03577011823654175
pbmc10k_to_pbmc5k,scvi_matched,1,equal_frequency,9,0.9609853982925415,0.9844024181365967,225,0.9747265577316284,0.9377777777777778,-0.0369487799538506
pbmc10k_to_pbmc5k,scvi_matched,1,equal_frequency,10,0.9844024181365967,0.9935883363087972,224,0.9894024729728699,0.9866071428571429,-0.0027953301157269683
pbmc10k_to_pbmc5k,scvi_matched,1,equal_frequency,11,0.9935883363087972,0.9972944140434266,225,0.9954822063446045,0.9911111111111112,-0.004371095233493327
pbmc10k_to_pbmc5k,scvi_matched,1,equal_frequency,12,0.9972944140434266,0.9988689661026001,224,0.9981693625450134,1.0,0.0018306374549865723
pbmc10k_to_pbmc5k,scvi_matched,1,equal_frequency,13,0.9988689661026001,0.999615478515625,225,0.9992951154708862,1.0,0.0007048845291137695
pbmc10k_to_pbmc5k,scvi_matched,1,equal_frequency,14,0.999615478515625,0.999990701675415,225,0.9998072385787964,1.0,0.00019276142120361328
pbmc10k_to_pbmc5k,scvi_matched,1,equal_width,3,0.2,0.26666666666666666,17,0.24765045940876007,0.29411764705882354,0.04646718765006347
pbmc10k_to_pbmc5k,scvi_matched,1,equal_width,4,0.26666666666666666,0.3333333333333333,44,0.3067474365234375,0.22727272727272727,-0.07947470925071023
pbmc10k_to_pbmc5k,scvi_matched,1,equal_width,5,0.3333333333333333,0.4,98,0.36926233768463135,0.3469387755102041,-0.02232356217442727
pbmc10k_to_pbmc5k,scvi_matched,1,equal_width,6,0.4,0.4666666666666667,147,0.4362218976020813,0.46938775510204084,0.03316585749995954
pbmc10k_to_pbmc5k,scvi_matched,1,equal_width,7,0.4666666666666667,0.5333333333333333,189,0.5016142725944519,0.42857142857142855,-0.07304284402302336
