direction,label_level,metric,scvi_value,totalvi_value,delta_totalvi_minus_scvi,bootstrap_ci_low,bootstrap_ci_high,higher_is_better,n_boot,across_seed_delta_mean,across_seed_delta_sd,across_seed_delta_min,across_seed_delta_max,n_seeds,seed0_delta,bootstrap_conditional_on_seed,bootstrap_excludes_zero,across_seed_consistent_sign,evidence
pbmc10k_to_pbmc5k,l2,error_auroc,0.8270057291333888,0.8682297346419484,0.0412240055085596,0.0244818813718268,0.0566645785348808,True,500,0.0021136919024358214,0.0229429427481945,-0.01637193130613579,0.04122400550855965,5,0.04122400550855965,0,True,False,seed-dependent: bootstrap CI excludes zero but seeds disagree in sign
pbmc10k_to_pbmc5k,l2,error_auprc,0.5023948713811304,0.5432153591237139,0.0408204877425835,-0.0158881834187262,0.0960940864849272,True,500,-0.01915580485014464,0.041441344617127986,-0.05886113416433891,0.04082048774258351,5,0.04082048774258351,0,False,False,no reliable difference
pbmc10k_to_pbmc5k,l2,ece,0.0354159845729792,0.0252593138710473,-0.0101566707019318,-0.0217276899799213,0.0042321763218386,False,500,-0.005112106667742541,0.012065131463654141,-0.019924192736077397,0.011770780599941699,5,-0.010156670701931905,0,False,False,no reliable difference
pbmc10k_to_pbmc5k,l2,brier,0.2978095018790521,0.2534732076819175,-0.0443362941971345,-0.0553907067399323,-0.0344254046797784,False,500,-0.021558868802464725,0.01926024422999646,-0.044336294197134585,-0.0004747581425854075,5,-0.044336294197134585,0,True,True,robust: bootstrap and all 5 seeds agree in sign
pbmc10k_to_pbmc5k,l2,aurc,0.0645701545546108,0.0448705631683499,-0.0196995913862609,-0.0241568880571229,-0.0155549826646746,False,500,-0.006366998868309301,0.008280461357737622,-0.019699591386260908,0.0006883601411288992,5,-0.019699591386260908,0,True,False,seed-dependent: bootstrap CI excludes zero but seeds disagree in sign
pbmc5k_to_pbmc10k,l2,error_auroc,0.8626811370733036,0.873314578009369,0.0106334409360653,0.0001564291700055,0.0215619988685471,True,500,-0.0022432562517043396,0.027534846601193687,-0.03860815955209651,0.03507705437864639,5,0.01063344093606533,0,True,False,seed-dependent: bootstrap CI excludes zero but seeds disagree in sign
pbmc5k_to_pbmc10k,l2,error_auprc,0.6073083790827701,0.6139366488085434,0.0066282697257732,-0.0274783640697672,0.0457611603556664,True,500,-0.040024575800749404,0.05204625828141682,-0.12248835680582815,0.006628269725773239,5,0.006628269725773239,0,False,False,no reliable difference
pbmc5k_to_pbmc10k,l2,ece,0.019611161379587,0.0372470184151235,0.0176358570355364,0.0059579170871798,0.0267430942168298,False,500,0.0045353950709004585,0.018209617185761504,-0.0180248952127798,0.0256380642483812,5,0.0176358570355365,0,True,False,seed-dependent: bootstrap CI excludes zero but seeds disagree in sign
pbmc5k_to_pbmc10k,l2,brier,0.2985765812861604,0.2876900029114873,-0.010886578374673,-0.0183554047342193,-0.0032588549861986,False,500,-0.03763283242495524,0.038858206521547756,-0.07942661011667096,0.007936656936318898,5,-0.010886578374673106,0,True,False,seed-dependent: bootstrap CI excludes zero but seeds disagree in sign
pbmc5k_to_pbmc10k,l2,aurc,0.0593286120679074,0.0559729896013832,-0.0033556224665242,-0.0068130250596716,-0.0003535051928314,False,500,-0.007827709541184419,0.021665783409845367,-0.032884381434190604,0.023072847122666412,5,-0.003355622466524197,0,True,False,seed-dependent: bootstrap CI excludes zero but seeds disagree in sign
