2026-09-08 23:32:29,452 | INFO | phase11b_analysis | === stage perseed (2026-09-08T13:32:29.452293+00:00) ===
2026-09-08 23:32:35,004 | INFO | phase11b_analysis | direction_A: 3369 eval cells, 22 classes
2026-09-08 23:32:39,374 | INFO | phase11b_analysis | direction_B: 5964 eval cells, 21 classes
2026-09-08 23:32:39,834 | INFO | phase11b_analysis | direction_B__scvi_matched__seed00 macroF1=0.6402 errAUROC=0.8627 latAUROC=0.4310 ECE=0.0196
2026-09-08 23:32:40,454 | INFO | phase11b_analysis | direction_B__totalvi__seed00 macroF1=0.6157 errAUROC=0.8733 latAUROC=0.6636 ECE=0.0372
2026-09-08 23:32:40,755 | INFO | phase11b_analysis | perseed done: 2 rows
2026-09-09 11:55:54,064 | INFO | phase11b_analysis | === stage perseed (2026-09-09T01:55:54.064081+00:00) ===
2026-09-09 11:55:59,857 | INFO | phase11b_analysis | direction_A: 3369 eval cells, 22 classes
2026-09-09 11:56:00,411 | INFO | phase11b_analysis | direction_A__scvi_matched__seed00 macroF1=0.6510 errAUROC=0.8270 latAUROC=0.5812 ECE=0.0354
2026-09-09 11:56:01,114 | INFO | phase11b_analysis | direction_A__scvi_matched__seed01 macroF1=0.6442 errAUROC=0.8502 latAUROC=0.4998 ECE=0.0337
2026-09-09 11:56:02,009 | INFO | phase11b_analysis | direction_A__scvi_matched__seed02 macroF1=0.6851 errAUROC=0.8435 latAUROC=0.5558 ECE=0.0197
2026-09-09 11:56:02,704 | INFO | phase11b_analysis | direction_A__scvi_matched__seed03 macroF1=0.6651 errAUROC=0.8594 latAUROC=0.5560 ECE=0.0120
2026-09-09 11:56:03,338 | INFO | phase11b_analysis | direction_A__scvi_matched__seed04 macroF1=0.6577 errAUROC=0.8452 latAUROC=0.6577 ECE=0.0346
2026-09-09 11:56:04,151 | INFO | phase11b_analysis | direction_A__totalvi__seed00 macroF1=0.6358 errAUROC=0.8682 latAUROC=0.6378 ECE=0.0253
2026-09-09 11:56:05,065 | INFO | phase11b_analysis | direction_A__totalvi__seed01 macroF1=0.6554 errAUROC=0.8339 latAUROC=0.6733 ECE=0.0251
2026-09-09 11:56:05,916 | INFO | phase11b_analysis | direction_A__totalvi__seed02 macroF1=0.6647 errAUROC=0.8373 latAUROC=0.6599 ECE=0.0210
2026-09-09 11:56:06,733 | INFO | phase11b_analysis | direction_A__totalvi__seed03 macroF1=0.6403 errAUROC=0.8487 latAUROC=0.6670 ECE=0.0238
2026-09-09 11:56:07,566 | INFO | phase11b_analysis | direction_A__totalvi__seed04 macroF1=0.6679 errAUROC=0.8479 latAUROC=0.6747 ECE=0.0147
2026-09-09 11:56:11,918 | INFO | phase11b_analysis | direction_B: 5964 eval cells, 21 classes
2026-09-09 11:56:12,361 | INFO | phase11b_analysis | direction_B__scvi_matched__seed00 macroF1=0.6402 errAUROC=0.8627 latAUROC=0.4310 ECE=0.0196
2026-09-09 11:56:12,890 | INFO | phase11b_analysis | direction_B__scvi_matched__seed01 macroF1=0.5708 errAUROC=0.8510 latAUROC=0.4617 ECE=0.0495
2026-09-09 11:56:13,414 | INFO | phase11b_analysis | direction_B__scvi_matched__seed02 macroF1=0.6115 errAUROC=0.8546 latAUROC=0.5143 ECE=0.0244
2026-09-09 11:56:13,994 | INFO | phase11b_analysis | direction_B__scvi_matched__seed03 macroF1=0.5845 errAUROC=0.8743 latAUROC=0.4567 ECE=0.0456
2026-09-09 11:56:14,565 | INFO | phase11b_analysis | direction_B__scvi_matched__seed04 macroF1=0.6208 errAUROC=0.8450 latAUROC=0.4665 ECE=0.0378
2026-09-09 11:56:15,191 | INFO | phase11b_analysis | direction_B__totalvi__seed00 macroF1=0.6157 errAUROC=0.8733 latAUROC=0.6636 ECE=0.0372
2026-09-09 11:56:15,884 | INFO | phase11b_analysis | direction_B__totalvi__seed01 macroF1=0.6102 errAUROC=0.8124 latAUROC=0.6563 ECE=0.0564
2026-09-09 11:56:16,524 | INFO | phase11b_analysis | direction_B__totalvi__seed02 macroF1=0.6869 errAUROC=0.8402 latAUROC=0.6017 ECE=0.0501
2026-09-09 11:56:17,147 | INFO | phase11b_analysis | direction_B__totalvi__seed03 macroF1=0.6715 errAUROC=0.8704 latAUROC=0.5926 ECE=0.0276
2026-09-09 11:56:17,757 | INFO | phase11b_analysis | direction_B__totalvi__seed04 macroF1=0.6596 errAUROC=0.8801 latAUROC=0.5841 ECE=0.0284
2026-09-09 11:56:18,061 | INFO | phase11b_analysis | perseed done: 20 rows
