2026-09-09 15:51:49,939 | INFO | phase11b | stage=crossed jobs=50 pending=50 start=2026-09-09T05:51:49.939552+00:00
2026-09-09 15:51:56,528 | INFO | phase11b | crossed l2: 20 classes common to all 5 subsets: ['B intermediate', 'B memory', 'B naive', 'CD14 Mono', 'CD16 Mono', 'CD4 Naive', 'CD4 TCM', 'CD4 TEM', 'CD8 Naive', 'CD8 TCM', 'CD8 TEM', 'Eryth', 'ILC', 'MAIT', 'NK', 'NK_CD56bright', 'Treg', 'cDC2', 'dnT', 'gdT']
2026-09-09 15:51:56,739 | INFO | phase11b | crossed l1: 8 classes common to all 5 subsets: ['B', 'CD4 T', 'CD8 T', 'DC', 'Mono', 'NK', 'other', 'other T']
2026-09-09 15:51:56,907 | INFO | phase11b | loading direction_A (PBMC10k -> PBMC5k)
2026-09-09 15:52:01,035 | INFO | phase11b | === direction_A__scvi_matched__subset0__seed00 (source n=3994 target n=3994) ===
2026-09-09 15:54:04,626 | INFO | phase11b | direction_A__scvi_matched__subset0__seed00 done: src_ep=200 q_ep=200 runtime=121s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.07486 ram_avail=5414MB
2026-09-09 15:54:04,776 | INFO | phase11b | === direction_A__scvi_matched__subset0__seed01 (source n=3994 target n=3994) ===
2026-09-09 15:56:10,612 | INFO | phase11b | direction_A__scvi_matched__subset0__seed01 done: src_ep=200 q_ep=200 runtime=124s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.11617 ram_avail=5367MB
2026-09-09 15:56:10,761 | INFO | phase11b | === direction_A__scvi_matched__subset0__seed02 (source n=3994 target n=3994) ===
2026-09-09 15:58:38,839 | INFO | phase11b | direction_A__scvi_matched__subset0__seed02 done: src_ep=200 q_ep=200 runtime=146s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.08116 ram_avail=4718MB
2026-09-09 15:58:38,995 | INFO | phase11b | === direction_A__scvi_matched__subset0__seed03 (source n=3994 target n=3994) ===
2026-09-09 16:00:57,690 | INFO | phase11b | direction_A__scvi_matched__subset0__seed03 done: src_ep=200 q_ep=200 runtime=137s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.07482 ram_avail=4701MB
2026-09-09 16:00:57,844 | INFO | phase11b | === direction_A__scvi_matched__subset0__seed04 (source n=3994 target n=3994) ===
2026-09-09 16:03:17,659 | INFO | phase11b | direction_A__scvi_matched__subset0__seed04 done: src_ep=200 q_ep=200 runtime=138s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.09437 ram_avail=4648MB
2026-09-09 16:03:17,815 | INFO | phase11b | === direction_A__totalvi__subset0__seed00 (source n=3994 target n=3994) ===
2026-09-09 16:07:08,807 | INFO | phase11b | direction_A__totalvi__subset0__seed00 done: src_ep=200 q_ep=200 runtime=228s drift_mean=0.016343 integrity=0.00e+00 u_latent=0.03144 ram_avail=5184MB
2026-09-09 16:07:08,954 | INFO | phase11b | === direction_A__totalvi__subset0__seed01 (source n=3994 target n=3994) ===
2026-09-09 16:10:37,908 | INFO | phase11b | direction_A__totalvi__subset0__seed01 done: src_ep=200 q_ep=200 runtime=206s drift_mean=0.019735 integrity=0.00e+00 u_latent=0.03373 ram_avail=5118MB
2026-09-09 16:10:38,063 | INFO | phase11b | === direction_A__totalvi__subset0__seed02 (source n=3994 target n=3994) ===
2026-09-09 16:14:07,567 | INFO | phase11b | direction_A__totalvi__subset0__seed02 done: src_ep=200 q_ep=200 runtime=207s drift_mean=0.017995 integrity=0.00e+00 u_latent=0.03476 ram_avail=5130MB
2026-09-09 16:14:07,721 | INFO | phase11b | === direction_A__totalvi__subset0__seed03 (source n=3994 target n=3994) ===
2026-09-09 16:17:36,490 | INFO | phase11b | direction_A__totalvi__subset0__seed03 done: src_ep=200 q_ep=200 runtime=206s drift_mean=0.016187 integrity=0.00e+00 u_latent=0.03157 ram_avail=5106MB
2026-09-09 16:17:36,640 | INFO | phase11b | === direction_A__totalvi__subset0__seed04 (source n=3994 target n=3994) ===
2026-09-09 16:21:11,806 | INFO | phase11b | direction_A__totalvi__subset0__seed04 done: src_ep=200 q_ep=200 runtime=212s drift_mean=0.018417 integrity=0.00e+00 u_latent=0.03795 ram_avail=5060MB
2026-09-09 16:21:12,147 | INFO | phase11b | === direction_A__scvi_matched__subset1__seed00 (source n=3994 target n=3994) ===
2026-09-09 16:23:17,422 | INFO | phase11b | direction_A__scvi_matched__subset1__seed00 done: src_ep=200 q_ep=200 runtime=123s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.08924 ram_avail=5207MB
2026-09-09 16:23:17,575 | INFO | phase11b | === direction_A__scvi_matched__subset1__seed01 (source n=3994 target n=3994) ===
2026-09-09 16:25:22,202 | INFO | phase11b | direction_A__scvi_matched__subset1__seed01 done: src_ep=200 q_ep=200 runtime=123s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.12683 ram_avail=5199MB
2026-09-09 16:25:22,347 | INFO | phase11b | === direction_A__scvi_matched__subset1__seed02 (source n=3994 target n=3994) ===
2026-09-09 16:27:27,657 | INFO | phase11b | direction_A__scvi_matched__subset1__seed02 done: src_ep=200 q_ep=200 runtime=123s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.11099 ram_avail=5197MB
2026-09-09 16:27:27,812 | INFO | phase11b | === direction_A__scvi_matched__subset1__seed03 (source n=3994 target n=3994) ===
2026-09-09 16:29:30,729 | INFO | phase11b | direction_A__scvi_matched__subset1__seed03 done: src_ep=200 q_ep=200 runtime=121s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.10306 ram_avail=5168MB
2026-09-09 16:29:30,873 | INFO | phase11b | === direction_A__scvi_matched__subset1__seed04 (source n=3994 target n=3994) ===
2026-09-09 16:31:36,349 | INFO | phase11b | direction_A__scvi_matched__subset1__seed04 done: src_ep=200 q_ep=200 runtime=124s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.10015 ram_avail=5198MB
2026-09-09 16:31:36,500 | INFO | phase11b | === direction_A__totalvi__subset1__seed00 (source n=3994 target n=3994) ===
2026-09-09 16:35:08,966 | INFO | phase11b | direction_A__totalvi__subset1__seed00 done: src_ep=200 q_ep=200 runtime=209s drift_mean=0.017329 integrity=0.00e+00 u_latent=0.03893 ram_avail=5155MB
2026-09-09 16:35:09,118 | INFO | phase11b | === direction_A__totalvi__subset1__seed01 (source n=3994 target n=3994) ===
2026-09-09 16:38:44,316 | INFO | phase11b | direction_A__totalvi__subset1__seed01 done: src_ep=200 q_ep=200 runtime=212s drift_mean=0.017672 integrity=0.00e+00 u_latent=0.03782 ram_avail=5176MB
2026-09-09 16:38:44,466 | INFO | phase11b | === direction_A__totalvi__subset1__seed02 (source n=3994 target n=3994) ===
2026-09-09 16:42:16,091 | INFO | phase11b | direction_A__totalvi__subset1__seed02 done: src_ep=200 q_ep=200 runtime=209s drift_mean=0.017711 integrity=0.00e+00 u_latent=0.03642 ram_avail=5147MB
2026-09-09 16:42:16,243 | INFO | phase11b | === direction_A__totalvi__subset1__seed03 (source n=3994 target n=3994) ===
2026-09-09 16:45:43,117 | INFO | phase11b | direction_A__totalvi__subset1__seed03 done: src_ep=200 q_ep=200 runtime=204s drift_mean=0.020543 integrity=0.00e+00 u_latent=0.02987 ram_avail=5182MB
2026-09-09 16:45:43,268 | INFO | phase11b | === direction_A__totalvi__subset1__seed04 (source n=3994 target n=3994) ===
2026-09-09 16:49:19,527 | INFO | phase11b | direction_A__totalvi__subset1__seed04 done: src_ep=200 q_ep=200 runtime=213s drift_mean=0.015598 integrity=0.00e+00 u_latent=0.03435 ram_avail=5224MB
2026-09-09 16:49:19,882 | INFO | phase11b | === direction_A__scvi_matched__subset2__seed00 (source n=3994 target n=3994) ===
2026-09-09 16:51:24,558 | INFO | phase11b | direction_A__scvi_matched__subset2__seed00 done: src_ep=200 q_ep=200 runtime=123s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.09432 ram_avail=5116MB
2026-09-09 16:51:24,706 | INFO | phase11b | === direction_A__scvi_matched__subset2__seed01 (source n=3994 target n=3994) ===
2026-09-09 16:53:28,003 | INFO | phase11b | direction_A__scvi_matched__subset2__seed01 done: src_ep=200 q_ep=200 runtime=121s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.06792 ram_avail=5121MB
2026-09-09 16:53:28,154 | INFO | phase11b | === direction_A__scvi_matched__subset2__seed02 (source n=3994 target n=3994) ===
