2026-09-08 23:41:02,339 | INFO | phase11b | stage=seeds jobs=16 pending=16 start=2026-09-08T13:41:02.339580+00:00
2026-09-08 23:41:02,339 | INFO | phase11b | loading direction_A (PBMC10k -> PBMC5k)
2026-09-08 23:41:07,771 | INFO | phase11b | === direction_A__scvi_matched__seed01 (source n=6855 target n=3994) ===
2026-09-08 23:43:50,057 | INFO | phase11b | direction_A__scvi_matched__seed01 done: src_ep=200 q_ep=200 runtime=160s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.09084
2026-09-08 23:43:50,347 | INFO | phase11b | RAM available 5183 MB (33.5% used)
2026-09-08 23:43:50,347 | INFO | phase11b | === direction_A__scvi_matched__seed02 (source n=6855 target n=3994) ===
2026-09-08 23:46:33,460 | INFO | phase11b | direction_A__scvi_matched__seed02 done: src_ep=200 q_ep=200 runtime=161s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.13007
2026-09-08 23:46:33,759 | INFO | phase11b | RAM available 4890 MB (37.3% used)
2026-09-08 23:46:33,760 | INFO | phase11b | === direction_A__scvi_matched__seed03 (source n=6855 target n=3994) ===
2026-09-08 23:49:17,800 | INFO | phase11b | direction_A__scvi_matched__seed03 done: src_ep=200 q_ep=200 runtime=162s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.18113
2026-09-08 23:49:18,103 | INFO | phase11b | RAM available 4647 MB (40.4% used)
2026-09-08 23:49:18,103 | INFO | phase11b | === direction_A__scvi_matched__seed04 (source n=6855 target n=3994) ===
2026-09-08 23:52:02,502 | INFO | phase11b | direction_A__scvi_matched__seed04 done: src_ep=200 q_ep=200 runtime=162s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.12561
2026-09-08 23:52:02,790 | INFO | phase11b | RAM available 4286 MB (45.0% used)
2026-09-08 23:52:02,790 | INFO | phase11b | === direction_A__totalvi__seed01 (source n=6855 target n=3994) ===
2026-09-08 23:56:28,403 | INFO | phase11b | direction_A__totalvi__seed01 done: src_ep=200 q_ep=200 runtime=262s drift_mean=0.016906 integrity=0.00e+00 u_latent=0.02507
2026-09-08 23:56:28,722 | INFO | phase11b | RAM available 3897 MB (50.0% used)
2026-09-08 23:56:28,722 | INFO | phase11b | === direction_A__totalvi__seed02 (source n=6855 target n=3994) ===
2026-09-09 00:00:53,659 | INFO | phase11b | direction_A__totalvi__seed02 done: src_ep=200 q_ep=200 runtime=261s drift_mean=0.015297 integrity=0.00e+00 u_latent=0.02708
2026-09-09 00:00:53,956 | INFO | phase11b | RAM available 3572 MB (54.2% used)
