direction,model,coverage,cell_type,original_n,retained_n,retention_rate
direction_A,scvi_matched,1.0,CD14 Mono,937,937.0,1.0
direction_A,scvi_matched,1.0,CD4 Naive,378,378.0,1.0
direction_A,scvi_matched,1.0,CD4 TCM,327,327.0,1.0
direction_A,scvi_matched,1.0,CD4 TEM,272,272.0,1.0
direction_A,scvi_matched,1.0,NK,251,251.0,1.0
direction_A,scvi_matched,1.0,CD8 TEM,147,147.0,1.0
direction_A,scvi_matched,1.0,CD16 Mono,131,131.0,1.0
direction_A,scvi_matched,1.0,B naive,128,128.0,1.0
direction_A,scvi_matched,1.0,cDC2,125,125.0,1.0
direction_A,scvi_matched,1.0,ILC,98,98.0,1.0
direction_A,scvi_matched,1.0,Eryth,86,86.0,1.0
direction_A,scvi_matched,1.0,B memory,79,79.0,1.0
direction_A,scvi_matched,1.0,gdT,71,71.0,1.0
direction_A,scvi_matched,1.0,B intermediate,66,66.0,1.0
direction_A,scvi_matched,1.0,Treg,59,59.0,1.0
direction_A,scvi_matched,1.0,CD8 Naive,48,48.0,1.0
direction_A,scvi_matched,1.0,CD4 CTL,41,41.0,1.0
direction_A,scvi_matched,1.0,CD8 TCM,34,34.0,1.0
direction_A,scvi_matched,1.0,NK_CD56bright,30,30.0,1.0
direction_A,scvi_matched,1.0,MAIT,24,24.0,1.0
direction_A,scvi_matched,1.0,pDC,23,23.0,1.0
direction_A,scvi_matched,1.0,dnT,14,14.0,1.0
direction_A,scvi_matched,0.9,CD14 Mono,937,935.4,0.9982924226254002
direction_A,scvi_matched,0.9,CD4 Naive,378,294.7,0.7796296296296296
direction_A,scvi_matched,0.9,CD4 TCM,327,277.0,0.8470948012232415
direction_A,scvi_matched,0.9,CD4 TEM,272,228.3,0.8393382352941177
direction_A,scvi_matched,0.9,NK,251,249.8,0.9952191235059762
direction_A,scvi_matched,0.9,CD8 TEM,147,110.85,0.7540816326530612
direction_A,scvi_matched,0.9,CD16 Mono,131,128.05,0.9774809160305344
direction_A,scvi_matched,0.9,B naive,128,121.8,0.9515625
direction_A,scvi_matched,0.9,cDC2,125,124.25,0.994
direction_A,scvi_matched,0.9,ILC,98,70.85,0.7229591836734693
direction_A,scvi_matched,0.9,Eryth,86,84.15,0.9784883720930233
direction_A,scvi_matched,0.9,B memory,79,77.55,0.9816455696202532
direction_A,scvi_matched,0.9,gdT,71,53.6,0.7549295774647887
direction_A,scvi_matched,0.9,B intermediate,66,62.4,0.9454545454545454
direction_A,scvi_matched,0.9,Treg,59,39.5,0.6694915254237288
direction_A,scvi_matched,0.9,CD8 Naive,48,42.45,0.884375
direction_A,scvi_matched,0.9,CD4 CTL,41,27.5,0.6707317073170732
direction_A,scvi_matched,0.9,CD8 TCM,34,23.95,0.7044117647058823
direction_A,scvi_matched,0.9,NK_CD56bright,30,27.75,0.925
direction_A,scvi_matched,0.9,MAIT,24,20.5,0.8541666666666666
direction_A,scvi_matched,0.9,pDC,23,23.0,1.0
direction_A,scvi_matched,0.9,dnT,14,8.65,0.6178571428571429
direction_A,scvi_matched,0.8,CD14 Mono,937,925.4,0.9876200640341515
direction_A,scvi_matched,0.8,CD4 Naive,378,213.7,0.5653439153439153
direction_A,scvi_matched,0.8,CD4 TCM,327,231.4,0.707645259938838
direction_A,scvi_matched,0.8,CD4 TEM,272,175.85,0.6465073529411764
direction_A,scvi_matched,0.8,NK,251,248.5,0.9900398406374502
direction_A,scvi_matched,0.8,CD8 TEM,147,87.7,0.5965986394557823
direction_A,scvi_matched,0.8,CD16 Mono,131,121.6,0.9282442748091603
direction_A,scvi_matched,0.8,B naive,128,111.3,0.86953125
direction_A,scvi_matched,0.8,cDC2,125,119.75,0.958
direction_A,scvi_matched,0.8,ILC,98,52.3,0.5336734693877551
