model,source_subset_seed,model_seed,accuracy,balanced_accuracy,macro_f1,weighted_f1,error_auroc,error_auprc,error_prevalence,nll,brier,ece,aurc,n_source_eval,n_target_eval
scvi_matched,0,0,0.7821482602118003,0.6316778487833339,0.6213208026679086,0.7735143023330544,0.8476219643240919,0.5479958134854668,0.2178517397881997,0.6120943089942438,0.3009670435130476,0.020117838949010154,0.06306011517018131,3462,3305
scvi_matched,0,1,0.7639939485627837,0.5984337186768609,0.5740826384229197,0.7569874001647244,0.8389007362274687,0.5490205787261829,0.23600605143721634,0.6400517754228936,0.3232878488078392,0.037778366071914586,0.07206285101661548,3462,3305
scvi_matched,0,2,0.7818456883509833,0.6144569592089875,0.6087841435883937,0.7738038130280986,0.8380994963135995,0.5504155475964114,0.21815431164901664,0.6097752715057477,0.3049053205178557,0.030976663550161918,0.06542408245849161,3462,3305
scvi_matched,0,3,0.7888048411497731,0.6429070487533601,0.6241685445520259,0.7794218460001096,0.8286270268606781,0.48934669409362835,0.21119515885022694,0.5921282996664813,0.3000830790344402,0.028878397425797273,0.06452220645793307,3462,3305
scvi_matched,0,4,0.7763993948562784,0.6393008644348367,0.6176299800174402,0.7716178363424461,0.8275924259890712,0.512864616074064,0.22360060514372163,0.6173721636380871,0.3140988275727643,0.03472249916389743,0.06995328969677742,3462,3305
totalvi,0,0,0.7767019667170953,0.6036720552836272,0.6058725616835867,0.7602175161209623,0.823524661035469,0.52877426819397,0.22329803328290468,0.626614647851066,0.3162322483275044,0.0393703859169797,0.0739082281584206,3462,3305
totalvi,0,1,0.8075642965204236,0.6225383667667912,0.6107139279728668,0.7852955399668342,0.8590702474957055,0.5219981309352798,0.1924357034795764,0.5489880553395261,0.2728735917465237,0.027402078906995628,0.04986260223188879,3462,3305
totalvi,0,2,0.8021180030257186,0.60900287629498,0.6144167021990642,0.7788862316676725,0.8519028651123516,0.5162877707685429,0.19788199697428138,0.5680931239816492,0.27914594983475904,0.01979059900710876,0.05428471019865706,3462,3305
totalvi,0,3,0.7912254160363086,0.6110238651774165,0.6112627116391638,0.7663314354120747,0.8381400504336741,0.5363927416610846,0.2087745839636914,0.5898615145011405,0.29338668003288226,0.033817361883604936,0.06258195914227677,3462,3305
totalvi,0,4,0.7561270801815431,0.6158192178084456,0.6085273742388597,0.7396715533248587,0.8375747321261011,0.5513779098014076,0.24387291981845688,0.6807219101393082,0.3375926647220887,0.048623971354763026,0.07710125776553317,3462,3305
scvi_matched,1,0,0.7773071104387292,0.6266268888696529,0.60203241615354,0.7673764570368775,0.8427773875810246,0.5367872187353229,0.2226928895612708,0.5965732133828255,0.3074160213765886,0.03426299167292561,0.06547169551061728,3470,3305
scvi_matched,1,1,0.7591527987897125,0.6209800317613352,0.6023319391091471,0.7508578176891614,0.8476134158236379,0.5563135851124636,0.24084720121028744,0.6282726154643289,0.3225558181051617,0.04705878048909776,0.07118785956202518,3470,3305
scvi_matched,1,2,0.7718608169440242,0.6216516788855946,0.6081009224851729,0.7669614556220485,0.8360912192337326,0.550429915056779,0.2281391830559758,0.6034798119216565,0.3086782564462325,0.01661323429777114,0.07021734594114797,3470,3305
scvi_matched,1,3,0.7540090771558245,0.5823364059859581,0.5629153778484471,0.7458205457407039,0.8390223870135972,0.5810082706306257,0.24599092284417548,0.6618778675186979,0.33564532357020643,0.054511924166903,0.07715589603930374,3470,3305
scvi_matched,1,4,0.7652042360060515,0.604576734537746,0.5920945613951477,0.7546624751741943,0.8355988064228148,0.5568555749951024,0.23479576399394855,0.6241543097630502,0.31826424575068774,0.03343300011442938,0.07314353115776193,3470,3305
totalvi,1,0,0.8084720121028744,0.639530988822359,0.615428856056778,0.7867113017605972,0.8332736186394982,0.48641973538846794,0.19152798789712558,0.541419595350719,0.2746428689364499,0.015056124523439855,0.05726583169620133,3470,3305
totalvi,1,1,0.7763993948562784,0.6060436178254435,0.5824405046510275,0.7567630885302877,0.8356231747099839,0.5516484360351406,0.22360060514372163,0.6188792282760845,0.3089944190050004,0.03014208304719738,0.06919624109731771,3470,3305
totalvi,1,2,0.8045385779122541,0.6097232652606663,0.608440818853398,0.7797805490382775,0.8522309301781321,0.5519688839392822,0.19546142208774583,0.5386506148370213,0.2719669484645819,0.028769110993069353,0.053435525541405036,3470,3305
totalvi,1,3,0.8099848714069592,0.6366804669816815,0.6267584221117632,0.7907356549829959,0.846137419727854,0.530842003930679,0.19001512859304084,0.5422016673751506,0.2710035697600806,0.013913021749519538,0.05288250452775936,3470,3305
