direction,model,seed,metric,phase10_corrected,phase11b,difference
direction_A,scvi_matched,0,macro_f1,0.6510217830627849,0.6510217830627849,0.0
direction_A,scvi_matched,0,accuracy,0.7907390917186109,0.7907390917186109,0.0
direction_A,scvi_matched,1,macro_f1,0.6441927129587905,0.6441927129587905,0.0
direction_A,scvi_matched,1,accuracy,0.777975660433363,0.777975660433363,0.0
direction_A,scvi_matched,2,macro_f1,0.6850659240505798,0.6850659240505798,0.0
direction_A,scvi_matched,2,accuracy,0.8165627782724845,0.8165627782724845,0.0
direction_A,scvi_matched,3,macro_f1,0.6651163604208098,0.6651163604208098,0.0
direction_A,scvi_matched,3,accuracy,0.8026120510537251,0.8026120510537251,0.0
direction_A,scvi_matched,4,macro_f1,0.6577255382600048,0.6577255382600048,0.0
direction_A,scvi_matched,4,accuracy,0.7960819234194123,0.7960819234194123,0.0
direction_A,totalvi,0,macro_f1,0.6357672182574826,0.6357672182574826,0.0
direction_A,totalvi,0,accuracy,0.8165627782724845,0.8165627782724845,0.0
direction_A,totalvi,1,macro_f1,0.6553804895452042,0.6553804895452042,0.0
direction_A,totalvi,1,accuracy,0.8159691303057287,0.8159691303057287,0.0
direction_A,totalvi,2,macro_f1,0.6646659421957736,0.6646659421957736,0.0
direction_A,totalvi,2,accuracy,0.8177500742059959,0.8177500742059959,0.0
direction_A,totalvi,3,macro_f1,0.6402745954658015,0.6402745954658015,0.0
direction_A,totalvi,3,accuracy,0.8150786583555951,0.8150786583555951,0.0
direction_A,totalvi,4,macro_f1,0.6678916332453284,0.6678916332453284,0.0
direction_A,totalvi,4,accuracy,0.8032056990204809,0.8032056990204809,0.0
direction_B,scvi_matched,0,macro_f1,0.6402484093156036,0.6402484093156036,0.0
direction_B,scvi_matched,0,accuracy,0.7811871227364185,0.7811871227364185,0.0
direction_B,scvi_matched,1,macro_f1,0.5707669476871889,0.5707669476871889,0.0
direction_B,scvi_matched,1,accuracy,0.75,0.75,0.0
direction_B,scvi_matched,2,macro_f1,0.6114909059169635,0.6114909059169635,0.0
direction_B,scvi_matched,2,accuracy,0.778504359490275,0.778504359490275,0.0
direction_B,scvi_matched,3,macro_f1,0.5844995089746119,0.5844995089746119,0.0
direction_B,scvi_matched,3,accuracy,0.755365526492287,0.755365526492287,0.0
direction_B,scvi_matched,4,macro_f1,0.6208253115953314,0.6208253115953314,0.0
direction_B,scvi_matched,4,accuracy,0.7518443997317237,0.7518443997317237,0.0
direction_B,totalvi,0,macro_f1,0.6157476799755611,0.6157476799755611,0.0
direction_B,totalvi,0,accuracy,0.7845405767940979,0.7845405767940979,0.0
direction_B,totalvi,1,macro_f1,0.6101999641645781,0.6101999641645781,0.0
direction_B,totalvi,1,accuracy,0.7251844399731724,0.7251844399731724,0.0
direction_B,totalvi,2,macro_f1,0.6869075207835412,0.6869075207835412,0.0
direction_B,totalvi,2,accuracy,0.795439302481556,0.795439302481556,0.0
direction_B,totalvi,3,macro_f1,0.6714806524889094,0.6714806524889094,0.0
direction_B,totalvi,3,accuracy,0.8197518443997317,0.8197518443997317,0.0
direction_B,totalvi,4,macro_f1,0.6596235270807813,0.6596235270807813,0.0
direction_B,totalvi,4,accuracy,0.8101945003353455,0.8101945003353455,0.0
