tag,direction,model,model_seed,subset_seed,src_epochs,query_epochs,runtime,gpu_alloc,gpu_res,rss,integrity_latent,integrity_var,integrity_pass,drift_mean,drift_median,drift_frob,drift_identical,u_latent
direction_A__scvi_matched__seed00,direction_A,scvi_matched,0,,200,200,160.04454546099805,309.50439453125,320.0,2809.9453125,0.0,0.0,True,0.0,0.0,0.0,True,0.08329017460346222
direction_A__scvi_matched__seed01,direction_A,scvi_matched,1,,200,200,159.96576976100914,309.50439453125,320.0,2809.6875,0.0,0.0,True,0.0,0.0,0.0,True,0.09084461629390717
direction_A__scvi_matched__seed02,direction_A,scvi_matched,2,,200,200,161.10641090100398,309.50439453125,320.0,2809.6875,0.0,0.0,True,0.0,0.0,0.0,True,0.13006536662578583
direction_A__scvi_matched__seed03,direction_A,scvi_matched,3,,200,200,161.81128203800472,309.50439453125,320.0,2888.859375,0.0,0.0,True,0.0,0.0,0.0,True,0.18112683296203613
direction_A__scvi_matched__seed04,direction_A,scvi_matched,4,,200,200,162.14348688600148,309.50439453125,320.0,3200.79296875,0.0,0.0,True,0.0,0.0,0.0,True,0.1256139874458313
direction_A__scvi_matched__seed05,direction_A,scvi_matched,5,,200,200,167.22574518999977,309.50439453125,320.0,2810.5703125,0.0,0.0,True,0.0,0.0,0.0,True,0.13034848868846893
direction_A__scvi_matched__seed06,direction_A,scvi_matched,6,,200,200,169.31432034299996,309.50439453125,320.0,2810.5703125,0.0,0.0,True,0.0,0.0,0.0,True,0.13616403937339783
direction_A__scvi_matched__seed07,direction_A,scvi_matched,7,,200,200,167.7282463600004,309.50439453125,320.0,2985.30078125,0.0,0.0,True,0.0,0.0,0.0,True,0.11761902272701263
direction_A__scvi_matched__seed08,direction_A,scvi_matched,8,,200,200,169.52920752699947,309.50439453125,320.0,3258.21875,0.0,0.0,True,0.0,0.0,0.0,True,0.12371768057346344
direction_A__scvi_matched__seed09,direction_A,scvi_matched,9,,200,200,168.26751464200015,309.50439453125,320.0,3528.32421875,0.0,0.0,True,0.0,0.0,0.0,True,0.12579163908958435
direction_A__scvi_matched__seed10,direction_A,scvi_matched,10,,200,200,170.34425942899998,309.50439453125,320.0,3892.36328125,0.0,0.0,True,0.0,0.0,0.0,True,0.12172666192054749
direction_A__scvi_matched__seed11,direction_A,scvi_matched,11,,200,200,169.47888895000006,309.50439453125,320.0,4218.3515625,0.0,0.0,True,0.0,0.0,0.0,True,0.15392129123210907
direction_A__scvi_matched__seed12,direction_A,scvi_matched,12,,200,200,168.99110796000014,309.50439453125,320.0,4453.4921875,0.0,0.0,True,0.0,0.0,0.0,True,0.15339413285255432
direction_A__scvi_matched__seed13,direction_A,scvi_matched,13,,200,200,169.30741482699977,309.50439453125,320.0,4726.0390625,0.0,0.0,True,0.0,0.0,0.0,True,0.07509677112102509
