direction,metric,higher_is_better,n_seed_pairs,mean,sd,median,positive_count,negative_count,seed_bootstrap_ci_low,seed_bootstrap_ci_high,frac_seed_cell_ci_excluding_zero,evidence
direction_A,macro_f1,True,20,-0.0032399175671567527,0.02574819745637474,0.0018761535017683961,11,9,-0.014328363084234214,0.007474986490052579,0.0,inconclusive
direction_A,accuracy,True,20,0.019798159691303052,0.016667859164473577,0.02107450281982781,18,2,0.012688854259424157,0.026669634906500435,0.0,cell_sampling_sensitive
direction_A,error_auroc_predictive,True,20,0.007981677767538558,0.015168224064910927,0.007950022320230232,14,6,0.0015146858093947762,0.01459715258636007,0.35,inconclusive
direction_A,error_auprc_predictive,True,20,-0.007289461482051373,0.04248135272398945,-0.009850039468368266,10,10,-0.02481518369177803,0.011284845346508933,0.2,inconclusive
direction_A,nll,False,20,-0.04222221402907433,0.03644143667269528,-0.041800089954451614,2,18,-0.05768662379137384,-0.026253891021587157,0.0,cell_sampling_sensitive
direction_A,brier,False,20,-0.02401824971570264,0.01933181159726504,-0.025664679302705357,2,18,-0.03213671663911042,-0.01573995738680313,0.8,robust
direction_A,ece_equal_frequency,False,20,-0.006760951232205999,0.012081860794815515,-0.00899244253555435,7,13,-0.011885863701155271,-0.0016142066504555197,0.3,inconclusive
direction_A,ece_equal_width,,20,-0.008141055217736486,0.011736988162039474,-0.01099335919301565,6,14,-0.013175574345854205,-0.0030370542834355137,0.0,inconclusive
direction_A,aurc,False,20,-0.008978409515656096,0.007075763757231891,-0.008772588136740353,2,18,-0.012001217639289175,-0.005996413596633545,0.7,robust
direction_A,error_auroc_latent,True,20,0.12550774623546196,0.06358929176076009,0.13516955918340656,19,1,0.09748193628624573,0.152385092028389,0.0,cell_sampling_sensitive
direction_A,error_auprc_latent,True,20,0.05822171022600851,0.046546664460340455,0.06705199695665834,17,3,0.03856228322621281,0.07762132918344158,0.0,cell_sampling_sensitive
direction_B,macro_f1,True,20,0.052478936104240745,0.030852469708844844,0.05562394320776165,19,1,0.03934551410515726,0.06538374112864721,0.0,cell_sampling_sensitive
direction_B,accuracy,True,20,0.026643192488262912,0.026087829608648878,0.030013413816230683,17,3,0.015391934942991277,0.03745011737089202,0.0,cell_sampling_sensitive
direction_B,error_auroc_predictive,True,20,0.001477919087076257,0.01656336224593088,0.0022771786808892247,10,10,-0.005832701850840177,0.008199622541022331,0.45,inconclusive
direction_B,error_auprc_predictive,True,20,-0.044487070777744046,0.032072136366763544,-0.042724368171709104,3,17,-0.05870640335806386,-0.03113217974792738,0.55,robust
direction_B,nll,False,20,-0.178828927820104,0.06256579716435182,-0.1863424788927826,0,20,-0.20444010579993385,-0.15200548427283114,0.0,cell_sampling_sensitive
direction_B,brier,False,20,-0.04446786015747854,0.030528204683103046,-0.04786563723444545,2,18,-0.05719278005469864,-0.031492414363112085,0.9,robust
direction_B,ece_equal_frequency,False,20,-0.006325936293458066,0.019678834199071918,-0.008828241475511102,8,12,-0.01494467092193238,0.0017965179496762802,0.55,seed_sensitive
direction_B,ece_equal_width,,20,-0.005032488473239441,0.019662563991846918,-0.005348168079891802,9,11,-0.013378092773832728,0.003246853731914289,0.0,inconclusive
direction_B,aurc,False,20,-0.011054514588776175,0.014377588375320362,-0.01368359615611505,3,17,-0.01703230917734529,-0.004748583311891697,0.85,robust
direction_B,error_auroc_latent,True,20,0.14107689404853435,0.09352460448837027,0.12506892392861257,19,1,0.10218749214402559,0.1816558236652993,0.0,cell_sampling_sensitive
direction_B,error_auprc_latent,True,20,0.058040226490976024,0.07796786962908046,0.05991919555274609,15,5,0.026041711148842656,0.0923105519496088,0.0,inconclusive
