model,against,spearman_rho,p_value,n_cell_types
scvi_matched,median_seed_variance,-0.36302145263613383,0.1156799192453057,20
scvi_matched,median_source_variance,-0.3984962406015037,0.08180541617403764,20
scvi_matched,error_rate,-0.5398496240601504,0.014013555304583477,20
scvi_matched,median_predictive_uncertainty,-0.3443609022556391,0.13707258150434384,20
scvi_matched,seed_variance_fraction,-0.15169919330532827,0.5231820068961687,20
scvi_matched,source_variance_fraction,-0.38496240601503756,0.09372546338767992,20
totalvi,median_seed_variance,-0.3591027574518193,0.11995936327185133,20
totalvi,median_source_variance,-0.24302059823042638,0.3018738100294899,20
totalvi,error_rate,-0.6766917293233082,0.0010509401983731879,20
totalvi,median_predictive_uncertainty,-0.5864661654135337,0.006570618371105349,20
totalvi,seed_variance_fraction,-0.1936102115120547,0.4134248859280266,20
totalvi,source_variance_fraction,-0.3094361654486796,0.18431076245808142,20
