model,metric,source_subset_variance_raw,model_seed_variance_raw,interaction_variance_raw,source_subset_variance_nonnegative,model_seed_variance_nonnegative,interaction_variance_nonnegative,total_variance_nonnegative,source_fraction,seed_fraction,interaction_fraction,ms_source_subset,ms_model_seed,ms_interaction_residual,grand_mean,matrix_min,matrix_max,matrix_range,sd_over_all_25,n_positive_of_25,n_negative_of_25
scvi_matched,macro_f1,-2.7288822113627314e-05,-5.1911900523154376e-05,0.0003364664584015954,0.0,0.0,0.0003364664584015954,0.0003364664584015954,0.0,0.0,1.0,0.00020002234783345882,7.69069557858235e-05,0.0003364664584015954,0.5993338354197715,0.5629153778484471,0.6283390768347742,0.06542369898632705,0.016445846168691887,,
scvi_matched,error_auroc,1.5096636532202293e-06,2.9018759089191548e-05,4.3738811251934757e-05,1.5096636532202293e-06,2.9018759089191548e-05,4.3738811251934757e-05,7.426723399434654e-05,0.02032745225620157,0.3907343458004717,0.5889382019433267,5.12871295180359e-05,0.0001888326066978925,4.3738811251934757e-05,0.8375547373366055,0.8161800246422877,0.8483232232629174,0.032143198620629754,0.008317401249024711,,
scvi_matched,error_auprc,3.3962043511428345e-05,-3.019678198964643e-05,0.0007532748070719326,3.3962043511428345e-05,0.0,0.0007532748070719326,0.0007872368505833609,0.04314082030873133,0.0,0.9568591796912688,0.0009230850246290743,0.0006022908971237004,0.0007532748070719326,0.5495348789557903,0.4893466940936283,0.5860161559657246,0.09666946187209635,0.027502954841375712,,
scvi_matched,nll,8.866829292056416e-05,0.00026916568804308575,0.0007635728408792647,8.866829292056416e-05,0.00026916568804308575,0.0007635728408792647,0.0011214068218429146,0.07906880107510592,0.2400250139380641,0.68090618498683,0.0012069143054820855,0.0021094012810946934,0.0007635728408792647,0.6297917997725813,0.5732345176208875,0.7163673416606086,0.14313282403972105,0.03258477903892614,,
scvi_matched,brier,2.9426371809138063e-05,5.3497435237765736e-05,0.00018702075615980988,2.9426371809138063e-05,5.3497435237765736e-05,0.00018702075615980988,0.0002699445632067137,0.1090089441312601,0.1981793394994192,0.6928117163693207,0.0003341526152055002,0.00045450793234863855,0.00018702075615980988,0.318584790452957,0.288844143863656,0.3630881712065273,0.07424402734287133,0.01600387230325512,,
scvi_matched,ece,1.7571558028744966e-05,1.2260615178291245e-05,8.173618863489978e-05,1.7571558028744966e-05,1.2260615178291245e-05,8.173618863489978e-05,0.00011156836184193598,0.15749588627678696,0.10989329748931351,0.7326108162338996,0.0001695939787786246,0.000143039264526356,8.173618863489978e-05,0.03582466857371996,0.0166132342977711,0.054511924166903,0.037898689869131905,0.010324550013152951,,
scvi_matched,aurc,4.285056397292925e-06,9.614708833298713e-06,2.4672602204479656e-05,4.285056397292925e-06,9.614708833298713e-06,2.4672602204479656e-05,3.85723674350713e-05,0.11109135068014538,0.24926416169510754,0.639644487624747,4.609788419094428e-05,7.274614637097321e-05,2.4672602204479656e-05,0.07130054482907949,0.0604652922226321,0.0885380046773476,0.0280727124547155,0.006021273942999051,,
totalvi,macro_f1,2.4734865813138104e-05,2.0265345319641178e-05,0.00016995624018459828,2.4734865813138104e-05,2.0265345319641178e-05,0.00016995624018459828,0.00021495645131737755,0.1150691949999571,0.09427651598937092,0.790654289010672,0.0002936305692502888,0.00027128296678280417,0.00016995624018459828,0.6109237366712261,0.5824405046510275,0.6400618436090728,0.05762133895804533,0.01440334739317845,,
totalvi,error_auroc,-1.3518295463716402e-05,2.7315794483539787e-05,9.057256190704765e-05,0.0,2.7315794483539787e-05,9.057256190704765e-05,0.00011788835639058745,0.0,0.2317090111345446,0.7682909888654553,2.2981084588465642e-05,0.00022715153432474657,9.057256190704765e-05,0.8409319529552742,0.8194412166780588,0.8590702474957055,0.03962903081764668,0.010102993504744041,,
totalvi,error_auprc,-2.276319012696533e-05,2.134855644726531e-05,0.00032660448182603554,0.0,2.134855644726531e-05,0.00032660448182603554,0.00034795303827330084,0.0,0.06135470623623932,0.9386452937637607,0.00021278853119120888,0.0004333472640623621,0.00032660448182603554,0.5236296743404731,0.4864197353884679,0.5519688839392822,0.06554914855081434,0.01803955710172191,,
totalvi,nll,5.597258321605517e-05,0.00014899905996442581,0.0009148588672049644,5.597258321605517e-05,0.00014899905996442581,0.0009148588672049644,0.0011198305103854453,0.04998308466947326,0.13305501018465765,0.8169619051458691,0.0011947217832852402,0.0016598541670270934,0.0009148588672049644,0.5803182112854747,0.5386506148370213,0.6807219101393082,0.1420712953022869,0.03294948512276584,,
totalvi,brier,2.2162991054703434e-05,-1.6768549055407163e-07,0.000259543949178574,2.2162991054703434e-05,0.0,0.000259543949178574,0.0002817069402332774,0.0786739263021017,0.0,0.9213260736978984,0.0003703589044520912,0.00025870552172580364,0.000259543949178574,0.2873847255943621,0.2689592795380072,0.3375926647220887,0.06863338518408152,0.016669534201111665,,
totalvi,ece,2.104429276983757e-05,9.644086429369896e-06,8.196358850810671e-05,2.104429276983757e-05,9.644086429369896e-06,8.196358850810671e-05,0.00011265196770731417,0.18680803538659557,0.08560956923918633,0.7275823953742181,0.00018718505235729456,0.0001301840206549562,8.196358850810671e-05,0.026733504304727113,0.0139130217495195,0.0553550933114338,0.041442071561914304,0.01037001628932084,,
totalvi,aurc,-1.4699864111060649e-06,-2.113565056763472e-06,5.20411171507941e-05,0.0,0.0,5.20411171507941e-05,5.20411171507941e-05,0.0,0.0,1.0,4.469118509526378e-05,4.147329186697674e-05,5.20411171507941e-05,0.05907813050972665,0.0498626022318887,0.0771012577655331,0.0272386555336444,0.0070039149238767025,,
