/home/jizhu/miniconda3/envs/multiomics_robustness/lib/python3.11/site-packages/anndata/utils.py:434: FutureWarning: Importing read_csv from `anndata` is deprecated. Import anndata.io.read_csv instead.
  warnings.warn(msg, FutureWarning)
/home/jizhu/miniconda3/envs/multiomics_robustness/lib/python3.11/site-packages/anndata/utils.py:434: FutureWarning: Importing read_excel from `anndata` is deprecated. Import anndata.io.read_excel instead.
  warnings.warn(msg, FutureWarning)
/home/jizhu/miniconda3/envs/multiomics_robustness/lib/python3.11/site-packages/anndata/utils.py:434: FutureWarning: Importing read_hdf from `anndata` is deprecated. Import anndata.io.read_hdf instead.
  warnings.warn(msg, FutureWarning)
/home/jizhu/miniconda3/envs/multiomics_robustness/lib/python3.11/site-packages/anndata/utils.py:434: FutureWarning: Importing read_loom from `anndata` is deprecated. Import anndata.io.read_loom instead.
  warnings.warn(msg, FutureWarning)
/home/jizhu/miniconda3/envs/multiomics_robustness/lib/python3.11/site-packages/anndata/utils.py:434: FutureWarning: Importing read_mtx from `anndata` is deprecated. Import anndata.io.read_mtx instead.
  warnings.warn(msg, FutureWarning)
/home/jizhu/miniconda3/envs/multiomics_robustness/lib/python3.11/site-packages/anndata/utils.py:434: FutureWarning: Importing read_text from `anndata` is deprecated. Import anndata.io.read_text instead.
  warnings.warn(msg, FutureWarning)
/home/jizhu/miniconda3/envs/multiomics_robustness/lib/python3.11/site-packages/anndata/utils.py:434: FutureWarning: Importing read_umi_tools from `anndata` is deprecated. Import anndata.io.read_umi_tools instead.
  warnings.warn(msg, FutureWarning)
2026-09-10 03:29:15,489 | INFO | phase12a_analysis | === stage score (2026-09-09T17:29:15.489015+00:00) ===
2026-09-10 03:29:21,488 | INFO | phase12a_analysis | setup: 20 common l2 classes, 3305 fixed target cells
2026-09-10 03:29:21,883 | INFO | phase12a_analysis | direction_A__scvi_matched__subset0__seed00 macroF1=0.6213 AUROC=0.8476
2026-09-10 03:29:22,187 | INFO | phase12a_analysis | direction_A__scvi_matched__subset0__seed00__rep01 macroF1=0.6356 AUROC=0.8472
2026-09-10 03:29:22,487 | INFO | phase12a_analysis | direction_A__scvi_matched__subset0__seed01 macroF1=0.5741 AUROC=0.8389
2026-09-10 03:29:22,849 | INFO | phase12a_analysis | direction_A__scvi_matched__subset0__seed01__rep01 macroF1=0.5788 AUROC=0.8411
2026-09-10 03:29:23,164 | INFO | phase12a_analysis | direction_A__scvi_matched__subset0__seed02 macroF1=0.6088 AUROC=0.8381
2026-09-10 03:29:23,506 | INFO | phase12a_analysis | direction_A__scvi_matched__subset0__seed02__rep01 macroF1=0.6045 AUROC=0.8412
2026-09-10 03:29:23,847 | INFO | phase12a_analysis | direction_A__scvi_matched__subset0__seed03 macroF1=0.6242 AUROC=0.8286
2026-09-10 03:29:24,166 | INFO | phase12a_analysis | direction_A__scvi_matched__subset0__seed03__rep01 macroF1=0.6319 AUROC=0.8351
2026-09-10 03:29:24,497 | INFO | phase12a_analysis | direction_A__scvi_matched__subset0__seed04 macroF1=0.6176 AUROC=0.8276
2026-09-10 03:29:24,864 | INFO | phase12a_analysis | direction_A__scvi_matched__subset0__seed04__rep01 macroF1=0.5887 AUROC=0.8460
2026-09-10 03:29:25,290 | INFO | phase12a_analysis | direction_A__totalvi__subset0__seed00 macroF1=0.6059 AUROC=0.8235
2026-09-10 03:29:25,667 | INFO | phase12a_analysis | direction_A__totalvi__subset0__seed00__rep01 macroF1=0.6110 AUROC=0.8548
2026-09-10 03:29:26,028 | INFO | phase12a_analysis | direction_A__totalvi__subset0__seed01 macroF1=0.6107 AUROC=0.8591
2026-09-10 03:29:26,415 | INFO | phase12a_analysis | direction_A__totalvi__subset0__seed01__rep01 macroF1=0.5803 AUROC=0.8624
2026-09-10 03:29:26,809 | INFO | phase12a_analysis | direction_A__totalvi__subset0__seed02 macroF1=0.6144 AUROC=0.8519
2026-09-10 03:29:27,186 | INFO | phase12a_analysis | direction_A__totalvi__subset0__seed02__rep01 macroF1=0.6246 AUROC=0.8411
2026-09-10 03:29:27,557 | INFO | phase12a_analysis | direction_A__totalvi__subset0__seed03 macroF1=0.6113 AUROC=0.8381
2026-09-10 03:29:27,961 | INFO | phase12a_analysis | direction_A__totalvi__subset0__seed03__rep01 macroF1=0.6091 AUROC=0.8409
