2026-09-09 23:37:15,145 | INFO | phase12a | copied crossed class plan from PHASE 11B: /home/jizhu/research/multiomics_robustness/results/phase11b_uncertainty_robustness/logs/crossed_class_plan.json
2026-09-09 23:37:15,146 | INFO | phase12a | PHASE 12A: 50 jobs, 50 pending, start 2026-09-09T13:37:15.145985+00:00
2026-09-09 23:37:15,146 | INFO | phase12a | loading PBMC10k -> PBMC5k
2026-09-09 23:37:20,867 | INFO | phase12a | built source subset 0 (n=3994)
2026-09-09 23:37:20,867 | INFO | phase12a | === direction_A__scvi_matched__subset0__seed00__rep01 (source n=3994 target n=3994) ===
2026-09-09 23:39:23,581 | INFO | phase12a | direction_A__scvi_matched__subset0__seed00__rep01 done: src_ep=200 q_ep=200 runtime=120s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.07877 ram_avail=5383MB
2026-09-09 23:39:23,729 | INFO | phase12a | === direction_A__totalvi__subset0__seed00__rep01 (source n=3994 target n=3994) ===
2026-09-09 23:42:50,498 | INFO | phase12a | direction_A__totalvi__subset0__seed00__rep01 done: src_ep=200 q_ep=200 runtime=204s drift_mean=0.018194 integrity=0.00e+00 u_latent=0.03508 ram_avail=5240MB
2026-09-09 23:42:50,647 | INFO | phase12a | === direction_A__scvi_matched__subset0__seed01__rep01 (source n=3994 target n=3994) ===
2026-09-09 23:44:54,715 | INFO | phase12a | direction_A__scvi_matched__subset0__seed01__rep01 done: src_ep=200 q_ep=200 runtime=122s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.09677 ram_avail=4455MB
2026-09-09 23:44:54,874 | INFO | phase12a | === direction_A__totalvi__subset0__seed01__rep01 (source n=3994 target n=3994) ===
2026-09-09 23:48:19,531 | INFO | phase12a | direction_A__totalvi__subset0__seed01__rep01 done: src_ep=200 q_ep=200 runtime=202s drift_mean=0.016660 integrity=0.00e+00 u_latent=0.03204 ram_avail=5238MB
2026-09-09 23:48:19,679 | INFO | phase12a | === direction_A__scvi_matched__subset0__seed02__rep01 (source n=3994 target n=3994) ===
2026-09-09 23:50:22,600 | INFO | phase12a | direction_A__scvi_matched__subset0__seed02__rep01 done: src_ep=200 q_ep=200 runtime=121s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.06338 ram_avail=5222MB
2026-09-09 23:50:22,758 | INFO | phase12a | === direction_A__totalvi__subset0__seed02__rep01 (source n=3994 target n=3994) ===
2026-09-10 01:27:13,923 | INFO | phase12a | PHASE 12A: 50 jobs, 45 pending, start 2026-09-09T15:27:13.923608+00:00
2026-09-10 01:27:13,923 | INFO | phase12a | loading PBMC10k -> PBMC5k
2026-09-10 01:27:19,697 | INFO | phase12a | built source subset 0 (n=3994)
2026-09-10 01:27:19,698 | INFO | phase12a | === direction_A__totalvi__subset0__seed02__rep01 (source n=3994 target n=3994) ===
2026-09-10 01:30:33,486 | INFO | phase12a | direction_A__totalvi__subset0__seed02__rep01 done: src_ep=200 q_ep=200 runtime=191s drift_mean=0.015208 integrity=0.00e+00 u_latent=0.03738 ram_avail=5204MB
2026-09-10 01:30:33,634 | INFO | phase12a | === direction_A__scvi_matched__subset0__seed03__rep01 (source n=3994 target n=3994) ===
2026-09-10 01:32:31,151 | INFO | phase12a | direction_A__scvi_matched__subset0__seed03__rep01 done: src_ep=200 q_ep=200 runtime=116s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.09607 ram_avail=5201MB
2026-09-10 01:32:31,296 | INFO | phase12a | === direction_A__totalvi__subset0__seed03__rep01 (source n=3994 target n=3994) ===
2026-09-10 01:35:52,128 | INFO | phase12a | direction_A__totalvi__subset0__seed03__rep01 done: src_ep=200 q_ep=200 runtime=198s drift_mean=0.016464 integrity=0.00e+00 u_latent=0.03440 ram_avail=5190MB
2026-09-10 01:35:52,282 | INFO | phase12a | === direction_A__scvi_matched__subset0__seed04__rep01 (source n=3994 target n=3994) ===
2026-09-10 01:37:51,698 | INFO | phase12a | direction_A__scvi_matched__subset0__seed04__rep01 done: src_ep=200 q_ep=200 runtime=118s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.14718 ram_avail=5183MB
2026-09-10 01:37:51,847 | INFO | phase12a | === direction_A__totalvi__subset0__seed04__rep01 (source n=3994 target n=3994) ===
2026-09-10 01:41:10,230 | INFO | phase12a | direction_A__totalvi__subset0__seed04__rep01 done: src_ep=200 q_ep=200 runtime=196s drift_mean=0.017128 integrity=0.00e+00 u_latent=0.03722 ram_avail=5200MB
2026-09-10 01:41:10,555 | INFO | phase12a | built source subset 1 (n=3994)
2026-09-10 01:41:10,556 | INFO | phase12a | === direction_A__scvi_matched__subset1__seed00__rep01 (source n=3994 target n=3994) ===
2026-09-10 01:43:11,149 | INFO | phase12a | direction_A__scvi_matched__subset1__seed00__rep01 done: src_ep=200 q_ep=200 runtime=119s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.11343 ram_avail=5118MB
2026-09-10 01:43:11,297 | INFO | phase12a | === direction_A__totalvi__subset1__seed00__rep01 (source n=3994 target n=3994) ===
2026-09-10 01:46:30,430 | INFO | phase12a | direction_A__totalvi__subset1__seed00__rep01 done: src_ep=200 q_ep=200 runtime=196s drift_mean=0.015725 integrity=0.00e+00 u_latent=0.03421 ram_avail=5128MB
2026-09-10 01:46:30,579 | INFO | phase12a | === direction_A__scvi_matched__subset1__seed01__rep01 (source n=3994 target n=3994) ===
