claim_id,claim_text,phase,dataset,analysis,primary_or_secondary,point_estimate,uncertainty,n,support_level,limitations,source_table,source_figure,manuscript_section,main_or_supplement
R1_PCA_RNA_F1,PCA_RNA l2 high-conf logreg macro-F1=0.7376,PHASE7,PBMC10k,representation_benchmark,primary,0.7376,pairwise bootstrap in primary_* tables,9494,B,Single embedding seed; metric-dependent ranking,results/tables/mofa_biological_representation_metrics.csv,Fig2B,Results1,main
R1_PCA_RNA_batch,PCA_RNA batch_silhouette=0.1043,PHASE7,PBMC10k,representation_benchmark,secondary,0.1043,,9494,E,High batch silhouette ≠ poor biology,results/tables/mofa_biological_representation_metrics.csv,Fig2,Results1,supplement
R1_MOFA+_F1,MOFA+ l2 high-conf logreg macro-F1=0.5497,PHASE7,PBMC10k,representation_benchmark,primary,0.5497,pairwise bootstrap in primary_* tables,9494,B,Single embedding seed; metric-dependent ranking,results/tables/mofa_biological_representation_metrics.csv,Fig2B,Results1,main
R1_MOFA+_batch,MOFA+ batch_silhouette=0.0088,PHASE7,PBMC10k,representation_benchmark,secondary,0.0088,,9494,B,High batch silhouette ≠ poor biology,results/tables/mofa_biological_representation_metrics.csv,Fig2,Results1,supplement
R1_scVI_matched_F1,scVI_matched l2 high-conf logreg macro-F1=0.7219,PHASE7,PBMC10k,representation_benchmark,primary,0.7219,pairwise bootstrap in primary_* tables,9494,B,Single embedding seed; metric-dependent ranking,results/tables/mofa_biological_representation_metrics.csv,Fig2B,Results1,main
R1_scVI_matched_batch,scVI_matched batch_silhouette=0.0221,PHASE7,PBMC10k,representation_benchmark,secondary,0.0221,,9494,B,High batch silhouette ≠ poor biology,results/tables/mofa_biological_representation_metrics.csv,Fig2,Results1,supplement
R1_totalVI_F1,totalVI l2 high-conf logreg macro-F1=0.7792,PHASE7,PBMC10k,representation_benchmark,primary,0.7792,pairwise bootstrap in primary_* tables,9494,A,Single embedding seed; metric-dependent ranking,results/tables/mofa_biological_representation_metrics.csv,Fig2B,Results1,main
R1_totalVI_batch,totalVI batch_silhouette=0.0170,PHASE7,PBMC10k,representation_benchmark,secondary,0.0170,,9494,B,High batch silhouette ≠ poor biology,results/tables/mofa_biological_representation_metrics.csv,Fig2,Results1,supplement
R1_delta_F1,totalVI-scVI_matched Delta logreg macro-F1=0.0566,PHASE7,PBMC10k,pairwise_bootstrap,primary,0.0566,"95% CI [0.0200,0.0912] n_boot=500",9494,A,Independent annotation pathway (PHASE6),results/tables/primary_scvi_matched_vs_totalvi.csv,Fig2B,Results1,main
R2_corr_0.0,Corruption 0.0: Delta macro-F1 mean=0.0573,PHASE8,PBMC10k,protein_entrywise_corruption,primary,0.0573,"sd=nan; seed0 CI [0.0199880950788412,0.0911631057325634]; includes0=False",1,A,Entry-wise corruption ≠ missing modality,results/tables/protein_sparsity_primary_delta_summary.csv,Fig2C,Results2,main
R2_corr_0.1,Corruption 0.1: Delta macro-F1 mean=0.0492,PHASE8,PBMC10k,protein_entrywise_corruption,primary,0.0492,"sd=0.0104912876438074; seed0 CI [0.0163504066287304,0.0941026587939689]; includes0=False",5,A,Entry-wise corruption ≠ missing modality,results/tables/protein_sparsity_primary_delta_summary.csv,Fig2C,Results2,main
R2_corr_0.25,Corruption 0.25: Delta macro-F1 mean=0.0364,PHASE8,PBMC10k,protein_entrywise_corruption,primary,0.0364,"sd=0.0118223878145763; seed0 CI [-0.0056885262490927,0.068433189370495]; includes0=True",5,A,Entry-wise corruption ≠ missing modality,results/tables/protein_sparsity_primary_delta_summary.csv,Fig2C,Results2,main
R2_corr_0.4,Corruption 0.4: Delta macro-F1 mean=0.0378,PHASE8,PBMC10k,protein_entrywise_corruption,primary,0.0378,"sd=0.011683899730669; seed0 CI [-0.0101365760520982,0.0622774850230314]; includes0=True",5,A,Entry-wise corruption ≠ missing modality,results/tables/protein_sparsity_primary_delta_summary.csv,Fig2C,Results2,main
R2_corr_0.55,Corruption 0.55: Delta macro-F1 mean=0.0284,PHASE8,PBMC10k,protein_entrywise_corruption,primary,0.0284,"sd=0.0162742263435512; seed0 CI [0.0080318660271731,0.0904819715462514]; includes0=False",5,A,Entry-wise corruption ≠ missing modality,results/tables/protein_sparsity_primary_delta_summary.csv,Fig2C,Results2,main
R2_corr_0.7,Corruption 0.7: Delta macro-F1 mean=0.0140,PHASE8,PBMC10k,protein_entrywise_corruption,primary,0.0140,"sd=0.0198973247071691; seed0 CI [-0.0078400059789694,0.0683213290125347]; includes0=True",5,A,Entry-wise corruption ≠ missing modality,results/tables/protein_sparsity_primary_delta_summary.csv,Fig2C,Results2,main
R2_corr_0.85,Corruption 0.85: Delta macro-F1 mean=0.0336,PHASE8,PBMC10k,protein_entrywise_corruption,primary,0.0336,"sd=0.0107660016385737; seed0 CI [-0.0142813344861133,0.0684452584324765]; includes0=True",5,A,Entry-wise corruption ≠ missing modality,results/tables/protein_sparsity_primary_delta_summary.csv,Fig2C,Results2,main
R3_5seed_pbmc10k_to_pbmc5k,Corrected 5-seed pbmc10k_to_pbmc5k Delta=-0.0078,PHASE10_corrected,PBMC10k↔PBMC5k,cross_dataset_transfer,secondary,-0.0078,sd=0.0172,5,D,Prefer PHASE11B 20-seed for DirA null interpretation; never use uncorrected tables,results/phase10_cross_dataset/tables_corrected/cross_dataset_primary_delta_summary_corrected.csv,Fig3B,Results3,main
R3_5seed_pbmc5k_to_pbmc10k,Corrected 5-seed pbmc5k_to_pbmc10k Delta=0.0432,PHASE10_corrected,PBMC10k↔PBMC5k,cross_dataset_transfer,secondary,0.0432,sd=0.0435,5,B,Prefer PHASE11B 20-seed for DirA null interpretation; never use uncorrected tables,results/phase10_cross_dataset/tables_corrected/cross_dataset_primary_delta_summary_corrected.csv,Fig3B,Results3,main
R45_direction_A_scvi_matched_macro_f1,20-seed direction_A scvi_matched macro_f1=0.6556,PHASE11B,PBMC transfer,20seed_uncertainty,primary,0.6556,sd=0.0175,20,A,Authoritative over PHASE11 5-seed,results/phase11b_uncertainty_robustness/tables/phase11b_20seed_primary.csv,Fig4,Results4-5,main
R45_direction_A_scvi_matched_error_auroc_predictive,20-seed direction_A scvi_matched error_auroc_predictive=0.8431,PHASE11B,PBMC transfer,20seed_uncertainty,primary,0.8431,sd=0.0099,20,A,Authoritative over PHASE11 5-seed,results/phase11b_uncertainty_robustness/tables/phase11b_20seed_primary.csv,Fig4,Results4-5,main
R45_direction_A_scvi_matched_error_auroc_latent,20-seed direction_A scvi_matched error_auroc_latent=0.5439,PHASE11B,PBMC transfer,20seed_uncertainty,primary,0.5439,sd=0.0543,20,A,Authoritative over PHASE11 5-seed,results/phase11b_uncertainty_robustness/tables/phase11b_20seed_primary.csv,Fig4,Results4-5,main
R45_direction_A_scvi_matched_nll,20-seed direction_A scvi_matched nll=0.5670,PHASE11B,PBMC transfer,20seed_uncertainty,primary,0.5670,sd=0.0323,20,A,Authoritative over PHASE11 5-seed,results/phase11b_uncertainty_robustness/tables/phase11b_20seed_primary.csv,Fig4,Results4-5,main
R45_direction_A_scvi_matched_brier,20-seed direction_A scvi_matched brier=0.2878,PHASE11B,PBMC transfer,20seed_uncertainty,primary,0.2878,sd=0.0148,20,A,Authoritative over PHASE11 5-seed,results/phase11b_uncertainty_robustness/tables/phase11b_20seed_primary.csv,Fig4,Results4-5,main
R45_direction_A_scvi_matched_ece_equal_frequency,20-seed direction_A scvi_matched ece_equal_frequency=0.0306,PHASE11B,PBMC transfer,20seed_uncertainty,primary,0.0306,sd=0.0078,20,A,Authoritative over PHASE11 5-seed,results/phase11b_uncertainty_robustness/tables/phase11b_20seed_primary.csv,Fig4,Results4-5,main
R45_direction_A_scvi_matched_aurc,20-seed direction_A scvi_matched aurc=0.0591,PHASE11B,PBMC transfer,20seed_uncertainty,primary,0.0591,sd=0.0053,20,A,Authoritative over PHASE11 5-seed,results/phase11b_uncertainty_robustness/tables/phase11b_20seed_primary.csv,Fig4,Results4-5,main
R45_direction_A_totalvi_macro_f1,20-seed direction_A totalvi macro_f1=0.6524,PHASE11B,PBMC transfer,20seed_uncertainty,primary,0.6524,sd=0.0146,20,A,Authoritative over PHASE11 5-seed,results/phase11b_uncertainty_robustness/tables/phase11b_20seed_primary.csv,Fig4,Results4-5,main
R45_direction_A_totalvi_error_auroc_predictive,20-seed direction_A totalvi error_auroc_predictive=0.8511,PHASE11B,PBMC transfer,20seed_uncertainty,primary,0.8511,sd=0.0094,20,A,Authoritative over PHASE11 5-seed,results/phase11b_uncertainty_robustness/tables/phase11b_20seed_primary.csv,Fig4,Results4-5,main
R45_direction_A_totalvi_error_auroc_latent,20-seed direction_A totalvi error_auroc_latent=0.6694,PHASE11B,PBMC transfer,20seed_uncertainty,primary,0.6694,sd=0.0214,20,A,Authoritative over PHASE11 5-seed,results/phase11b_uncertainty_robustness/tables/phase11b_20seed_primary.csv,Fig4,Results4-5,main
R45_direction_A_totalvi_nll,20-seed direction_A totalvi nll=0.5248,PHASE11B,PBMC transfer,20seed_uncertainty,primary,0.5248,sd=0.0168,20,A,Authoritative over PHASE11 5-seed,results/phase11b_uncertainty_robustness/tables/phase11b_20seed_primary.csv,Fig4,Results4-5,main
R45_direction_A_totalvi_brier,20-seed direction_A totalvi brier=0.2638,PHASE11B,PBMC transfer,20seed_uncertainty,primary,0.2638,sd=0.0085,20,A,Authoritative over PHASE11 5-seed,results/phase11b_uncertainty_robustness/tables/phase11b_20seed_primary.csv,Fig4,Results4-5,main
R45_direction_A_totalvi_ece_equal_frequency,20-seed direction_A totalvi ece_equal_frequency=0.0238,PHASE11B,PBMC transfer,20seed_uncertainty,primary,0.0238,sd=0.0076,20,A,Authoritative over PHASE11 5-seed,results/phase11b_uncertainty_robustness/tables/phase11b_20seed_primary.csv,Fig4,Results4-5,main
R45_direction_A_totalvi_aurc,20-seed direction_A totalvi aurc=0.0501,PHASE11B,PBMC transfer,20seed_uncertainty,primary,0.0501,sd=0.0033,20,A,Authoritative over PHASE11 5-seed,results/phase11b_uncertainty_robustness/tables/phase11b_20seed_primary.csv,Fig4,Results4-5,main
R45_direction_B_scvi_matched_macro_f1,20-seed direction_B scvi_matched macro_f1=0.6015,PHASE11B,PBMC transfer,20seed_uncertainty,primary,0.6015,sd=0.0195,20,A,Authoritative over PHASE11 5-seed,results/phase11b_uncertainty_robustness/tables/phase11b_20seed_primary.csv,Fig4,Results4-5,main
R45_direction_B_scvi_matched_error_auroc_predictive,20-seed direction_B scvi_matched error_auroc_predictive=0.8545,PHASE11B,PBMC transfer,20seed_uncertainty,primary,0.8545,sd=0.0109,20,A,Authoritative over PHASE11 5-seed,results/phase11b_uncertainty_robustness/tables/phase11b_20seed_primary.csv,Fig4,Results4-5,main
