corruption_fraction,perturbation_seed,model_seed,totalVI_l2_macro_f1,scVI_matched_l2_macro_f1,delta
0.0,0,0,0.7792121076915633,0.7218643946226526,0.0565939490175511
0.1,0,0,0.7806417240557729,0.7218643946226526,0.0573648662490109
0.1,1,0,0.7634114917592009,0.7218643946226526,0.0384888500025721
0.1,2,0,0.7775994237811719,0.7218643946226526,0.053171885587859
0.1,3,0,0.7565905108522067,0.7218643946226526,0.0323817317283718
0.1,4,0,0.7772109283835288,0.7218643946226526,0.0532739576239252
0.25,0,0,0.7538187545429013,0.7218643946226526,0.0285104186221623
0.25,1,0,0.7458483315681531,0.7218643946226526,0.0274576959682921
0.25,2,0,0.7775799076906363,0.7218643946226526,0.0569448492415502
0.25,3,0,0.7592516114111736,0.7218643946226526,0.0339089892354716
0.25,4,0,0.7549339471231578,0.7218643946226526,0.0309660248601469
0.4,0,0,0.7518004104839957,0.7218643946226526,0.0275930550124281
0.4,1,0,0.7584053281179024,0.7218643946226526,0.0296054527437002
0.4,2,0,0.7727229899714658,0.7218643946226526,0.0471145906171134
0.4,3,0,0.7700766975096486,0.7218643946226526,0.0453352237037254
0.4,4,0,0.7453925780278107,0.7218643946226526,0.0207323752393745
0.55,0,0,0.7749930228494787,0.7218643946226526,0.0507647195725871
0.55,1,0,0.757165259774797,0.7218643946226526,0.0318742877190619
0.55,2,0,0.7439116555682751,0.7218643946226526,0.0184294105823182
0.55,3,0,0.7425852064976459,0.7218643946226526,0.0187252434471729
0.55,4,0,0.7329161961112102,0.7218643946226526,0.0218269683903112
0.7,0,0,0.756076655806675,0.7218643946226526,0.030004087667166
0.7,1,0,0.7585705404197866,0.7218643946226526,0.0340504969541982
0.7,2,0,0.7238444519992794,0.7218643946226526,0.0008421008028991
0.7,3,0,0.7157947044785973,0.7218643946226526,-0.0032843799344833
0.7,4,0,0.7252696302622265,0.7218643946226526,0.0064162477105757
0.85,0,0,0.7530417740342511,0.7218643946226526,0.0284175429974858
0.85,1,0,0.7663112437472923,0.7218643946226526,0.043765287310399
0.85,2,0,0.7409031352142557,0.7218643946226526,0.0160773243055388
0.85,3,0,0.7510978397674217,0.7218643946226526,0.0257860017094702
0.85,4,0,0.7659050676573785,0.7218643946226526,0.0426185308236659
