batch,rna_only_l2,n
PBMC10k,ASDC,3
PBMC10k,B intermediate,68
PBMC10k,B memory,99
PBMC10k,B naive,315
PBMC10k,CD14 Mono,1237
PBMC10k,CD16 Mono,103
PBMC10k,CD4 CTL,24
PBMC10k,CD4 Naive,795
PBMC10k,CD4 Proliferating,8
PBMC10k,CD4 TCM,580
PBMC10k,CD4 TEM,281
PBMC10k,CD8 Naive,320
PBMC10k,CD8 Proliferating,10
PBMC10k,CD8 TCM,77
PBMC10k,CD8 TEM,246
PBMC10k,Eryth,144
PBMC10k,HSPC,5
PBMC10k,ILC,65
PBMC10k,MAIT,356
PBMC10k,NK,760
PBMC10k,NK Proliferating,17
PBMC10k,NK_CD56bright,35
PBMC10k,Plasmablast,11
PBMC10k,Platelet,5
PBMC10k,Treg,241
PBMC10k,cDC1,3
PBMC10k,cDC2,135
PBMC10k,dnT,76
PBMC10k,gdT,59
PBMC10k,pDC,24
PBMC5k,ASDC,2
PBMC5k,B intermediate,66
PBMC5k,B memory,79
PBMC5k,B naive,128
PBMC5k,CD14 Mono,937
PBMC5k,CD16 Mono,131
PBMC5k,CD4 CTL,41
PBMC5k,CD4 Naive,378
PBMC5k,CD4 Proliferating,2
PBMC5k,CD4 TCM,327
PBMC5k,CD4 TEM,272
PBMC5k,CD8 Naive,48
PBMC5k,CD8 Proliferating,7
PBMC5k,CD8 TCM,34
PBMC5k,CD8 TEM,147
PBMC5k,Eryth,86
PBMC5k,ILC,98
PBMC5k,MAIT,24
PBMC5k,NK,251
PBMC5k,NK Proliferating,9
PBMC5k,NK_CD56bright,30
PBMC5k,Plasmablast,1
PBMC5k,Platelet,1
PBMC5k,Treg,59
PBMC5k,cDC1,1
PBMC5k,cDC2,125
PBMC5k,dnT,14
PBMC5k,gdT,71
PBMC5k,pDC,23
