analysis_set,representation,cell_type,f1,n_test
A_rna_only_HC,RNA_PCA_10,ASDC,1.0,1
A_rna_only_HC,RNA_PCA_10,B intermediate,0.71875,34
A_rna_only_HC,RNA_PCA_10,B memory,0.8539325842696629,45
A_rna_only_HC,RNA_PCA_10,B naive,0.9502762430939227,88
A_rna_only_HC,RNA_PCA_10,CD14 Mono,0.9621125143513203,426
A_rna_only_HC,RNA_PCA_10,CD16 Mono,0.954954954954955,58
A_rna_only_HC,RNA_PCA_10,CD4 CTL,0.26666666666666666,9
A_rna_only_HC,RNA_PCA_10,CD4 Naive,0.836852207293666,241
A_rna_only_HC,RNA_PCA_10,CD4 Proliferating,0.6666666666666666,2
A_rna_only_HC,RNA_PCA_10,CD4 TCM,0.7606382978723404,178
A_rna_only_HC,RNA_PCA_10,CD4 TEM,0.7804878048780488,113
A_rna_only_HC,RNA_PCA_10,CD8 Naive,0.656934306569343,69
A_rna_only_HC,RNA_PCA_10,CD8 Proliferating,0.0,3
A_rna_only_HC,RNA_PCA_10,CD8 TCM,0.14285714285714285,25
A_rna_only_HC,RNA_PCA_10,CD8 TEM,0.7675675675675676,83
A_rna_only_HC,RNA_PCA_10,Eryth,0.7191011235955056,51
A_rna_only_HC,RNA_PCA_10,HSPC,1.0,1
A_rna_only_HC,RNA_PCA_10,ILC,0.35294117647058826,24
A_rna_only_HC,RNA_PCA_10,MAIT,0.9166666666666666,71
A_rna_only_HC,RNA_PCA_10,NK,0.9765013054830287,187
A_rna_only_HC,RNA_PCA_10,NK Proliferating,0.2222222222222222,6
A_rna_only_HC,RNA_PCA_10,NK_CD56bright,0.8,11
A_rna_only_HC,RNA_PCA_10,Plasmablast,1.0,3
A_rna_only_HC,RNA_PCA_10,Platelet,0.8,2
A_rna_only_HC,RNA_PCA_10,Treg,0.509090909090909,62
A_rna_only_HC,RNA_PCA_10,cDC1,0.0,3
A_rna_only_HC,RNA_PCA_10,cDC2,0.9454545454545454,54
A_rna_only_HC,RNA_PCA_10,dnT,0.20689655172413793,25
A_rna_only_HC,RNA_PCA_10,gdT,0.22727272727272727,35
A_rna_only_HC,RNA_PCA_10,pDC,1.0,11
A_rna_only_HC,protein_PCA_10,ASDC,0.0,1
A_rna_only_HC,protein_PCA_10,B intermediate,0.26666666666666666,34
A_rna_only_HC,protein_PCA_10,B memory,0.3855421686746988,45
A_rna_only_HC,protein_PCA_10,B naive,0.7559808612440191,88
A_rna_only_HC,protein_PCA_10,CD14 Mono,0.9053763440860215,426
A_rna_only_HC,protein_PCA_10,CD16 Mono,0.5979381443298969,58
A_rna_only_HC,protein_PCA_10,CD4 CTL,0.5714285714285714,9
A_rna_only_HC,protein_PCA_10,CD4 Naive,0.8625954198473282,241
A_rna_only_HC,protein_PCA_10,CD4 Proliferating,0.0,2
A_rna_only_HC,protein_PCA_10,CD4 TCM,0.6492146596858639,178
A_rna_only_HC,protein_PCA_10,CD4 TEM,0.5320197044334976,113
A_rna_only_HC,protein_PCA_10,CD8 Naive,0.9315068493150684,69
A_rna_only_HC,protein_PCA_10,CD8 Proliferating,0.0,3
A_rna_only_HC,protein_PCA_10,CD8 TCM,0.5,25
A_rna_only_HC,protein_PCA_10,CD8 TEM,0.8522727272727273,83
A_rna_only_HC,protein_PCA_10,Eryth,0.1724137931034483,51
A_rna_only_HC,protein_PCA_10,HSPC,1.0,1
A_rna_only_HC,protein_PCA_10,ILC,0.29411764705882354,24
A_rna_only_HC,protein_PCA_10,MAIT,0.8843537414965986,71
A_rna_only_HC,protein_PCA_10,NK,0.9689119170984456,187
A_rna_only_HC,protein_PCA_10,NK Proliferating,0.0,6
A_rna_only_HC,protein_PCA_10,NK_CD56bright,0.7368421052631579,11
A_rna_only_HC,protein_PCA_10,Plasmablast,0.0,3
A_rna_only_HC,protein_PCA_10,Platelet,0.6666666666666666,2
A_rna_only_HC,protein_PCA_10,Treg,0.7796610169491526,62
A_rna_only_HC,protein_PCA_10,cDC1,0.0,3
A_rna_only_HC,protein_PCA_10,cDC2,0.6122448979591837,54
A_rna_only_HC,protein_PCA_10,dnT,0.25,25
A_rna_only_HC,protein_PCA_10,gdT,0.4074074074074074,35
A_rna_only_HC,protein_PCA_10,pDC,0.7777777777777778,11
A_rna_only_HC,concat_PCA_10_10,ASDC,1.0,1
A_rna_only_HC,concat_PCA_10_10,B intermediate,0.7213114754098361,34
A_rna_only_HC,concat_PCA_10_10,B memory,0.8172043010752689,45
A_rna_only_HC,concat_PCA_10_10,B naive,0.9666666666666667,88
A_rna_only_HC,concat_PCA_10_10,CD14 Mono,0.9655963302752294,426
A_rna_only_HC,concat_PCA_10_10,CD16 Mono,0.954954954954955,58
A_rna_only_HC,concat_PCA_10_10,CD4 CTL,0.9,9
A_rna_only_HC,concat_PCA_10_10,CD4 Naive,0.8988326848249028,241
A_rna_only_HC,concat_PCA_10_10,CD4 Proliferating,0.0,2
A_rna_only_HC,concat_PCA_10_10,CD4 TCM,0.8045325779036827,178
A_rna_only_HC,concat_PCA_10_10,CD4 TEM,0.8266666666666667,113
A_rna_only_HC,concat_PCA_10_10,CD8 Naive,0.971830985915493,69
A_rna_only_HC,concat_PCA_10_10,CD8 Proliferating,0.0,3
A_rna_only_HC,concat_PCA_10_10,CD8 TCM,0.7916666666666666,25
A_rna_only_HC,concat_PCA_10_10,CD8 TEM,0.9186046511627907,83
A_rna_only_HC,concat_PCA_10_10,Eryth,0.7191011235955056,51
A_rna_only_HC,concat_PCA_10_10,HSPC,1.0,1
A_rna_only_HC,concat_PCA_10_10,ILC,0.4,24
A_rna_only_HC,concat_PCA_10_10,MAIT,0.951048951048951,71
A_rna_only_HC,concat_PCA_10_10,NK,0.9816272965879265,187
A_rna_only_HC,concat_PCA_10_10,NK Proliferating,0.2857142857142857,6
