fold,target_donors,representation,macro_f1,accuracy,balanced_accuracy,n_train,n_test
0,Donor01;Donor02,concat_PCA_10_10,0.9304298527853738,0.9201183431952663,0.931409593912753,4531,676
0,Donor01;Donor02,RNA_PCA_10,0.7264858068221026,0.6952662721893491,0.7274414208608938,4531,676
0,Donor01;Donor02,protein_PCA_10,0.9154815675776246,0.908284023668639,0.9146019720259942,4531,676
1,Donor03;Donor04,concat_PCA_10_10,0.9456643983281665,0.9328140214216164,0.9456443725783357,4180,1027
1,Donor03;Donor04,RNA_PCA_10,0.6984843019776719,0.6728334956183057,0.7039438607148395,4180,1027
1,Donor03;Donor04,protein_PCA_10,0.9271454218028777,0.9191820837390458,0.9280242176131538,4180,1027
2,Donor05;Donor06,concat_PCA_10_10,0.9521704905633254,0.9360967184801382,0.9517180479325701,4049,1158
2,Donor05;Donor06,RNA_PCA_10,0.6772639427627406,0.6502590673575129,0.6930405960346605,4049,1158
2,Donor05;Donor06,protein_PCA_10,0.9366734809117139,0.918825561312608,0.9345410291692223,4049,1158
3,Donor07;Donor08,concat_PCA_10_10,0.9426141499324029,0.9276910435497124,0.9407221212439503,3990,1217
3,Donor07;Donor08,RNA_PCA_10,0.6732833425110633,0.6211996713229252,0.676200575002034,3990,1217
3,Donor07;Donor08,protein_PCA_10,0.9246305447806649,0.9087921117502055,0.9256571995011674,3990,1217
4,Donor09;Donor10,concat_PCA_10_10,0.9547376574620902,0.9424269264836138,0.9544289402871767,4078,1129
4,Donor09;Donor10,RNA_PCA_10,0.7157181982508819,0.6944198405668733,0.7208570629196555,4078,1129
4,Donor09;Donor10,protein_PCA_10,0.9297861406952604,0.9202834366696191,0.9286745228130575,4078,1129
