fold,donor,representation,macro_f1,accuracy,n_cells,source
0.0,Donor01,concat_PCA_10_10,0.9248194469386871,0.917312661498708,387.0,
0.0,Donor02,concat_PCA_10_10,0.9299642234123832,0.9238754325259516,289.0,
1.0,Donor03,concat_PCA_10_10,0.9400799079321651,0.9247524752475248,505.0,
1.0,Donor04,concat_PCA_10_10,0.9462042889727871,0.9406130268199234,522.0,
2.0,Donor05,concat_PCA_10_10,0.9538252524705727,0.9376083188908145,577.0,
2.0,Donor06,concat_PCA_10_10,0.9433684792800816,0.9345955249569707,581.0,
3.0,Donor07,concat_PCA_10_10,0.9308649215952587,0.92,575.0,
3.0,Donor08,concat_PCA_10_10,0.9472268920410639,0.9345794392523364,642.0,
4.0,Donor09,concat_PCA_10_10,0.9556841123873471,0.9484732824427481,524.0,
4.0,Donor10,concat_PCA_10_10,0.9478556881836708,0.9371900826446281,605.0,
,Donor01,scVI_matched,0.8145446535928164,0.7708010335917312,,P0_seedmean
,Donor02,scVI_matched,0.7719184619594823,0.7768166089965398,,P0_seedmean
,Donor03,scVI_matched,0.8116790445871118,0.7964356435643565,,P0_seedmean
,Donor04,scVI_matched,0.7893634479472812,0.7498084291187739,,P0_seedmean
,Donor05,scVI_matched,0.7854414440156445,0.7492201039861353,,P0_seedmean
,Donor06,scVI_matched,0.7794244358105973,0.7413080895008606,,P0_seedmean
,Donor07,scVI_matched,0.7804967642564975,0.7031304347826086,,P0_seedmean
,Donor08,scVI_matched,0.7819597531825133,0.7347352024922118,,P0_seedmean
,Donor09,scVI_matched,0.8115117056915603,0.8070610687022901,,P0_seedmean
,Donor10,scVI_matched,0.8095991711373587,0.7661157024793389,,P0_seedmean
,Donor01,totalVI,0.8965020706242749,0.8710594315245478,,P0_seedmean
,Donor02,totalVI,0.8815229269689366,0.8757785467128028,,P0_seedmean
,Donor03,totalVI,0.8974913919111269,0.8811881188118813,,P0_seedmean
,Donor04,totalVI,0.8842971958716304,0.8668582375478927,,P0_seedmean
,Donor05,totalVI,0.8823199545008495,0.8519930675909879,,P0_seedmean
,Donor06,totalVI,0.8710139195200786,0.8602409638554217,,P0_seedmean
,Donor07,totalVI,0.8573363272224241,0.8151304347826087,,P0_seedmean
,Donor08,totalVI,0.877827393940823,0.8546728971962617,,P0_seedmean
,Donor09,totalVI,0.8936603608996705,0.8877862595419848,,P0_seedmean
,Donor10,totalVI,0.8959487242991914,0.8712396694214876,,P0_seedmean
