donor,metric,scvi_mean_over_seeds,totalvi_mean_over_seeds,delta,median_delta,sd_delta_across_donors,n_donors_positive,n_donors_negative,n_donors_equal,n_donors
Donor01,present_class_macro_f1,0.8145446535928164,0.8965020706242749,0.08195741703145853,,,,,,
Donor02,present_class_macro_f1,0.7719184619594823,0.8815229269689366,0.10960446500945431,,,,,,
Donor03,present_class_macro_f1,0.8116790445871118,0.8974913919111269,0.0858123473240151,,,,,,
Donor04,present_class_macro_f1,0.7893634479472812,0.8842971958716304,0.09493374792434917,,,,,,
Donor05,present_class_macro_f1,0.7854414440156445,0.8823199545008495,0.09687851048520502,,,,,,
Donor06,present_class_macro_f1,0.7794244358105973,0.8710139195200786,0.09158948370948128,,,,,,
Donor07,present_class_macro_f1,0.7804967642564975,0.8573363272224241,0.07683956296592664,,,,,,
Donor08,present_class_macro_f1,0.7819597531825133,0.877827393940823,0.09586764075830967,,,,,,
Donor09,present_class_macro_f1,0.8115117056915603,0.8936603608996705,0.08214865520811021,,,,,,
Donor10,present_class_macro_f1,0.8095991711373587,0.8959487242991914,0.08634955316183268,,,,,,
SUMMARY,present_class_macro_f1,0.7935938882180864,0.8837920265759006,0.09019813835781426,0.08896951843565698,0.009562310028054648,10.0,0.0,0.0,10.0
Donor01,fixed_ontology_macro_f1,0.8145446535928164,0.8965020706242749,0.08195741703145853,,,,,,
Donor02,fixed_ontology_macro_f1,0.7719184619594823,0.8815229269689366,0.10960446500945431,,,,,,
Donor03,fixed_ontology_macro_f1,0.8116790445871118,0.8974913919111269,0.0858123473240151,,,,,,
Donor04,fixed_ontology_macro_f1,0.7893634479472812,0.8842971958716304,0.09493374792434917,,,,,,
Donor05,fixed_ontology_macro_f1,0.7854414440156445,0.8823199545008495,0.09687851048520502,,,,,,
Donor06,fixed_ontology_macro_f1,0.7794244358105973,0.8710139195200786,0.09158948370948128,,,,,,
Donor07,fixed_ontology_macro_f1,0.7804967642564975,0.8573363272224241,0.07683956296592664,,,,,,
Donor08,fixed_ontology_macro_f1,0.7819597531825133,0.877827393940823,0.09586764075830967,,,,,,
Donor09,fixed_ontology_macro_f1,0.8115117056915603,0.8936603608996705,0.08214865520811021,,,,,,
Donor10,fixed_ontology_macro_f1,0.8095991711373587,0.8959487242991914,0.08634955316183268,,,,,,
SUMMARY,fixed_ontology_macro_f1,0.7935938882180864,0.8837920265759006,0.09019813835781426,0.08896951843565698,0.009562310028054648,10.0,0.0,0.0,10.0
Donor01,accuracy,0.7708010335917312,0.8710594315245478,0.10025839793281655,,,,,,
Donor02,accuracy,0.7768166089965398,0.8757785467128028,0.09896193771626294,,,,,,
Donor03,accuracy,0.7964356435643565,0.8811881188118813,0.08475247524752483,,,,,,
Donor04,accuracy,0.7498084291187739,0.8668582375478927,0.11704980842911883,,,,,,
Donor05,accuracy,0.7492201039861353,0.8519930675909879,0.10277296360485266,,,,,,
Donor06,accuracy,0.7413080895008606,0.8602409638554217,0.11893287435456112,,,,,,
Donor07,accuracy,0.7031304347826086,0.8151304347826087,0.1120000000000001,,,,,,
Donor08,accuracy,0.7347352024922118,0.8546728971962617,0.11993769470404991,,,,,,
Donor09,accuracy,0.8070610687022901,0.8877862595419848,0.08072519083969465,,,,,,
Donor10,accuracy,0.7661157024793389,0.8712396694214876,0.10512396694214865,,,,,,
SUMMARY,accuracy,0.7595432317214847,0.8635947626985876,0.10405153097710303,0.10394846527350066,0.013603946824118945,10.0,0.0,0.0,10.0
Donor01,balanced_accuracy,0.8176849344944742,0.8974478998690847,0.07976296537461047,,,,,,
Donor02,balanced_accuracy,0.7729471521370685,0.8801505337957296,0.10720338165866106,,,,,,
Donor03,balanced_accuracy,0.8013895297692002,0.8893842076153471,0.0879946778461469,,,,,,
Donor04,balanced_accuracy,0.7756373923350599,0.8741804979260056,0.0985431055909457,,,,,,
Donor05,balanced_accuracy,0.79859011266906,0.8837635756056809,0.08517346293662087,,,,,,
Donor06,balanced_accuracy,0.7680795999148704,0.8581001929703392,0.09002059305546883,,,,,,
Donor07,balanced_accuracy,0.7694642829222536,0.8444577662003093,0.07499348327805577,,,,,,
Donor08,balanced_accuracy,0.7727906148500316,0.8717844132237259,0.09899379837369426,,,,,,
Donor09,balanced_accuracy,0.8053353664968572,0.8934927989316117,0.08815743243475449,,,,,,
Donor10,balanced_accuracy,0.7999336814939652,0.8893164596561386,0.08938277816217344,,,,,,
SUMMARY,balanced_accuracy,0.788185266708284,0.8782078345793971,0.09002256787111318,0.08877010529846396,0.00949216022039032,10.0,0.0,0.0,10.0
Donor01,predictive_error_auroc,0.8055482057154709,0.8374692584137773,0.03192105269830636,,,,,,
Donor02,predictive_error_auroc,0.8297471268831449,0.8093613087989114,-0.020385818084233454,,,,,,
Donor03,predictive_error_auroc,0.8123680131560006,0.8636863596068721,0.05131834645087152,,,,,,
Donor04,predictive_error_auroc,0.8031743864009773,0.8490415475367928,0.04586716113581557,,,,,,
Donor05,predictive_error_auroc,0.7981448650104817,0.8462321090749076,0.048087244064425994,,,,,,
Donor06,predictive_error_auroc,0.7798943270525092,0.85300930097792,0.07311497392541089,,,,,,
Donor07,predictive_error_auroc,0.7589836166405293,0.8381299208618748,0.0791463042213455,,,,,,
Donor08,predictive_error_auroc,0.7865386757454657,0.811805965053425,0.025267289307959295,,,,,,
Donor09,predictive_error_auroc,0.8399756245486996,0.8500179716935827,0.010042347144883168,,,,,,
Donor10,predictive_error_auroc,0.8038794006635586,0.8264623095150325,0.02258290885147396,,,,,,
SUMMARY,predictive_error_auroc,0.8018254241816838,0.8385216051533095,0.03669618097162588,0.03889410691706097,0.02958490550092185,9.0,1.0,0.0,10.0
Donor01,predictive_error_auprc,0.5238028258284044,0.4449253919881239,-0.07887743384028051,,,,,,
Donor02,predictive_error_auprc,0.5434941488825925,0.3805972785374898,-0.1628968703451027,,,,,,
Donor03,predictive_error_auprc,0.4722802037770316,0.4473544146393217,-0.02492578913770993,,,,,,
Donor04,predictive_error_auprc,0.5199641633423021,0.4423082511620676,-0.07765591218023449,,,,,,
Donor05,predictive_error_auprc,0.5140864847052271,0.4566053081121897,-0.05748117659303742,,,,,,
Donor06,predictive_error_auprc,0.4854769656382694,0.4522163498471675,-0.0332606157911019,,,,,,
Donor07,predictive_error_auprc,0.5129307769544704,0.4980276554312531,-0.014903121523217322,,,,,,
Donor08,predictive_error_auprc,0.5082276677120691,0.4171287886539067,-0.09109887905816239,,,,,,
Donor09,predictive_error_auprc,0.5032264189243104,0.41397580043765075,-0.08925061848665966,,,,,,
Donor10,predictive_error_auprc,0.5067116251532054,0.400516534959715,-0.10619509019349044,,,,,,
SUMMARY,predictive_error_auprc,0.5090201280917882,0.43536557737688864,-0.07365455071489968,-0.0782666730102575,0.04388543201915287,0.0,10.0,0.0,10.0
Donor01,latent_error_auroc,0.5621366521609346,0.6005727656700388,0.03843611350910425,,,,,,
Donor02,latent_error_auroc,0.6102063108121547,0.6915288747011111,0.08132256388895642,,,,,,
Donor03,latent_error_auroc,0.6003260100568162,0.6456389507548208,0.04531294069800462,,,,,,
Donor04,latent_error_auroc,0.6448149979210915,0.6487225800428313,0.0039075821217398055,,,,,,
Donor05,latent_error_auroc,0.6178667159503387,0.6423191747666991,0.02445245881636038,,,,,,
Donor06,latent_error_auroc,0.6071010129095948,0.6333197418114132,0.02621872890181831,,,,,,
Donor07,latent_error_auroc,0.5829229712840969,0.6370002657270869,0.05407729444299003,,,,,,
Donor08,latent_error_auroc,0.620502153741956,0.6910774710472021,0.07057531730524602,,,,,,
Donor09,latent_error_auroc,0.6198811452311344,0.6731501565089886,0.05326901127785422,,,,,,
Donor10,latent_error_auroc,0.5836460425152059,0.641768187287224,0.05812214477201805,,,,,,
