donor,model,present_class_macro_f1,fixed_ontology_macro_f1,accuracy,balanced_accuracy,predictive_error_auroc,predictive_error_auprc,latent_error_auroc,latent_error_auprc,nll,brier,ece_equal_frequency,ece_equal_width,full_aurc,paurc_0.5_1.0,e_aurc,risk_100,risk_50,error_prevalence
Donor01,scvi_matched,0.8145446535928164,0.8145446535928164,0.7708010335917312,0.8176849344944742,0.8055482057154709,0.5238028258284044,0.5621366521609346,0.28666684879899795,0.5648811995983124,0.3187790334224701,0.04705413557608307,0.04560834101620263,0.08006560189074167,0.14485577712998296,0.05100904541001483,0.22919896640826876,0.07061855670103093,0.22919896640826876
Donor01,totalvi,0.8965020706242749,0.8965020706242749,0.8710594315245478,0.8974478998690847,0.8374692584137773,0.4449253919881239,0.6005727656700388,0.1703413705072667,0.3440234035253525,0.1919671803712845,0.0358986129902438,0.034313070242719124,0.033857049542174306,0.06245947716763115,0.024923386142589734,0.12894056847545218,0.02577319587628866,0.12894056847545218
Donor02,scvi_matched,0.7719184619594823,0.7719184619594823,0.7768166089965398,0.7729471521370685,0.8297471268831449,0.5434941488825925,0.6102063108121547,0.32401368687139176,0.5369834482669831,0.3022316634654999,0.058920328870776605,0.05319438123991745,0.06955462182833419,0.13233887813492912,0.042124625050059115,0.22318339100346019,0.04444444444444445,0.22318339100346024
Donor02,totalvi,0.8815229269689366,0.8815229269689366,0.8757785467128028,0.8801505337957296,0.8093613087989114,0.3805972785374898,0.6915288747011111,0.22656539623482136,0.36485875248908994,0.19643457233905792,0.038900661386008076,0.04538534603316891,0.036540672526411064,0.06878171300710204,0.02820626659101887,0.12422145328719722,0.030555555555555548,0.12422145328719722
Donor03,scvi_matched,0.8116790445871118,0.8116790445871118,0.7964356435643565,0.8013895297692002,0.8123680131560006,0.4722802037770316,0.6003260100568162,0.2592445693751809,0.5323354035615921,0.2914181351661682,0.03994423919385022,0.03653667892559921,0.06558118363242303,0.12356952175611172,0.04297974552277383,0.20356435643564352,0.046031746031746056,0.20356435643564358
Donor03,totalvi,0.8974913919111269,0.8974913919111269,0.8811881188118813,0.8893842076153471,0.8636863596068721,0.4473544146393217,0.6456389507548208,0.19936861987070836,0.33561021089553833,0.17828797698020935,0.03752821349861598,0.04095281006085991,0.02628588297688485,0.05036586212078241,0.018782402265366045,0.1188118811881188,0.013095238095238094,0.1188118811881188
Donor04,scvi_matched,0.7893634479472812,0.7893634479472812,0.7498084291187739,0.7756373923350599,0.8031743864009773,0.5199641633423021,0.6448149979210915,0.3423621708574744,0.5821453034877777,0.33421329259872434,0.03571056915996632,0.031127158869271993,0.08967228508210426,0.16349069773525193,0.054972864501713584,0.250191570881226,0.07854406130268198,0.250191570881226
Donor04,totalvi,0.8842971958716304,0.8842971958716304,0.8668582375478927,0.8741804979260056,0.8490415475367928,0.4423082511620676,0.6487225800428313,0.21002856490817137,0.359568664431572,0.1959536463022232,0.03840161532848731,0.038912277094934174,0.033286176362487103,0.061105650637787445,0.02384201414899228,0.13314176245210727,0.022222222222222244,0.13314176245210727
Donor05,scvi_matched,0.7854414440156445,0.7854414440156445,0.7492201039861353,0.79859011266906,0.7981448650104817,0.5140864847052271,0.6178667159503387,0.32930752799027263,0.5834253787994385,0.3347897559404373,0.03660157640017504,0.02842491079554401,0.09202068201385119,0.16621429437454047,0.0572821823902099,0.25077989601386486,0.07604166666666669,0.25077989601386486
Donor05,totalvi,0.8823199545008495,0.8823199545008495,0.8519930675909879,0.8837635756056809,0.8462321090749076,0.4566053081121897,0.6423191747666991,0.22916644364256694,0.37012646198272703,0.20886045545339585,0.03295977344959199,0.030159348419881986,0.03813010920541511,0.0712448764526565,0.026359352307673594,0.14800693240901214,0.018055555555555568,0.14800693240901214
