metric,n_pairs,interpretation,n_totalVI_better,n_scVI_better,n_equal,n_delta_positive_raw,n_delta_negative_raw,mean_delta_totalVI_minus_scVI,median_delta,mean_scVI,mean_totalVI
macro_f1,50,higher_better,50,0,0,50,0,0.0884840142072157,0.08977093381860157,0.7998201961469218,0.8883042103541375
accuracy,50,higher_better,50,0,0,50,0,0.10434811832268885,0.10358861943158476,0.7592563412158015,0.8636044595384905
balanced_accuracy,50,higher_better,50,0,0,50,0,0.08947892896513178,0.0901028678742703,0.7935137401355848,0.8829926691007166
predictive_error_auroc,50,higher_better,45,5,0,45,5,0.03694107656745267,0.040982040897029226,0.8011960487278382,0.8381371252952912
latent_error_auroc,50,higher_better,38,12,0,38,12,0.04475684882711854,0.028124837268727887,0.6049427370706109,0.6496995858977295
nll,50,lower_better,50,0,0,0,50,-0.21263307571411133,-0.21092414855957034,0.5799089062213898,0.36727583050727847
brier,50,lower_better,50,0,0,0,50,-0.12524646937847136,-0.12297095358371736,0.32698500514030454,0.20173853576183315
ece_equal_frequency,50,lower_better,21,29,0,29,21,-0.00019450860415097602,0.0028179518303558977,0.03435512817853357,0.03416061957438259
ece_equal_width,50,lower_better,20,30,0,30,20,0.0024784433483143443,0.0042575761171243995,0.03120218197759522,0.03368062532590957
aurc,50,lower_better,50,0,0,0,50,-0.05048145916055785,-0.04672792170700185,0.08667285617657287,0.03619139701601506
