donor,model,metric,within_donor_seed_sd
Donor01,scvi_matched,present_class_macro_f1,0.016320282875405687
Donor01,totalvi,present_class_macro_f1,0.009896144239761755
Donor02,scvi_matched,present_class_macro_f1,0.009771263941334487
Donor02,totalvi,present_class_macro_f1,0.011114862171002547
Donor03,scvi_matched,present_class_macro_f1,0.012650465587166768
Donor03,totalvi,present_class_macro_f1,0.006076987462359163
Donor04,scvi_matched,present_class_macro_f1,0.01750923706436905
Donor04,totalvi,present_class_macro_f1,0.004604674035466232
Donor05,scvi_matched,present_class_macro_f1,0.00939032141468614
Donor05,totalvi,present_class_macro_f1,0.012245589069661125
Donor06,scvi_matched,present_class_macro_f1,0.0117392067192733
Donor06,totalvi,present_class_macro_f1,0.011108550590706322
Donor07,scvi_matched,present_class_macro_f1,0.014484752572733664
Donor07,totalvi,present_class_macro_f1,0.008403484434688744
Donor08,scvi_matched,present_class_macro_f1,0.015301052307138437
Donor08,totalvi,present_class_macro_f1,0.008852122937373556
Donor09,scvi_matched,present_class_macro_f1,0.00907095050012668
Donor09,totalvi,present_class_macro_f1,0.006849465798175978
Donor10,scvi_matched,present_class_macro_f1,0.014243457700335683
Donor10,totalvi,present_class_macro_f1,0.00577427689762008
Donor01,scvi_matched,fixed_ontology_macro_f1,0.016320282875405687
Donor01,totalvi,fixed_ontology_macro_f1,0.009896144239761755
Donor02,scvi_matched,fixed_ontology_macro_f1,0.009771263941334487
Donor02,totalvi,fixed_ontology_macro_f1,0.011114862171002547
Donor03,scvi_matched,fixed_ontology_macro_f1,0.012650465587166768
Donor03,totalvi,fixed_ontology_macro_f1,0.006076987462359163
Donor04,scvi_matched,fixed_ontology_macro_f1,0.01750923706436905
Donor04,totalvi,fixed_ontology_macro_f1,0.004604674035466232
Donor05,scvi_matched,fixed_ontology_macro_f1,0.00939032141468614
Donor05,totalvi,fixed_ontology_macro_f1,0.012245589069661125
Donor06,scvi_matched,fixed_ontology_macro_f1,0.0117392067192733
Donor06,totalvi,fixed_ontology_macro_f1,0.011108550590706322
Donor07,scvi_matched,fixed_ontology_macro_f1,0.014484752572733664
Donor07,totalvi,fixed_ontology_macro_f1,0.008403484434688744
Donor08,scvi_matched,fixed_ontology_macro_f1,0.015301052307138437
Donor08,totalvi,fixed_ontology_macro_f1,0.008852122937373556
Donor09,scvi_matched,fixed_ontology_macro_f1,0.00907095050012668
Donor09,totalvi,fixed_ontology_macro_f1,0.006849465798175978
Donor10,scvi_matched,fixed_ontology_macro_f1,0.014243457700335683
Donor10,totalvi,fixed_ontology_macro_f1,0.00577427689762008
Donor01,scvi_matched,accuracy,0.01941522275734778
Donor01,totalvi,accuracy,0.011838147837056775
Donor02,scvi_matched,accuracy,0.008971366312632104
Donor02,totalvi,accuracy,0.011117029536351998
Donor03,scvi_matched,accuracy,0.014058011365781263
Donor03,totalvi,accuracy,0.007697626263822194
Donor04,scvi_matched,accuracy,0.016656754880677513
Donor04,totalvi,accuracy,0.007781645981452083
Donor05,scvi_matched,accuracy,0.009839585334463042
Donor05,totalvi,accuracy,0.014108204608078245
Donor06,scvi_matched,accuracy,0.0137466345210626
Donor06,totalvi,accuracy,0.008843533616981166
Donor07,scvi_matched,accuracy,0.011361431494484552
Donor07,totalvi,accuracy,0.00973671467623501
Donor08,scvi_matched,accuracy,0.013971498580141177
Donor08,totalvi,accuracy,0.009172560850705641
Donor09,scvi_matched,accuracy,0.0057919489262544975
Donor09,totalvi,accuracy,0.00530703654315885
Donor10,scvi_matched,accuracy,0.012714028384809171
Donor10,totalvi,accuracy,0.005749595745760694
Donor01,scvi_matched,balanced_accuracy,0.01508585583071713
Donor01,totalvi,balanced_accuracy,0.010033615354382536
Donor02,scvi_matched,balanced_accuracy,0.00954590107213464
Donor02,totalvi,balanced_accuracy,0.011533824853163357
Donor03,scvi_matched,balanced_accuracy,0.013881548160218596
Donor03,totalvi,balanced_accuracy,0.0069452249842783
Donor04,scvi_matched,balanced_accuracy,0.01651712670311613
Donor04,totalvi,balanced_accuracy,0.005031695383169277
Donor05,scvi_matched,balanced_accuracy,0.00865778626680871
Donor05,totalvi,balanced_accuracy,0.012354760207054486
Donor06,scvi_matched,balanced_accuracy,0.01121189655512784
Donor06,totalvi,balanced_accuracy,0.008303911931658371
Donor07,scvi_matched,balanced_accuracy,0.01094726280858829
Donor07,totalvi,balanced_accuracy,0.009874569326475086
Donor08,scvi_matched,balanced_accuracy,0.016650127315277558
Donor08,totalvi,balanced_accuracy,0.009366049515875541
Donor09,scvi_matched,balanced_accuracy,0.009176683724729962
Donor09,totalvi,balanced_accuracy,0.008357927327525265
Donor10,scvi_matched,balanced_accuracy,0.016533152645777167
Donor10,totalvi,balanced_accuracy,0.00710688793079006
Donor01,scvi_matched,predictive_error_auroc,0.024079409672917766
Donor01,totalvi,predictive_error_auroc,0.02142555105377402
Donor02,scvi_matched,predictive_error_auroc,0.01910213501651998
Donor02,totalvi,predictive_error_auroc,0.020722812156247987
Donor03,scvi_matched,predictive_error_auroc,0.013112336861185033
Donor03,totalvi,predictive_error_auroc,0.009857683734783327
Donor04,scvi_matched,predictive_error_auroc,0.013535832201867737
Donor04,totalvi,predictive_error_auroc,0.009654553606186342
Donor05,scvi_matched,predictive_error_auroc,0.01549508232894074
Donor05,totalvi,predictive_error_auroc,0.01639797738706994
Donor06,scvi_matched,predictive_error_auroc,0.027965059259784916
Donor06,totalvi,predictive_error_auroc,0.01090527790023062
Donor07,scvi_matched,predictive_error_auroc,0.019462111069998275
Donor07,totalvi,predictive_error_auroc,0.018185883443960542
Donor08,scvi_matched,predictive_error_auroc,0.014099453209654448
Donor08,totalvi,predictive_error_auroc,0.01659412538614948
Donor09,scvi_matched,predictive_error_auroc,0.012379991640940793
Donor09,totalvi,predictive_error_auroc,0.014996326062752224
Donor10,scvi_matched,predictive_error_auroc,0.009059803812891072
Donor10,totalvi,predictive_error_auroc,0.009687595161653371
Donor01,scvi_matched,predictive_error_auprc,0.06769054163017384
Donor01,totalvi,predictive_error_auprc,0.07083692343986751
Donor02,scvi_matched,predictive_error_auprc,0.050469575748248875
Donor02,totalvi,predictive_error_auprc,0.06356293932891598
Donor03,scvi_matched,predictive_error_auprc,0.06060677705074121
Donor03,totalvi,predictive_error_auprc,0.04642377215124569
Donor04,scvi_matched,predictive_error_auprc,0.04217180534777267
Donor04,totalvi,predictive_error_auprc,0.04809445371202586
Donor05,scvi_matched,predictive_error_auprc,0.025355956370747737
Donor05,totalvi,predictive_error_auprc,0.060143875764167284
Donor06,scvi_matched,predictive_error_auprc,0.0579546649262093
Donor06,totalvi,predictive_error_auprc,0.02883358649381297
Donor07,scvi_matched,predictive_error_auprc,0.03099606165204532
Donor07,totalvi,predictive_error_auprc,0.04378880711335616
Donor08,scvi_matched,predictive_error_auprc,0.029411666999094966
Donor08,totalvi,predictive_error_auprc,0.04212406836156064
Donor09,scvi_matched,predictive_error_auprc,0.044581193013861764
Donor09,totalvi,predictive_error_auprc,0.04453321744172743
Donor10,scvi_matched,predictive_error_auprc,0.032251924240150796
Donor10,totalvi,predictive_error_auprc,0.03647619514696007
Donor01,scvi_matched,latent_error_auroc,0.06612501461926946
Donor01,totalvi,latent_error_auroc,0.04064649120862342
Donor02,scvi_matched,latent_error_auroc,0.09018550410100039
Donor02,totalvi,latent_error_auroc,0.04640845656147612
Donor03,scvi_matched,latent_error_auroc,0.03904937231146151
Donor03,totalvi,latent_error_auroc,0.020091721185062687
Donor04,scvi_matched,latent_error_auroc,0.04062223390500711
Donor04,totalvi,latent_error_auroc,0.021164146077151228
Donor05,scvi_matched,latent_error_auroc,0.06253862056949076
Donor05,totalvi,latent_error_auroc,0.03380132044387616
Donor06,scvi_matched,latent_error_auroc,0.04295339423026494
Donor06,totalvi,latent_error_auroc,0.012926602335804512
Donor07,scvi_matched,latent_error_auroc,0.03207135773528415
Donor07,totalvi,latent_error_auroc,0.02490822434818271
Donor08,scvi_matched,latent_error_auroc,0.03908544758332485
Donor08,totalvi,latent_error_auroc,0.023262618192906113
Donor09,scvi_matched,latent_error_auroc,0.04902971829848782
Donor09,totalvi,latent_error_auroc,0.02409390708564981
Donor10,scvi_matched,latent_error_auroc,0.03608037268508396
Donor10,totalvi,latent_error_auroc,0.020834205767002834
Donor01,scvi_matched,latent_error_auprc,0.05528783607313225
Donor01,totalvi,latent_error_auprc,0.030318864662845276
Donor02,scvi_matched,latent_error_auprc,0.08408192631733817
Donor02,totalvi,latent_error_auprc,0.058467349133326414
Donor03,scvi_matched,latent_error_auprc,0.03154252449417334
Donor03,totalvi,latent_error_auprc,0.022148364848299452
Donor04,scvi_matched,latent_error_auprc,0.03362398764085942
Donor04,totalvi,latent_error_auprc,0.023162794367982457
Donor05,scvi_matched,latent_error_auprc,0.046942995381714536
Donor05,totalvi,latent_error_auprc,0.036333626126448366
Donor06,scvi_matched,latent_error_auprc,0.03790733649214875
Donor06,totalvi,latent_error_auprc,0.017992520002337614
Donor07,scvi_matched,latent_error_auprc,0.03064424599930194
Donor07,totalvi,latent_error_auprc,0.024011014310259562
Donor08,scvi_matched,latent_error_auprc,0.03358330988182758
Donor08,totalvi,latent_error_auprc,0.02672961641044107
Donor09,scvi_matched,latent_error_auprc,0.039097689189243515
Donor09,totalvi,latent_error_auprc,0.02825839717312092
Donor10,scvi_matched,latent_error_auprc,0.033023859525605465
Donor10,totalvi,latent_error_auprc,0.012972517001560623
Donor01,scvi_matched,nll,0.018957979730505597
Donor01,totalvi,nll,0.013689623315429075
Donor02,scvi_matched,nll,0.013836290314654503
